Race_Ethnicity,TimeFrame,Rate per 1000
African American_Black,2000_2004,13.6
African American_Black,2001_2005,13.6
African American_Black,2002_2006,13.6
African American_Black,2003_2007,13.5
African American_Black,2004_2008,13.3
African American_Black,2005_2009,13.1
African American_Black,2006_2010,12.7
African American_Black,2007_2011,12.3
African American_Black,2008_2012,11.8
African American_Black,2009_2013,11.5
African American_Black,2010_2014,11.2
African American_Black,2011_2015,11.2
African American_Black,2012_2016,11.1
American Indian_Alaska Native,2000_2004,8.8
American Indian_Alaska Native,2001_2005,8.8
American Indian_Alaska Native,2002_2006,8.6
American Indian_Alaska Native,2003_2007,8.7
American Indian_Alaska Native,2004_2008,8.7
American Indian_Alaska Native,2005_2009,8.8
American Indian_Alaska Native,2006_2010,8.9
American Indian_Alaska Native,2007_2011,8.9
American Indian_Alaska Native,2008_2012,8.7
American Indian_Alaska Native,2009_2013,8.6
American Indian_Alaska Native,2010_2014,8.3
American Indian_Alaska Native,2011_2015,8.2
American Indian_Alaska Native,2012_2016,8.3
Asian_Pacific Islander,2000_2004,4.7
Asian_Pacific Islander,2001_2005,4.7
Asian_Pacific Islander,2002_2006,4.6
Asian_Pacific Islander,2003_2007,4.6
Asian_Pacific Islander,2004_2008,4.5
Asian_Pacific Islander,2005_2009,4.5
Asian_Pacific Islander,2006_2010,4.4
Asian_Pacific Islander,2007_2011,4.3
Asian_Pacific Islander,2008_2012,4.2
Asian_Pacific Islander,2009_2013,4.1
Asian_Pacific Islander,2010_2014,4
Asian_Pacific Islander,2011_2015,4
Asian_Pacific Islander,2012_2016,3.9
Hispanic_Latino,2000_2004,5.6
Hispanic_Latino,2001_2005,5.7
Hispanic_Latino,2002_2006,5.7
Hispanic_Latino,2003_2007,5.7
Hispanic_Latino,2004_2008,5.7
Hispanic_Latino,2005_2009,5.6
Hispanic_Latino,2006_2010,5.6
Hispanic_Latino,2007_2011,5.4
Hispanic_Latino,2008_2012,5.3
Hispanic_Latino,2009_2013,5.2
Hispanic_Latino,2010_2014,5.1
Hispanic_Latino,2011_2015,5
Hispanic_Latino,2012_2016,5
Multiracial,2000_2004,N_A
Multiracial,2001_2005,N_A
Multiracial,2002_2006,N_A
Multiracial,2003_2007,N_A
Multiracial,2004_2008,N_A
Multiracial,2005_2009,N_A
Multiracial,2006_2010,N_A
Multiracial,2007_2011,N_A
Multiracial,2008_2012,N_A
Multiracial,2009_2013,N_A
Multiracial,2010_2014,N_A
Multiracial,2011_2015,N_A
Multiracial,2012_2016,N_A
All Infants,2000_2004,6.9
All Infants,2001_2005,6.9
All Infants,2002_2006,6.8
All Infants,2003_2007,6.8
All Infants,2004_2008,6.7
All Infants,2005_2009,6.7
All Infants,2006_2010,6.5
All Infants,2007_2011,6.4
All Infants,2008_2012,6.2
All Infants,2009_2013,6.1
All Infants,2010_2014,6
All Infants,2011_2015,5.9
All Infants,2012_2016,5.9
White,2000_2004,5.7
White,2001_2005,5.7
White,2002_2006,5.7
White,2003_2007,5.7
White,2004_2008,5.6
White,2005_2009,5.6
White,2006_2010,5.5
White,2007_2011,5.4
White,2008_2012,5.2
White,2009_2013,5.1
White,2010_2014,5
White,2011_2015,5
White,2012_2016,5
