quote_date,region,priceMean,priceSD,regionDesc
198903,2,0.58909088,0.16300029,London
198904,2,0.59818184,0.13955775,London
198905,2,0.56699997,0.12824023,London
198906,2,0.64166665,0.17904374,London
198907,2,0.58818179,0.15797582,London
198908,2,0.59799999,0.14171959,London
198909,2,0.58166665,0.14640127,London
198910,2,0.61000001,0.13937359,London
198911,2,0.61750001,0.14448184,London
198912,2,0.58899999,0.14106342,London
199001,2,0.53416663,0.15900019,London
199002,2,0.55333334,0.15558296,London
199003,2,0.57142854,0.16318263,London
199004,2,0.58125001,0.1534438,London
199005,2,0.60733336,0.12366237,London
199006,2,0.54647058,0.13923638,London
199007,2,0.58111113,0.14286746,London
199008,2,0.704,0.17808862,London
199009,2,0.6388889,0.12800825,London
199010,2,0.57199997,0.24439494,London
199011,2,0.52333331,0.16943884,London
199012,2,0.49083334,0.12198795,London
199101,2,0.50583333,0.13399175,London
199102,2,0.50999999,0.15545633,London
199103,2,0.56800002,0.16789453,London
199104,2,0.59190476,0.15788031,London
199105,2,0.57277775,0.18483078,London
199106,2,0.57749999,0.19233651,London
199107,2,0.63444448,0.18085492,London
199108,2,0.61555558,0.17941809,London
199109,2,0.63866669,0.18764962,London
199110,2,0.65285712,0.17762721,London
199111,2,0.54095238,0.16510314,London
199112,2,0.48391303,0.14096224,London
199201,2,0.52999997,0.15911688,London
199202,2,0.52625,0.15348725,London
199203,2,0.53625,0.16341664,London
199204,2,0.44055554,0.1543286,London
199205,2,0.52761906,0.16139717,London
199206,2,0.55739129,0.17165552,London
199207,2,0.48538461,0.14128639,London
199208,2,0.55681819,0.14801501,London
199209,2,0.57875001,0.17190272,London
199210,2,0.56086957,0.18746911,London
199211,2,0.54384613,0.15829282,London
199212,2,0.48178571,0.15781033,London
199301,2,0.48391303,0.17277782,London
199302,2,0.51958334,0.17210914,London
199303,2,0.55000001,0.21215253,London
199304,2,0.52416664,0.16476378,London
199305,2,0.52959996,0.14478375,London
199306,2,0.52249998,0.14256196,London
199307,2,0.55807692,0.15086469,London
199308,2,0.57120001,0.15237892,London
199309,2,0.54649997,0.16410123,London
199310,2,0.54799998,0.17159295,London
199311,2,0.53357142,0.15263644,London
199312,2,0.51499999,0.16317452,London
199401,2,0.50107139,0.13461438,London
199402,2,0.52678573,0.16259593,London
199403,2,0.53233331,0.15428776,London
199404,2,0.55769229,0.13378513,London
199405,2,0.50433332,0.16181478,London
199406,2,0.52999997,0.12520751,London
199407,2,0.51896554,0.13612875,London
199408,2,0.53576922,0.1480317,London
199409,2,0.50699997,0.13605653,London
199410,2,0.56406248,0.13511905,London
199411,2,0.50821429,0.15038355,London
199412,2,0.52920002,0.16643117,London
199501,2,0.50629628,0.1297082,London
199502,2,0.51192307,0.12188583,London
199503,2,0.51862067,0.14121221,London
199504,2,0.57096773,0.12791546,London
199505,2,0.57093751,0.15521805,London
199506,2,0.56857145,0.15078506,London
199507,2,0.56818181,0.14906909,London
199508,2,0.61103445,0.15689726,London
199509,2,0.58375001,0.16032067,London
199510,2,0.5372414,0.14344975,London
199511,2,0.53363633,0.15376155,London
199512,2,0.5113889,0.15691951,London
199601,2,0.50694442,0.15578042,London
199602,2,0.54218751,0.1385113,London
199603,2,0.53451616,0.18713345,London
199604,2,0.56371427,0.18397708,London
199605,2,0.55416667,0.1935883,London
199606,2,0.58033335,0.17985594,London
199607,2,0.58866668,0.18905817,London
199608,2,0.6151852,0.23327717,London
199609,2,0.68699998,0.21450311,London
199610,2,0.61571431,0.22128294,London
199611,2,0.60187501,0.20998369,London
199612,2,0.59468752,0.20848122,London
199701,2,0.59939396,0.1987294,London
199702,2,0.5837931,0.23009957,London
199703,2,0.59433335,0.2091804,London
199704,2,0.59600002,0.20430876,London
199705,2,0.62032259,0.20400138,London
199706,2,0.65413791,0.18552084,London
199707,2,0.61892855,0.18290535,London
199708,2,0.69538462,0.17545897,London
199709,2,0.71884614,0.18087183,London
199710,2,0.62806451,0.19814843,London
199711,2,0.59066665,0.18998972,London
199712,2,0.61741936,0.17686093,London
199801,2,0.62099999,0.20861365,London
199802,2,0.58038461,0.20267178,London
199803,2,0.63428569,0.17814744,London
199804,2,0.59517241,0.17292899,London
199805,2,0.55535716,0.19502103,London
199806,2,0.61689657,0.18628135,London
199807,2,0.57172412,0.18930455,London
199808,2,0.5592857,0.16227385,London
199809,2,0.61299998,0.14343448,London
199810,2,0.56999999,0.14751272,London
199811,2,0.59285712,0.12501429,London
199812,2,0.61071432,0.1346581,London
199901,2,0.60000002,0.15069838,London
199902,2,0.65037036,0.18236654,London
199903,2,0.65384614,0.15814112,London
199904,2,0.67093748,0.16724253,London
199905,2,0.69580644,0.16680877,London
199906,2,0.69771427,0.17432366,London
199907,2,0.75482762,0.18056698,London
199908,2,0.69964284,0.16771851,London
199909,2,0.6751613,0.16580854,London
199910,2,0.67071432,0.16436024,London
199911,2,0.67750001,0.16825081,London
199912,2,0.62769228,0.14261298,London
200001,2,0.64444447,0.20638524,London
200002,2,0.62043476,0.15049852,London
200003,2,0.61874998,0.18683432,London
200004,2,0.59962964,0.17014658,London
200005,2,0.64517242,0.19247673,London
200006,2,0.63206899,0.17501795,London
200007,2,0.61357141,0.17822613,London
200008,2,0.64103448,0.14770494,London
200009,2,0.62166667,0.17694892,London
200010,2,0.69387096,0.17258191,London
200011,2,0.61121213,0.19039035,London
200012,2,0.62448275,0.14613073,London
200101,2,0.71310347,0.19228148,London
200102,2,0.70560002,0.21373817,London
200103,2,0.70037037,0.23487282,London
200104,2,0.70785713,0.24019063,London
200105,2,0.72571427,0.23928022,London
200106,2,0.69586205,0.23187923,London
200107,2,0.764,0.19780868,London
200108,2,0.73320001,0.19894974,London
200109,2,0.71730769,0.21323335,London
200110,2,0.70615387,0.20899908,London
200111,2,0.68214285,0.21663003,London
200112,2,0.70366669,0.26233017,London
200201,2,0.67740738,0.15233043,London
200202,2,0.61777776,0.19458701,London
200203,2,0.61166668,0.19470727,London
200204,2,0.639,0.16447094,London
200205,2,0.62515152,0.20760721,London
200206,2,0.57187498,0.16349879,London
200207,2,0.58066666,0.15373361,London
200208,2,0.64620692,0.19745548,London
200209,2,0.62935483,0.21158034,London
200210,2,0.71499997,0.16024287,London
200211,2,0.65714288,0.21452543,London
200212,2,0.69857144,0.18806449,London
200301,2,0.69,0.1390786,London
200302,2,0.8142857,0.19404903,London
200303,2,0.83137929,0.19951235,London
200304,2,0.84851855,0.18969011,London
200305,2,0.76769233,0.24176531,London
200306,2,0.73416668,0.1796353,London
200307,2,0.78407407,0.19561067,London
200308,2,0.76111114,0.15751272,London
200309,2,0.7676,0.16256486,London
200310,2,0.80120003,0.1558664,London
200311,2,0.68580645,0.22346923,London
200312,2,0.73500001,0.19941582,London
200401,2,0.73517239,0.19684331,London
200402,2,0.76461542,0.19248337,London
200403,2,0.74137932,0.19366252,London
200404,2,0.72500002,0.20076706,London
200405,2,0.77387094,0.18025312,London
200406,2,0.77437502,0.23341694,London
200407,2,0.77937502,0.19073606,London
200408,2,0.80124998,0.18195622,London
200409,2,0.88354838,0.26587653,London
200410,2,0.82181817,0.27489153,London
200411,2,0.79343748,0.29248226,London
200412,2,0.80548388,0.29105371,London
200501,2,0.82096773,0.29944789,London
200502,2,0.78937501,0.29786268,London
200503,2,0.77393937,0.33314729,London
200504,2,0.74484849,0.27931973,London
200505,2,0.73343748,0.15654762,London
200506,2,0.75612903,0.22767928,London
200507,2,0.74757576,0.20209885,London
200508,2,0.76413792,0.22684982,London
200509,2,0.79838711,0.17441516,London
200510,2,0.74862069,0.21427159,London
200511,2,0.75937498,0.21029837,London
200512,2,0.78071427,0.21786726,London
200601,2,0.76620692,0.22049318,London
200602,2,0.80479997,0.19159681,London
200603,2,0.77428573,0.18835406,London
200604,2,0.79400003,0.17647116,London
200605,2,0.83580643,0.23465969,London
200606,2,0.824,0.19554698,London
200607,2,0.8125,0.21161439,London
200608,2,0.83156252,0.19854486,London
200609,2,0.85133332,0.18856506,London
200610,2,0.85642856,0.18129605,London
200611,2,0.82166666,0.21323588,London
200612,2,0.77517241,0.21019754,London
200701,2,0.81896549,0.23166086,London
200702,2,0.80064517,0.23041898,London
200703,2,0.78484851,0.24406865,London
200704,2,0.796875,0.23737052,London
200705,2,0.81,0.22439191,London
200706,2,0.78600001,0.20911308,London
200707,2,0.80812502,0.22568087,London
200708,2,0.80250001,0.24460635,London
200709,2,0.85363638,0.2151572,London
200710,2,0.81393939,0.19563901,London
200711,2,0.78606063,0.23092125,London
200712,2,0.81928575,0.20158499,London
200801,2,0.80969697,0.21487619,London
200802,2,0.75961536,0.20048901,London
200803,2,0.77444446,0.23622566,London
200804,2,0.81862068,0.18419175,London
200805,2,0.83827585,0.19550428,London
200806,2,0.8132143,0.193698,London
200807,2,0.74296296,0.2684688,London
200808,2,0.83074075,0.19281171,London
200809,2,0.76428574,0.2185716,London
200810,2,0.76518518,0.225787,London
200811,2,0.78379309,0.22083306,London
200812,2,0.76185185,0.25501186,London
200901,2,0.77785712,0.23255995,London
200902,2,0.8628,0.24940796,London
200903,2,0.85074073,0.24922843,London
200904,2,0.81851852,0.2592994,London
200905,2,0.83620691,0.22504625,London
200906,2,0.78655171,0.25589165,London
200907,2,0.83931035,0.23814657,London
200908,2,0.85000002,0.21146315,London
200909,2,0.93535715,0.24833494,London
200910,2,0.91413796,0.20640662,London
200911,2,0.88137931,0.21852957,London
200912,2,0.83533335,0.2639845,London
201001,2,0.84100002,0.2435421,London
201002,2,0.77960002,0.28295287,London
201003,2,0.74037039,0.23682973,London
201004,2,0.82066667,0.20079039,London
201005,2,0.77703702,0.26027817,London
201006,2,0.80444443,0.20906998,London
201007,2,0.78071427,0.22030161,London
201008,2,0.88107145,0.18931337,London
201009,2,0.86093748,0.20845607,London
201010,2,0.87620687,0.18825161,London
201011,2,0.8075,0.29130137,London
201012,2,0.85612905,0.23641315,London
201101,2,0.83999997,0.25468469,London
201102,2,0.7888,0.30116883,London
201103,2,0.87066668,0.24851188,London
201104,2,0.90533334,0.2402977,London
201105,2,0.88843751,0.23310125,London
201106,2,0.89448273,0.22622028,London
201107,2,0.85906249,0.24740407,London
201108,2,0.91466665,0.22458749,London
201109,2,0.97363639,0.24651089,London
201110,2,1.0021212,0.2555846,London
201111,2,0.9375,0.27346373,London
201112,2,0.93451613,0.27800286,London
201201,2,0.90896553,0.24999066,London
201202,2,0.91423076,0.2799882,London
201203,2,0.92166668,0.28007492,London
201204,2,0.90387094,0.24873918,London
201205,2,0.91451615,0.2502777,London
201206,2,0.99400002,0.26743481,London
201207,2,0.93714285,0.21074572,London
201208,2,0.89600003,0.25850531,London
201209,2,0.92260867,0.26767039,London
201210,2,0.96433336,0.29160297,London
201211,2,0.94384617,0.27928591,London
201212,2,0.958,0.23296292,London
201301,2,0.90750003,0.26821995,London
201302,2,0.98407406,0.33833596,London
201303,2,1.006,0.34887916,London
201304,2,0.99458337,0.24457557,London
201305,2,1.0160714,0.19799624,London
201306,2,0.98521739,0.24050836,London
201307,2,0.96730769,0.23857172,London
201308,2,1.00375,0.22829829,London
201309,2,0.98333335,0.24321564,London
201310,2,0.97535712,0.23749436,London
201311,2,1.0115385,0.20924039,London
201312,2,0.95185184,0.23257814,London
201401,2,0.99666667,0.21949242,London
201402,2,0.98000002,0.23534057,London
201403,2,0.99241382,0.24094538,London
201404,2,0.94592595,0.23563759,London
201405,2,0.94999999,0.22591694,London
201406,2,0.91218752,0.26349676,London
201407,2,0.9009375,0.23716551,London
201408,2,0.95193547,0.21567598,London
201409,2,0.94212121,0.21697864,London
201410,2,0.94749999,0.23817857,London
201411,2,0.9382143,0.21648802,London
201412,2,0.94749999,0.19907852,London
201501,2,0.8996774,0.23965925,London
201502,2,0.95099998,0.19893423,London
201503,2,0.96562499,0.17953232,London
201504,2,0.95187497,0.20668563,London
201505,2,0.94599998,0.20876668,London
201506,2,0.89885712,0.25247914,London
201507,2,0.99400002,0.18083467,London
201508,2,0.9108333,0.27763671,London
201509,2,0.90709674,0.28543758,London
201510,2,0.94,0.22613697,London
201511,2,0.97437501,0.21554039,London
201512,2,0.99558824,0.16974474,London
201601,2,0.92545456,0.24952568,London
201602,2,0.97733331,0.18237765,London
201603,2,1.0042424,0.18751717,London
201604,2,0.96757573,0.2082371,London
201605,2,1.0205883,0.25978944,London
201606,2,0.99303031,0.30255663,London
201607,2,0.98941177,0.30100781,London
201608,2,1.0283333,0.16343474,London
201609,2,1.0121875,0.18400095,London
201610,2,1.0105882,0.21955797,London
201611,2,0.99771428,0.2385136,London
201612,2,0.98645163,0.27379492,London
201701,2,0.98571426,0.23861469,London
201702,2,1.0152941,0.20500162,London
