region,price201909,regionDesc,price202101,pricerange 
2,1.05,London,0.58999997,0.46000003
2,2.75,London,1.5,1.25
2,1,London,0.80000001,0.19999999
2,1.15,London,0.58999997,0.56000003
2,1,London,0.85000002,0.14999998
2,1,London,0.25,0.75
2,0.85000002,London,0.75,0.10000002
2,1,London,0.75,0.25
2,2.75,London,0.69,2.06
2,1,London,0.80000001,0.19999999
2,0.89999998,London,0.80000001,0.09999997
2,2,London,1.95,0.05
2,0.98000002,London,0.80000001,0.18000001
2,1.25,London,1.2,0.05
2,1.35,London,0.80000001,0.54999999
2,0.88,London,1.5,-0.62
2,1.1,London,1,0.1
2,1,London,0.72000003,0.27999997
2,0.88,London,0.94999999,-0.06999999
2,0.38999999,London,1,-0.61000001
2,1.1,London,0.88,0.22
2,1.25,London,0.75,0.5
2,0.85000002,London,0.75,0.10000002
2,0.98000002,London,0.80000001,0.18000001
2,0.99000001,London,1,-0.00999999
2,1.5,London,0.80000001,0.69999999
2,0.98000002,London,0.72000003,0.25999999
2,0.85000002,London,0.75,0.10000002
2,1,London,0.94999999,0.05000001
2,2,London,0.58999997,1.41000003
2,0.47999999,London,0.80000001,-0.32000002
2,0.89999998,London,0.69,0.20999998
2,1,London,0.60000002,0.39999998
2,0.89999998,London,0.85000002,0.04999996
2,0.73000002,London,1,-0.26999998
2,1.4,London,0.58999997,0.81000003
2,1.4,London,0.89999998,0.50000002
2,0.85000002,London,0.80000001,0.05000001
2,0.89999998,London,0.69,0.20999998
2,1.45,London,1.95,-0.5
2,2,London,0.60000002,1.39999998
2,0.89999998,London,0.58999997,0.31000001
2,1,London,0.89999998,0.10000002
2,1.45,London,0.80000001,0.64999999
2,1,London,0.88,0.12
2,1.5,London,0.58999997,0.91000003
3,1,South East,1.99,-0.99
3,1.25,South East,1.45,-0.2
3,1.99,South East,0.57999998,1.41000002
3,0.89999998,South East,0.72000003,0.17999995
3,1,South East,0.85000002,0.14999998
3,0.94999999,South East,0.72000003,0.22999996
3,0.99000001,South East,0.85000002,0.13999999
3,0.99000001,South East,0.85000002,0.13999999
3,0.99000001,South East,1.59,-0.59999999
3,0.89999998,South East,0.85000002,0.04999996
3,0.68000001,South East,0.72000003,-0.04000002
3,0.67000002,South East,0.60000002,0.07
3,1.5,South East,0.85000002,0.64999998
3,1.1,South East,1,0.1
3,1.5,South East,1.45,0.05
3,1,South East,0.69,0.31
3,1,South East,0.57999998,0.42000002
3,1.4,South East,0.85000002,0.54999998
3,1,South East,0.58999997,0.41000003
3,1.95,South East,0.58999997,1.36000003
3,1,South East,0.60000002,0.39999998
3,1,South East,0.57999998,0.42000002
3,0.89999998,South East,0.85000002,0.04999996
3,0.97000003,South East,0.94999999,0.02000004
3,0.89999998,South East,1.5,-0.60000002
3,1.1,South East,1.4,-0.3
3,1,South East,0.58999997,0.41000003
3,1,South East,0.88,0.12
3,1,South East,0.72000003,0.27999997
3,0.94999999,South East,0.85000002,0.09999997
3,0.69999999,South East,1.35,-0.65000001
3,1,South East,1.59,-0.59
3,0.99000001,South East,0.58999997,0.40000004
3,0.85000002,South East,0.58999997,0.26000005
3,2,South East,1.99,0.01
3,1,South East,0.85000002,0.14999998
3,0.97000003,South East,0.72000003,0.25
3,1,South East,0.94999999,0.05000001
3,1,South East,0.58999997,0.41000003
3,1,South East,0.58999997,0.41000003
3,1,South East,0.85000002,0.14999998
3,1.4,South East,0.85000002,0.54999998
3,1,South East,0.85000002,0.14999998
3,1,South East,0.85000002,0.14999998
3,1.5,South East,1.5,0
3,1,South East,1,0
3,1,South East,0.58999997,0.41000003
3,0.88,South East,0.80000001,0.07999999
3,0.88,South East,1.35,-0.47
3,1.25,South East,0.85000002,0.39999998
3,1,South East,0.85000002,0.14999998
3,1,South East,0.75,0.25
3,0.94999999,South East,1.4,-0.45000001
3,1.99,South East,0.75,1.24
3,1.25,South East,0.85000002,0.39999998
3,1,South East,1,0
3,1.5,South East,0.80000001,0.69999999
3,1.1,South East,0.58999997,0.51000003
3,1,South East,0.72000003,0.27999997
3,1.95,South East,0.85000002,1.09999998
3,1.25,South East,0.85000002,0.39999998
3,1.5,South East,1,0.5
3,1.1,South East,0.88,0.22
4,1.5,South West,0.75,0.75
4,1.89,South West,0.38999999,1.50000001
4,1,South West,0.25,0.75
4,0.99000001,South West,0.85000002,0.13999999
4,0.79000002,South West,0.85000002,-0.06
4,0.79000002,South West,0.25,0.54000002
4,1,South West,0.94999999,0.05000001
4,0.44,South West,0.88,-0.44
4,1,South West,0.58999997,0.41000003
4,1.25,South West,0.69,0.56
4,1.89,South West,0.85000002,1.03999998
4,0.68000001,South West,0.72000003,-0.04000002
4,0.79000002,South West,0.99000001,-0.19999999
4,1.3099999,South West,0.60000002,0.70999988
4,0.88,South West,0.85000002,0.02999998
4,0.99000001,South West,0.80000001,0.19
4,1.3099999,South West,0.94999999,0.35999991
4,1,South West,1,0
4,1.05,South West,0.60000002,0.44999998
4,1.5,South West,0.99000001,0.50999999
4,1,South West,0.80000001,0.19999999
4,1,South West,0.72000003,0.27999997
4,0.98000002,South West,0.87,0.11000002
4,1.49,South West,0.60000002,0.88999998
4,1.49,South West,0.38999999,1.10000001
4,1,South West,0.58999997,0.41000003
5,1,East Anglia,0.72000003,0.27999997
5,1,East Anglia,0.72000003,0.27999997
5,0.89999998,East Anglia,0.87,0.02999998
5,0.85000002,East Anglia,0.94999999,-0.09999997
5,1.75,East Anglia,1.75,0
5,0.99000001,East Anglia,0.85000002,0.13999999
5,1,East Anglia,0.58999997,0.41000003
5,1.5,East Anglia,0.85000002,0.64999998
5,1,East Anglia,0.58999997,0.41000003
5,1,East Anglia,0.94999999,0.05000001
5,1,East Anglia,0.57999998,0.42000002
5,1.25,East Anglia,0.72000003,0.52999997
5,1.75,East Anglia,0.85000002,0.89999998
5,1,East Anglia,0.60000002,0.39999998
5,1.75,East Anglia,0.89999998,0.85000002
5,1,East Anglia,0.58999997,0.41000003
5,0.85000002,East Anglia,0.25,0.60000002
5,1,East Anglia,1,0
5,0.44,East Anglia,1,-0.56
5,0.89999998,East Anglia,0.58999997,0.31000001
5,1.5,East Anglia,1.75,-0.25
5,0.85000002,East Anglia,0.85000002,0
5,1.25,East Anglia,0.72000003,0.52999997
5,1.05,East Anglia,0.5,0.55
5,0.73000002,East Anglia,0.85000002,-0.12
5,1,East Anglia,0.85000002,0.14999998
5,1.5,East Anglia,0.60000002,0.89999998
5,1.25,East Anglia,0.69,0.56
5,1,East Anglia,0.58999997,0.41000003
5,1,East Anglia,1.5,-0.5
5,1.05,East Anglia,0.85000002,0.19999998
5,1.05,East Anglia,0.25,0.8
5,1.05,East Anglia,0.87,0.18
5,1,East Anglia,0.89999998,0.10000002
5,1.1,East Anglia,0.58999997,0.51000003
6,0.85000002,East Midlands,1.49,-0.63999998
6,0.89999998,East Midlands,0.94999999,-0.05000001
6,0.94999999,East Midlands,1.5,-0.55000001
6,1,East Midlands,1.5,-0.5
6,1,East Midlands,0.85000002,0.14999998
6,0.5,East Midlands,0.69,-0.19
6,0.85000002,East Midlands,0.88,-0.02999998
6,1,East Midlands,0.69,0.31
6,1.5,East Midlands,0.85000002,0.64999998
6,0.94999999,East Midlands,1,-0.05000001
6,1,East Midlands,1.38,-0.38
6,0.85000002,East Midlands,0.5,0.35000002
6,0.89999998,East Midlands,0.88,0.01999998
6,1.75,East Midlands,0.72000003,1.02999997
6,0.94999999,East Midlands,0.58999997,0.36000002
6,1.75,East Midlands,1.38,0.37
6,0.98000002,East Midlands,0.60000002,0.38
6,1,East Midlands,0.60000002,0.39999998
6,1.25,East Midlands,1,0.25
6,1,East Midlands,0.72000003,0.27999997
6,1,East Midlands,1,0
6,1,East Midlands,0.94999999,0.05000001
6,0.99000001,East Midlands,0.69,0.30000001
6,0.94999999,East Midlands,1.49,-0.54000001
6,0.98000002,East Midlands,0.85000002,0.13
6,1,East Midlands,0.72000003,0.27999997
6,1,East Midlands,1,0
7,0.85000002,West Midlands,0.94999999,-0.09999997
7,1.25,West Midlands,0.72000003,0.52999997
7,0.89999998,West Midlands,0.69,0.20999998
7,0.94999999,West Midlands,0.94999999,0
7,1.29,West Midlands,0.80000001,0.48999999
7,1,West Midlands,0.85000002,0.14999998
7,0.89999998,West Midlands,0.75,0.14999998
7,1,West Midlands,0.69,0.31
7,1,West Midlands,1,0
7,1.3,West Midlands,0.85000002,0.44999998
7,1.5,West Midlands,0.72000003,0.77999997
7,0.98000002,West Midlands,0.85000002,0.13
7,1.1,West Midlands,0.88,0.22
7,1,West Midlands,0.58999997,0.41000003
7,1.49,West Midlands,0.80000001,0.68999999
7,1.49,West Midlands,0.72000003,0.76999997
7,1,West Midlands,0.89999998,0.10000002
7,1.4,West Midlands,0.85000002,0.54999998
7,1.5,West Midlands,0.88,0.62
7,0.94999999,West Midlands,0.72000003,0.22999996
7,1,West Midlands,0.60000002,0.39999998
7,1.1,West Midlands,0.58999997,0.51000003
7,1.29,West Midlands,0.85000002,0.43999998
7,1.3,West Midlands,0.85000002,0.44999998
7,0.89999998,West Midlands,0.99000001,-0.09000003
7,1,West Midlands,0.89999998,0.10000002
7,1,West Midlands,1,0
7,1,West Midlands,0.69,0.31
7,1,West Midlands,0.57999998,0.42000002
7,1.25,West Midlands,0.99000001,0.25999999
7,1,West Midlands,0.60000002,0.39999998
7,1,West Midlands,0.69,0.31
7,1,West Midlands,0.72000003,0.27999997
8,1.5,Yorkshire & Humber,0.94999999,0.55000001
8,1.49,Yorkshire & Humber,0.89999998,0.59000002
8,1,Yorkshire & Humber,0.72000003,0.27999997
8,0.68000001,Yorkshire & Humber,0.58999997,0.09000004
8,0.98000002,Yorkshire & Humber,0.60000002,0.38
8,0.85000002,Yorkshire & Humber,0.85000002,0
8,1.5,Yorkshire & Humber,0.80000001,0.69999999
8,1,Yorkshire & Humber,0.60000002,0.39999998
8,1.5,Yorkshire & Humber,1.5,0
8,1.25,Yorkshire & Humber,0.80000001,0.44999999
8,1,Yorkshire & Humber,1,0
8,1.49,Yorkshire & Humber,0.85000002,0.63999998
8,0.94999999,Yorkshire & Humber,0.85000002,0.09999997
8,0.99000001,Yorkshire & Humber,0.72000003,0.26999998
8,1.49,Yorkshire & Humber,0.85000002,0.63999998
8,1,Yorkshire & Humber,0.85000002,0.14999998
8,1,Yorkshire & Humber,0.57999998,0.42000002
8,0.99000001,Yorkshire & Humber,0.72000003,0.26999998
8,0.72000003,Yorkshire & Humber,1,-0.27999997
8,1.1,Yorkshire & Humber,0.72000003,0.37999997
8,0.89999998,Yorkshire & Humber,0.94999999,-0.05000001
8,1.1,Yorkshire & Humber,1,0.1
8,1.75,Yorkshire & Humber,0.87,0.88
8,1.75,Yorkshire & Humber,0.85000002,0.89999998
8,1.5,Yorkshire & Humber,1,0.5
8,0.89999998,Yorkshire & Humber,0.89999998,0
8,1,Yorkshire & Humber,0.85000002,0.14999998
9,1.1,North West,0.58999997,0.51000003
9,1.45,North West,0.85000002,0.59999998
9,1.49,North West,1.2,0.29
9,0.89999998,North West,0.57999998,0.32
9,0.94999999,North West,0.58999997,0.36000002
9,0.85000002,North West,1,-0.14999998
9,1.25,North West,0.79000002,0.45999998
9,0.68000001,North West,1,-0.31999999
9,0.89999998,North West,0.60000002,0.29999996
9,1.45,North West,0.69,0.76
9,0.89999998,North West,0.89999998,0
9,0.94999999,North West,0.58999997,0.36000002
9,1.39,North West,1.75,-0.36
9,0.99000001,North West,0.69,0.30000001
9,1.1,North West,0.58999997,0.51000003
9,1,North West,1.2,-0.2
9,0.99000001,North West,1.65,-0.65999999
9,1,North West,0.88,0.12
9,1.5,North West,0.85000002,0.64999998
9,0.99000001,North West,0.85000002,0.13999999
9,1.25,North West,0.94999999,0.30000001
9,0.75,North West,0.58999997,0.16000003
9,1.35,North West,0.72000003,0.62999997
9,0.89999998,North West,0.58999997,0.31000001
9,0.99000001,North West,1,-0.00999999
9,1,North West,0.75,0.25
9,1.49,North West,0.69,0.8
9,0.99000001,North West,0.25,0.74000001
9,1,North West,0.72000003,0.27999997
9,0.89999998,North West,0.88,0.01999998
9,0.99000001,North West,0.58999997,0.40000004
9,0.34999999,North West,0.58999997,-0.23999998
9,1,North West,0.89999998,0.10000002
9,1.29,North West,0.85000002,0.43999998
9,1,North West,0.60000002,0.39999998
9,0.99000001,North West,1,-0.00999999
9,1.49,North West,0.60000002,0.88999998
9,0.88,North West,0.72000003,0.15999997
10,1,North,0.57999998,0.42000002
10,1,North,0.80000001,0.19999999
10,0.80000001,North,0.33000001,0.47
10,1.75,North,0.72000003,1.02999997
10,1.1,North,0.60000002,0.49999998
10,0.89999998,North,1,-0.10000002
10,1.75,North,0.85000002,0.89999998
10,1.3099999,North,0.94999999,0.35999991
10,0.99000001,North,0.60000002,0.38999999
10,1.3099999,North,1,0.3099999
10,0.5,North,0.60000002,-0.10000002
10,1.25,North,0.88,0.37
10,0.89999998,North,0.85000002,0.04999996
10,1.49,North,0.94999999,0.54000001
10,1,North,0.80000001,0.19999999
10,0.99000001,North,1,-0.00999999
10,1,North,0.57999998,0.42000002
10,0.99000001,North,0.33000001,0.66
11,1,Wales,0.94999999,0.05000001
11,1.75,Wales,0.72000003,1.02999997
11,0.75,Wales,0.99000001,-0.24000001
11,1,Wales,0.57999998,0.42000002
11,1,Wales,0.60000002,0.39999998
11,1.75,Wales,0.60000002,1.14999998
11,1.25,Wales,0.69,0.56
11,1.75,Wales,1,0.75
11,1.2,Wales,0.99000001,0.20999999
11,1,Wales,1,0
11,0.94999999,Wales,0.85000002,0.09999997
11,1.75,Wales,0.88,0.87
11,1.2,Wales,0.88,0.32
11,0.89999998,Wales,0.72000003,0.17999995
11,1,Wales,0.60000002,0.39999998
12,0.85000002,Scotland,0.72000003,0.12999999
12,0.73000002,Scotland,0.85000002,-0.12
12,1,Scotland,0.85000002,0.14999998
12,1,Scotland,0.85000002,0.14999998
12,1.39,Scotland,0.57999998,0.81000002
12,0.73000002,Scotland,0.58999997,0.14000005
12,1,Scotland,0.72000003,0.27999997
12,0.99000001,Scotland,1,-0.00999999
12,1,Scotland,0.60000002,0.39999998
12,1,Scotland,0.60000002,0.39999998
12,1,Scotland,0.85000002,0.14999998
12,0.99000001,Scotland,0.85000002,0.13999999
12,0.38999999,Scotland,0.72000003,-0.33000004
12,1,Scotland,0.94999999,0.05000001
12,1.75,Scotland,0.69,1.06
12,0.89999998,Scotland,1,-0.10000002
12,0.73000002,Scotland,0.72000003,0.00999999
12,0.99000001,Scotland,0.88,0.11000001
12,1,Scotland,0.57999998,0.42000002
12,0.73000002,Scotland,0.85000002,-0.12
12,1.15,Scotland,0.72000003,0.42999997
12,1,Scotland,0.57999998,0.42000002
12,1.15,Scotland,0.58999997,0.56000003
12,1.39,Scotland,0.85000002,0.53999998
12,0.73000002,Scotland,0.94999999,-0.21999997
12,1.75,Scotland,0.85000002,0.89999998
12,0.68000001,Scotland,0.57999998,0.10000003
12,1,Scotland,0.69,0.31
13,1.6900001,Northern Ireland,0.72000003,0.97000007
13,1,Northern Ireland,0.94999999,0.05000001
13,1,Northern Ireland,0.69,0.31
13,1,Northern Ireland,1,0
13,0.88,Northern Ireland,1,-0.12
13,1,Northern Ireland,0.94999999,0.05000001
13,1.25,Northern Ireland,0.58999997,0.66000003
