quote_date,p_mean,percentage change
198903,0.5619266,0.00
198904,0.58745766,-4.54
198905,0.54299068,7.57
198906,0.53588784,1.31
198907,0.4876923,8.99
198908,0.49827272,-2.17
198909,0.51804876,-3.97
198910,0.54129308,-4.49
198911,0.51933336,4.06
198912,0.50715518,2.34
199001,0.51915252,-2.37
199002,0.52880597,-1.86
199003,0.5288806,-0.01
199004,0.53868854,-1.85
199005,0.57798451,-7.29
199006,0.56563908,2.14
199007,0.57785714,-2.16
199008,0.6234259,-7.89
199009,0.63073772,-1.17
199010,0.56679106,10.14
199011,0.50886524,10.22
199012,0.49352518,3.01
199101,0.51264703,-3.87
199102,0.5072,1.06
199103,0.53130716,-4.75
199104,0.55000001,-3.52
199105,0.52467835,4.60
199106,0.50487655,3.77
199107,0.55496687,-9.92
199108,0.58059525,-4.62
199109,0.58870751,-1.40
199110,0.58203489,1.13
199111,0.52241027,10.24
199112,0.4740625,9.25
199201,0.50632852,-6.81
199202,0.48068061,5.07
199203,0.49536458,-3.05
199204,0.44183671,10.81
199205,0.47813952,-8.22
199206,0.54243118,-13.45
199207,0.49004483,9.66
199208,0.502657,-2.57
199209,0.52648401,-4.74
199210,0.5188235,1.46
199211,0.50707763,2.26
199212,0.4730131,6.72
199301,0.5,-5.71
199302,0.51906669,-3.81
199303,0.5486818,-5.71
199304,0.54049999,1.49
199305,0.53193963,1.58
199306,0.53995669,-1.51
199307,0.53824788,0.32
199308,0.55413502,-2.95
199309,0.56166667,-1.36
199310,0.57068968,-1.61
199311,0.54210746,5.01
199312,0.54941666,-1.35
199401,0.52244896,4.91
199402,0.54662281,-4.63
199403,0.5395909,1.29
199404,0.54072726,-0.21
199405,0.49513945,8.43
199406,0.53449154,-7.95
199407,0.520625,2.59
199408,0.53029412,-1.86
199409,0.51946723,2.04
199410,0.52384001,-0.84
199411,0.51826084,1.07
199412,0.50799197,1.98
199501,0.51637793,-1.65
199502,0.52115554,-0.93
199503,0.52785712,-1.29
199504,0.56377047,-6.80
199505,0.5826506,-3.35
199506,0.56643999,2.78
199507,0.57490271,-1.49
199508,0.60278225,-4.85
199509,0.596255,1.08
199510,0.53020573,11.08
199511,0.49211764,7.18
199512,0.48832089,0.77
199601,0.50018179,-2.43
199602,0.51692307,-3.35
199603,0.51411998,0.54
199604,0.53895998,-4.83
199605,0.4953846,8.09
199606,0.53288001,-7.57
199607,0.55510288,-4.17
199608,0.55567962,-0.10
199609,0.5776,-3.94
199610,0.56210524,2.68
199611,0.53260869,5.25
199612,0.51729357,2.88
199701,0.53752214,-3.91
199702,0.51287806,4.58
199703,0.51096618,0.37
199704,0.53676057,-5.05
199705,0.56481481,-5.23
199706,0.59556073,-5.44
199707,0.56710142,4.78
199708,0.60515153,-6.71
199709,0.6368137,-5.23
199710,0.57707548,9.38
199711,0.54053813,6.33
199712,0.56598175,-4.71
199801,0.58400923,-3.19
199802,0.56946748,2.49
199803,0.58857924,-3.36
199804,0.55632126,5.48
199805,0.52020514,6.49
199806,0.54614997,-4.99
199807,0.51283652,6.10
199808,0.52507615,-2.39
199809,0.56208956,-7.05
199810,0.53165096,5.42
199811,0.53686917,-0.98
199812,0.55490291,-3.36
199901,0.56556338,-1.92
199902,0.60927272,-7.73
199903,0.61833334,-1.49
199904,0.66535521,-7.60
199905,0.68742269,-3.32
199906,0.69179487,-0.64
199907,0.7380814,-6.69
199908,0.71910053,2.57
199909,0.68951613,4.11
199910,0.66370368,3.74
199911,0.65887702,0.73
199912,0.62891191,4.55
200001,0.66540813,-5.80
200002,0.65047121,2.24
200003,0.65304124,-0.40
200004,0.63540107,2.70
200005,0.6451323,-1.53
200006,0.66140002,-2.52
200007,0.62720209,5.17
200008,0.66968256,-6.77
200009,0.63182265,5.65
200010,0.67774868,-7.27
200011,0.64937198,4.19
200012,0.63995236,1.45
200101,0.68338162,-6.79
200102,0.65264863,4.50
200103,0.70994765,-8.78
200104,0.69743592,1.76
200105,0.73562187,-5.48
200106,0.73689997,-0.17
200107,0.74525511,-1.13
200108,0.71005207,4.72
200109,0.6895082,2.89
200110,0.69569147,-0.90
200111,0.6697396,3.73
200112,0.69568628,-3.87
200201,0.66108376,4.97
200202,0.62005317,6.21
200203,0.65376288,-5.44
200204,0.65806931,-0.66
200205,0.64754808,1.60
200206,0.63310343,2.23
200207,0.63137257,0.27
200208,0.65907693,-4.39
200209,0.65778893,0.20
200210,0.71203125,-8.25
200211,0.67547739,5.13
200212,0.70855719,-4.90
200301,0.72170985,-1.86
200302,0.72744447,-0.79
200303,0.79757065,-9.64
200304,0.78946108,1.02
200305,0.7686705,2.63
