quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge
201701,210808,8.1770458,9.5,7.3000002,6.6700001,348,01-01-2017,2017-01-01,115625,2017,1,1,matched (3)
201702,210808,8.1611824,9.6800003,7.5,6.23,349,01-02-2017,2017-02-01,114063,2017,2,1,matched (3)
201703,210808,7.9562635,9.2799997,7.4899998,6.23,350,01-03-2017,2017-03-01,115516,2017,3,1,matched (3)
201704,210808,8.2209778,9.7450008,7.6549997,6.5700002,351,01-04-2017,2017-04-01,116889,2017,4,2,matched (3)
201705,210808,8.1612101,9.5,7.5,6.5,352,01-05-2017,2017-05-01,117233,2017,5,2,matched (3)
201706,210808,8.0637636,9.6800003,7.4899998,6.1700001,353,01-06-2017,2017-06-01,117390,2017,6,2,matched (3)
201707,210808,8.198782,9.6800003,7.6199999,6.23,354,01-07-2017,2017-07-01,117692,2017,7,3,matched (3)
201708,210808,8.2282019,9.5799999,7.5,6.6700001,355,01-08-2017,2017-08-01,117018,2017,8,3,matched (3)
201709,210808,8.1539783,9.5,7.4899998,6.23,356,01-09-2017,2017-09-01,117013,2017,9,3,matched (3)
201710,210808,8.2265205,9.6800003,7.6900001,6.5,357,01-10-2017,2017-10-01,116488,2017,10,4,matched (3)
201711,210808,8.2062082,9.5,7.6900001,6.5700002,358,01-11-2017,2017-11-01,116285,2017,11,4,matched (3)
201712,210808,8.315485,9.7299995,7.7049999,6.6100001,359,01-12-2017,2017-12-01,117146,2017,12,4,matched (3)
201801,210808,8.3195601,9.8500004,7.71,6.6700001,360,01-01-2018,2018-01-01,116458,2018,1,1,matched (3)
201802,210808,8.3387547,9.9799995,7.1700001,6.6300001,361,01-02-2018,2018-02-01,122581,2018,2,1,matched (3)
201803,210808,8.2824364,9.96,7.0599999,6.6300001,362,01-03-2018,2018-03-01,125211,2018,3,1,matched (3)
201804,210808,8.2625446,9.9200001,7,6.5900002,363,01-04-2018,2018-04-01,126219,2018,4,2,matched (3)
201805,210808,8.3083572,9.9200001,6.9799995,6.4000001,364,01-05-2018,2018-05-01,126941,2018,5,2,matched (3)
201806,210808,8.2447081,9.9200001,6.9699998,6.3800001,365,01-06-2018,2018-06-01,126695,2018,6,2,matched (3)
201807,210808,8.2303953,9.8999996,6.9699998,6.3000002,366,01-07-2018,2018-07-01,124520,2018,7,3,matched (3)
201808,210808,8.257472,9.9200001,7,6.4000001,367,01-08-2018,2018-08-01,124079,2018,8,3,matched (3)
201809,210808,8.2103844,9.9200001,7,6.23,368,01-09-2018,2018-09-01,124265,2018,9,3,matched (3)
201810,210808,8.2202797,9.8999996,7,6.23,369,01-10-2018,2018-10-01,124191,2018,10,4,matched (3)
201811,210808,8.1905022,9.9200001,7,6.23,370,01-11-2018,2018-11-01,123289,2018,11,4,matched (3)
201812,210808,8.2488527,9.9200001,7,6.23,371,01-12-2018,2018-12-01,125381,2018,12,4,matched (3)
201901,210808,8.277709,9.9200001,7,6.2800002,372,01-01-2019,2019-01-01,125531,2019,1,1,matched (3)
201902,210808,8.2597809,9.9200001,7,6.23,373,01-02-2019,2019-02-01,124018,2019,2,1,matched (3)
201903,210808,8.2666178,9.9099998,7.0500002,6.23,374,01-03-2019,2019-03-01,127885,2019,3,1,matched (3)
201904,210808,8.0977612,9.9099998,7.1700001,6,375,01-04-2019,2019-04-01,128853,2019,4,2,matched (3)
201905,210808,8.2878466,9.9499998,7.1149998,6.2800002,376,01-05-2019,2019-05-01,128682,2019,5,2,matched (3)
201906,210808,8.3921223,9.9799995,7.2350001,6.5,377,01-06-2019,2019-06-01,129075,2019,6,2,matched (3)
201907,210808,8.2897501,9.9699993,7,6.3299999,378,01-07-2019,2019-07-01,128486,2019,7,3,matched (3)
201908,210808,8.1745758,9.6000004,7,5.9299998,379,01-08-2019,2019-08-01,127479,2019,8,3,matched (3)
201909,210808,8.3450184,9.9200001,7,6.3400002,380,01-09-2019,2019-09-01,127702,2019,9,3,matched (3)
201910,210808,8.1902514,9.5,7,6.3400002,381,01-10-2019,2019-10-01,127514,2019,10,4,matched (3)
201911,210808,8.2464342,9.75,7,6.3299999,382,01-11-2019,2019-11-01,127910,2019,11,4,matched (3)
201912,210808,8.3015165,9.8500004,7,6.3299999,383,01-12-2019,2019-12-01,127767,2019,12,4,matched (3)
202001,210808,8.3570032,9.8999996,7,6.3400002,384,01-01-2020,2020-01-01,127661,2020,1,1,matched (3)
202002,210808,8.3864365,9.9200001,7,6.3400002,385,01-02-2020,2020-02-01,126570,2020,2,1,matched (3)
202003,210808,8.4437361,9.9200001,7,6.3000002,386,01-03-2020,2020-03-01,118933,2020,3,1,matched (3)
202004,210808,8.1097984,9,7,6,387,01-04-2020,2020-04-01,74251,2020,4,2,matched (3)
202005,210808,8.0084047,8.7749996,6.8299999,6,388,01-05-2020,2020-05-01,85259,2020,5,2,matched (3)
202006,210808,8.1421461,9,7,6.3000002,389,01-06-2020,2020-06-01,94010,2020,6,2,matched (3)
202007,210808,8.1695719,8.8900003,7,6,390,01-07-2020,2020-07-01,102371,2020,7,3,matched (3)
202008,210808,8.3228111,9.9499998,7,6.1500001,391,01-08-2020,2020-08-01,112987,2020,8,3,matched (3)
202009,210808,8.3136539,9.9699993,7,6,392,01-09-2020,2020-09-01,116062,2020,9,3,matched (3)
