quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
202002,220328,3.5327742,4,3.3,2.5999999,1.7301967,385,01-02-2020,2020-02-01,126570,2020,2,1,matched (3)
202003,220328,3.5337188,4,3.3,2.5999999,1.7305111,386,01-03-2020,2020-03-01,118933,2020,3,1,matched (3)
202004,220328,4.0310669,4.5,3.5,2.9000001,1.8816715,387,01-04-2020,2020-04-01,74251,2020,4,2,matched (3)
202005,220328,3.8814285,4.5,3.5,2.8,1.790888,388,01-05-2020,2020-05-01,85259,2020,5,2,matched (3)
202006,220328,3.7080393,4.4899998,3.4949999,2.8,1.6239285,389,01-06-2020,2020-06-01,94010,2020,6,2,matched (3)
202007,220328,3.6530952,4.125,3.49,2.8,1.7025853,390,01-07-2020,2020-07-01,102371,2020,7,3,matched (3)
202008,220328,3.2948692,3.99,3.1900001,2.4130001,1.4935992,391,01-08-2020,2020-08-01,112987,2020,8,3,matched (3)
202009,220328,3.5129247,3.9949999,3.3,2.625,1.6212052,392,01-09-2020,2020-09-01,116062,2020,9,3,matched (3)
202010,220328,3.5832295,4,3.3,2.7,1.5665163,393,01-10-2020,2020-10-01,116826,2020,10,4,matched (3)
202011,220328,3.5651817,4,3.3,2.7,1.6947929,394,01-11-2020,2020-11-01,82553,2020,11,4,matched (3)
202012,220328,3.6134441,4,3.3,2.8,1.6937191,395,01-12-2020,2020-12-01,94790,2020,12,4,matched (3)
202101,220328,3.5481017,4,3.3,2.8,1.5609478,396,01-01-2021,2021-01-01,94079,2021,1,1,matched (3)
202102,220328,3.5472767,4,3.3,2.8,1.5947918,397,01-02-2021,2021-02-01,98049,2021,2,1,matched (3)
202103,220328,3.5579591,4.125,3.3,2.8,1.5719671,398,01-03-2021,2021-03-01,100972,2021,3,1,matched (3)
202104,220328,3.5900669,4.1999998,3.345,2.8,1.596926,399,01-04-2021,2021-04-01,102092,2021,4,2,matched (3)
202105,220328,3.5540416,4,3.49,2.7249999,1.5733454,400,01-05-2021,2021-05-01,95210,2021,5,2,matched (3)
202106,220328,3.6193321,4.0999999,3.49,2.7,1.6481656,401,01-06-2021,2021-06-01,109408,2021,6,2,matched (3)
202107,220328,3.6368058,4.1999998,3.49,2.7,1.6694846,402,01-07-2021,2021-07-01,122056,2021,7,3,matched (3)
202108,220328,3.677731,4.29,3.5,2.7249999,1.6758106,403,01-08-2021,2021-08-01,123477,2021,8,3,matched (3)
202109,220328,3.6965756,4.29,3.5,2.8,1.6725794,404,01-09-2021,2021-09-01,122686,2021,9,3,matched (3)
202110,220328,3.7061846,4.29,3.5,2.8,1.6574258,405,01-10-2021,2021-10-01,123103,2021,10,4,matched (3)
202111,220328,3.7346876,4.2950001,3.5,2.8249998,1.6785938,406,01-11-2021,2021-11-01,123532,2021,11,4,matched (3)
202112,220328,3.7827384,4.4000001,3.5,2.9000001,1.7249738,407,01-12-2021,2021-12-01,123086,2021,12,4,matched (3)
202201,220328,3.8126481,4.4899998,3.5,2.9000001,1.7767148,408,01-01-2022,2022-01-01,123655,2022,1,1,matched (3)
202202,220328,3.8349364,4.4899998,3.5,2.95,1.7627209,409,01-02-2022,2022-02-01,121928,2022,2,1,matched (3)
202203,220328,3.882972,4.5,3.5999999,3,1.7667058,410,01-03-2022,2022-03-01,125713,2022,3,1,matched (3)
202204,220328,3.9796572,4.5900002,3.7,3,1.7961385,411,01-04-2022,2022-04-01,127157,2022,4,2,matched (3)
202205,220328,4.0637689,4.8899999,3.8,3,1.8021965,412,01-05-2022,2022-05-01,127155,2022,5,2,matched (3)
202206,220328,4.1244001,4.9899998,3.9000001,3,1.8221716,413,01-06-2022,2022-06-01,127526,2022,6,2,matched (3)
202207,220328,4.2033229,4.9899998,3.99,3,1.85571,414,01-07-2022,2022-07-01,127040,2022,7,3,matched (3)
202208,220328,4.2561817,5,3.99,3.2,1.8908851,415,01-08-2022,2022-08-01,125392,2022,8,3,matched (3)
202209,220328,4.2788754,5,3.99,3.2,1.8641889,416,01-09-2022,2022-09-01,125502,2022,9,3,matched (3)
202210,220328,4.3369722,5.25,4,3.3,1.8880509,417,01-10-2022,2022-10-01,125741,2022,10,4,matched (3)
