v1,v2,v6,v8,v9
Baldwin County,Alabama,"36,893",With health insurance coverage,"147,166"
Baldwin County,Alabama,"82,566",With health insurance coverage,
Baldwin County,Alabama,"27,707",With health insurance coverage,
Calhoun County,Alabama,"24,577",With health insurance coverage,"95,931"
Calhoun County,Alabama,"55,159",With health insurance coverage,
Calhoun County,Alabama,"16,195",With health insurance coverage,
Cullman County,Alabama,"17,870",With health insurance coverage,"66,514"
Cullman County,Alabama,"36,862",With health insurance coverage,
Cullman County,Alabama,"11,782",With health insurance coverage,
DeKalb County,Alabama,"13,528",With health insurance coverage,"52,989"
DeKalb County,Alabama,"30,235",With health insurance coverage,
DeKalb County,Alabama,"9,226",With health insurance coverage,
Elmore County,Alabama,"18,507",With health insurance coverage,"61,801"
Elmore County,Alabama,"35,432",With health insurance coverage,
Elmore County,Alabama,"7,862",With health insurance coverage,
Etowah County,Alabama,"20,285",With health insurance coverage,"85,706"
Etowah County,Alabama,"49,831",With health insurance coverage,
Etowah County,Alabama,"15,590",With health insurance coverage,
Houston County,Alabama,"23,226",With health insurance coverage,"84,698"
Houston County,Alabama,"47,532",With health insurance coverage,
Houston County,Alabama,"13,940",With health insurance coverage,
Jefferson County,Alabama,"145,495",With health insurance coverage,"567,952"
Jefferson County,Alabama,"336,769",With health insurance coverage,
Jefferson County,Alabama,"85,688",With health insurance coverage,
Lauderdale County,Alabama,"16,478",With health insurance coverage,"76,375"
Lauderdale County,Alabama,"45,048",With health insurance coverage,
Lauderdale County,Alabama,"14,849",With health insurance coverage,
Lee County,Alabama,"26,638",With health insurance coverage,"117,520"
Lee County,Alabama,"79,266",With health insurance coverage,
Lee County,Alabama,"11,616",With health insurance coverage,
Limestone County,Alabama,"18,300",With health insurance coverage,"65,568"
Limestone County,Alabama,"38,388",With health insurance coverage,
Limestone County,Alabama,"8,880",With health insurance coverage,
Madison County,Alabama,"71,185",With health insurance coverage,"274,857"
Madison County,Alabama,"165,251",With health insurance coverage,
Madison County,Alabama,"38,421",With health insurance coverage,
Marshall County,Alabama,"20,344",With health insurance coverage,"70,217"
Marshall County,Alabama,"37,667",With health insurance coverage,
Marshall County,Alabama,"12,206",With health insurance coverage,
Mobile County,Alabama,"94,299",With health insurance coverage,"337,303"
Mobile County,Alabama,"194,809",With health insurance coverage,
Mobile County,Alabama,"48,195",With health insurance coverage,
Montgomery County,Alabama,"53,485",With health insurance coverage,"193,459"
Montgomery County,Alabama,"113,826",With health insurance coverage,
Montgomery County,Alabama,"26,148",With health insurance coverage,
Morgan County,Alabama,"25,024",With health insurance coverage,"97,490"
Morgan County,Alabama,"56,647",With health insurance coverage,
Morgan County,Alabama,"15,819",With health insurance coverage,
St. Clair County,Alabama,"18,972",With health insurance coverage,"66,528"
St. Clair County,Alabama,"38,934",With health insurance coverage,
St. Clair County,Alabama,"8,622",With health insurance coverage,
Shelby County,Alabama,"47,898",With health insurance coverage,"172,952"
Shelby County,Alabama,"108,359",With health insurance coverage,
Shelby County,Alabama,"16,695",With health insurance coverage,
Talladega County,Alabama,"17,517",With health insurance coverage,"67,516"
Talladega County,Alabama,"39,313",With health insurance coverage,
Talladega County,Alabama,"10,686",With health insurance coverage,
Tuscaloosa County,Alabama,"38,476",With health insurance coverage,"158,106"
Tuscaloosa County,Alabama,"99,798",With health insurance coverage,
Tuscaloosa County,Alabama,"19,832",With health insurance coverage,
Walker County,Alabama,"14,542",With health insurance coverage,"58,240"
Walker County,Alabama,"33,060",With health insurance coverage,
Walker County,Alabama,"10,638",With health insurance coverage,
Anchorage Municipality,Alaska,"65,689",With health insurance coverage,"227,946"
Anchorage Municipality,Alaska,"142,816",With health insurance coverage,
Anchorage Municipality,Alaska,"19,441",With health insurance coverage,
Fairbanks North Star Borough,Alaska,"26,747",With health insurance coverage,"79,955"
Fairbanks North Star Borough,Alaska,"48,045",With health insurance coverage,
Fairbanks North Star Borough,Alaska,"5,163",With health insurance coverage,
Matanuska-Susitna Borough,Alaska,"19,416",With health insurance coverage,"63,583"
Matanuska-Susitna Borough,Alaska,"38,116",With health insurance coverage,
Matanuska-Susitna Borough,Alaska,"6,051",With health insurance coverage,
Apache County,Arizona,"13,856",With health insurance coverage,"45,789"
