quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
200302,520326,24.433001,30,20,15,15.661718,181,01-02-2003,2003-02-01,106569,2003,2,1,matched (3)
200303,520326,25.071886,30,20,15,15.620247,182,01-03-2003,2003-03-01,107246,2003,3,1,matched (3)
200304,520326,25.724731,30.049999,20.5,15,15.388612,183,01-04-2003,2003-04-01,96279,2003,4,2,matched (3)
200305,520326,26.441305,30,22,15,15.713213,184,01-05-2003,2003-05-01,99396,2003,5,2,matched (3)
200306,520326,26.070513,30,21,15,15.777587,185,01-06-2003,2003-06-01,100902,2003,6,2,matched (3)
200307,520326,26.17906,30,22,15,15.544409,186,01-07-2003,2003-07-01,101269,2003,7,3,matched (3)
200308,520326,26.27437,30,23,15,15.437573,187,01-08-2003,2003-08-01,100534,2003,8,3,matched (3)
200309,520326,24.120939,30,22.5,15,10.862464,188,01-09-2003,2003-09-01,101448,2003,9,3,matched (3)
200310,520326,27.0676,30,24,15.2,17.385834,189,01-10-2003,2003-10-01,104513,2003,10,4,matched (3)
200311,520326,26.959274,30,23.5,15.1,17.104355,190,01-11-2003,2003-11-01,109068,2003,11,4,matched (3)
200312,520326,27.123381,30,23,15.2,17.189556,191,01-12-2003,2003-12-01,110012,2003,12,4,matched (3)
200401,520326,26.698977,30,23.25,17,16.534533,192,01-01-2004,2004-01-01,107904,2004,1,1,matched (3)
200402,520326,27.024467,30,23.5,17,17.284822,193,01-02-2004,2004-02-01,103439,2004,2,1,matched (3)
200403,520326,27.176619,30,23.5,17,17.336199,194,01-03-2004,2004-03-01,105011,2004,3,1,matched (3)
200404,520326,27.175556,30,24,17,17.542938,195,01-04-2004,2004-04-01,105509,2004,4,2,matched (3)
200405,520326,27.467045,30,24,17.25,17.622345,196,01-05-2004,2004-05-01,107319,2004,5,2,matched (3)
200406,520326,27.784962,30,24,18,17.626492,197,01-06-2004,2004-06-01,107774,2004,6,2,matched (3)
200407,520326,27.823664,30,24,18,17.756868,198,01-07-2004,2004-07-01,106865,2004,7,3,matched (3)
200408,520326,27.602272,30,24,18,17.527842,199,01-08-2004,2004-08-01,105050,2004,8,3,matched (3)
200409,520326,27.82197,30,24.25,18,17.561886,200,01-09-2004,2004-09-01,104170,2004,9,3,matched (3)
200410,520326,27.69084,30,24,18,17.706076,201,01-10-2004,2004-10-01,105471,2004,10,4,matched (3)
200411,520326,27.553434,30,24,18,17.421486,202,01-11-2004,2004-11-01,106502,2004,11,4,matched (3)
200412,520326,27.651163,30,24,18,17.513597,203,01-12-2004,2004-12-01,106782,2004,12,4,matched (3)
200501,520326,28.25,30,25,18,18.332367,204,01-01-2005,2005-01-01,103613,2005,1,1,matched (3)
200502,520326,26.630327,29,23.5,18,17.410046,205,01-02-2005,2005-02-01,108851,2005,2,1,matched (3)
200503,520326,26.778831,29,24,18,17.633858,206,01-03-2005,2005-03-01,109174,2005,3,1,matched (3)
200504,520326,27.125109,29,24,18,18.337831,207,01-04-2005,2005-04-01,112133,2005,4,2,matched (3)
200505,520326,22.741562,25.5,21.075001,17.450001,7.5813227,208,01-05-2005,2005-05-01,111815,2005,5,2,matched (3)
200506,520326,27.256086,29,25,18,18.330826,209,01-06-2005,2005-06-01,114133,2005,6,2,matched (3)
200507,520326,27.654779,29,25,18,18.52257,210,01-07-2005,2005-07-01,112702,2005,7,3,matched (3)
200508,520326,27.913971,29.5,25,18,18.611961,211,01-08-2005,2005-08-01,111794,2005,8,3,matched (3)
200509,520326,27.715441,29,25,18,18.448362,212,01-09-2005,2005-09-01,111426,2005,9,3,matched (3)
200510,520326,28.191111,30,25,18,18.805468,213,01-10-2005,2005-10-01,108500,2005,10,4,matched (3)
200511,520326,28.393431,30,25,18,18.667967,214,01-11-2005,2005-11-01,104534,2005,11,4,matched (3)
200512,520326,28.741177,30,25,18.75,18.630945,215,01-12-2005,2005-12-01,109077,2005,12,4,matched (3)
200601,520326,29.519918,33,25,19.5,20.1394,216,01-01-2006,2006-01-01,104610,2006,1,1,matched (3)
200602,520326,28.108246,32.5,25,19,15.78585,217,01-02-2006,2006-02-01,100465,2006,2,1,matched (3)
200603,520326,28.790678,32.5,25,20,17.775537,218,01-03-2006,2006-03-01,103882,2006,3,1,matched (3)
200604,520326,28.830914,32.5,25,20,17.506594,219,01-04-2006,2006-04-01,107567,2006,4,2,matched (3)
200605,520326,28.926903,31,25,20,17.581541,220,01-05-2006,2006-05-01,109228,2006,5,2,matched (3)
200606,520326,29.272011,33,25,20,17.614552,221,01-06-2006,2006-06-01,110194,2006,6,2,matched (3)
200607,520326,29.432703,33,25,20,17.54727,222,01-07-2006,2006-07-01,107021,2006,7,3,matched (3)
200608,520326,28.820118,32,25,20,16.976019,223,01-08-2006,2006-08-01,105147,2006,8,3,matched (3)
200609,520326,29.152632,32.5,25,20,17.370844,224,01-09-2006,2006-09-01,105598,2006,9,3,matched (3)
200610,520326,29.089413,33,25,20,17.395315,225,01-10-2006,2006-10-01,106345,2006,10,4,matched (3)
200611,520326,29.278362,33.599998,25,20,17.324606,226,01-11-2006,2006-11-01,107067,2006,11,4,matched (3)
200612,520326,29.513872,34,25,20,17.365461,227,01-12-2006,2006-12-01,107974,2006,12,4,matched (3)
200701,520326,30.146667,34,25,20,17.896374,228,01-01-2007,2007-01-01,94734,2007,1,1,matched (3)
200702,520326,27.616875,31,25,20,10.241907,229,01-02-2007,2007-02-01,94993,2007,2,1,matched (3)
200703,520326,30.039881,34,25,20,17.877659,230,01-03-2007,2007-03-01,99770,2007,3,1,matched (3)
200704,520326,29.835503,34.5,25,20,17.354013,231,01-04-2007,2007-04-01,101168,2007,4,2,matched (3)
200705,520326,30.477219,34.700001,25,20,18.084528,232,01-05-2007,2007-05-01,102992,2007,5,2,matched (3)
200706,520326,30.486526,34.700001,25,20,18.170647,233,01-06-2007,2007-06-01,104456,2007,6,2,matched (3)
200707,520326,30.822891,35,25,20,18.249388,234,01-07-2007,2007-07-01,103584,2007,7,3,matched (3)
200708,520326,31.03405,35,25,20,18.327078,235,01-08-2007,2007-08-01,103198,2007,8,3,matched (3)
200709,520326,30.636667,35,25,21,15.823532,236,01-09-2007,2007-09-01,103769,2007,9,3,matched (3)
200710,520326,31.109819,35,25.875,22,16.60323,237,01-10-2007,2007-10-01,105114,2007,10,4,matched (3)
200711,520326,31.168781,35,25.5,21.5,16.697529,238,01-11-2007,2007-11-01,107436,2007,11,4,matched (3)
200712,520326,31.185509,35,26,22,16.916771,239,01-12-2007,2007-12-01,107286,2007,12,4,matched (3)
200801,520326,31.097727,35,26.5,22.5,16.815323,240,01-01-2008,2008-01-01,102691,2008,1,1,matched (3)
200802,520326,31.365938,35,27.200001,22.5,16.679333,241,01-02-2008,2008-02-01,100511,2008,2,1,matched (3)
200803,520326,31.558187,35,27.5,22.5,16.778841,242,01-03-2008,2008-03-01,105118,2008,3,1,matched (3)
200804,520326,31.519419,35,27.5,22.5,16.828505,243,01-04-2008,2008-04-01,99887,2008,4,2,matched (3)
200805,520326,31.343014,35,27.450001,23,16.463894,244,01-05-2008,2008-05-01,100583,2008,5,2,matched (3)
