quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
198802,440105,8.9363098,10,9,8,1.1786121,1,01-02-1988,1988-02-01,51065,1988,2,1,matched (3)
198803,440105,8.9957867,10,9,8,1.2475951,2,01-03-1988,1988-03-01,49987,1988,3,1,matched (3)
198804,440105,9.0914507,10,9,8,1.228425,3,01-04-1988,1988-04-01,51716,1988,4,2,matched (3)
198805,440105,9.1577721,10,9,8,1.2568942,4,01-05-1988,1988-05-01,51209,1988,5,2,matched (3)
198806,440105,9.2338457,10,9,8,1.3022218,5,01-06-1988,1988-06-01,51126,1988,6,2,matched (3)
198807,440105,9.2707891,10,9,8,1.3212856,6,01-07-1988,1988-07-01,50053,1988,7,3,matched (3)
198809,440105,9.3553677,10,9,8.5,1.3121967,8,01-09-1988,1988-09-01,47264,1988,9,3,matched (3)
198810,440105,9.3117018,10,9,8.5,1.2824177,9,01-10-1988,1988-10-01,50282,1988,10,4,matched (3)
198811,440105,9.3852043,10,9,8.5,1.3031758,10,01-11-1988,1988-11-01,49281,1988,11,4,matched (3)
198812,440105,9.4359999,10,9,8.5,1.3269639,11,01-12-1988,1988-12-01,51813,1988,12,4,matched (3)
198901,440105,9.5208759,10,9.5,8.5,1.3357053,12,01-01-1989,1989-01-01,48551,1989,1,1,matched (3)
198903,440105,9.7117949,10.75,9.5,8.5,1.3902605,14,01-03-1989,1989-03-01,57413,1989,3,1,matched (3)
198905,440105,9.9819584,11,10,9,1.5319767,16,01-05-1989,1989-05-01,57869,1989,5,2,matched (3)
198906,440105,10.038693,11,10,9,1.5326366,17,01-06-1989,1989-06-01,58028,1989,6,2,matched (3)
198907,440105,10.093908,11.25,10,9,1.5690204,18,01-07-1989,1989-07-01,56793,1989,7,3,matched (3)
198908,440105,10.109137,11,10,9,1.5623251,19,01-08-1989,1989-08-01,55705,1989,8,3,matched (3)
198909,440105,10.182908,11.3,10,9,1.5686435,20,01-09-1989,1989-09-01,56655,1989,9,3,matched (3)
198910,440105,10.244088,11.95,10,9,1.6161742,21,01-10-1989,1989-10-01,55533,1989,10,4,matched (3)
198911,440105,10.326601,11.95,10,9,1.6075492,22,01-11-1989,1989-11-01,57758,1989,11,4,matched (3)
198912,440105,10.412879,11.95,10,9,1.5959493,23,01-12-1989,1989-12-01,54852,1989,12,4,matched (3)
199001,440105,10.489445,12,10,9.5,1.5779644,24,01-01-1990,1990-01-01,54121,1990,1,1,matched (3)
199002,440105,10.520162,12,10,9.5,1.6463996,25,01-02-1990,1990-02-01,60253,1990,2,1,matched (3)
199003,440105,10.650266,12,10,9.5,1.699296,26,01-03-1990,1990-03-01,60923,1990,3,1,matched (3)
199004,440105,10.756594,12.25,10.225,9.5,1.7631465,27,01-04-1990,1990-04-01,60819,1990,4,2,matched (3)
199005,440105,10.881311,12.5,10.5,9.5,1.8106045,28,01-05-1990,1990-05-01,61136,1990,5,2,matched (3)
199006,440105,10.989573,12.65,10.5,10,1.8018019,29,01-06-1990,1990-06-01,62259,1990,6,2,matched (3)
199007,440105,11.081182,12.5,11,10,1.8307495,30,01-07-1990,1990-07-01,59060,1990,7,3,matched (3)
199008,440105,11.182065,12.95,11,10,1.8024662,31,01-08-1990,1990-08-01,60067,1990,8,3,matched (3)
199009,440105,11.291351,12.95,11,10,1.7868879,32,01-09-1990,1990-09-01,61285,1990,9,3,matched (3)
199010,440105,11.466111,12.95,11.125,10,1.7384467,33,01-10-1990,1990-10-01,62163,1990,10,4,matched (3)
199011,440105,11.531053,13,12,10,1.7354867,34,01-11-1990,1990-11-01,65091,1990,11,4,matched (3)
