p_mean,dateStata,dateISO,year,%change,%change
0.89262295,01/12/2011,01/12/2011,2011,,-2.923844833
0.86652404,01/01/2012,01/01/2012,2012,,0.798425627
0.87344259,01/02/2012,01/02/2012,2012,,-2.790711179
0.84906733,01/03/2012,01/03/2012,2012,,3.324973062
0.87729859,01/04/2012,01/04/2012,2012,,-0.956780291
0.86890477,01/05/2012,01/05/2012,2012,,5.966118704
0.92074466,01/06/2012,01/06/2012,2012,,0.677739472
0.92698491,01/07/2012,01/07/2012,2012,,0.431365166
0.9309836,01/08/2012,01/08/2012,2012,,-1.139576465
0.92037433,01/09/2012,01/09/2012,2012,,4.040943862
0.95756614,01/10/2012,01/10/2012,2012,,-2.924172945
0.92956525,01/11/2012,01/11/2012,2012,,-0.37095298
0.926117,01/12/2012,01/12/2012,2012,3.752317818,-2.623733286
0.90181816,01/01/2013,01/01/2013,2013,,5.780131995
0.95394444,01/02/2013,01/02/2013,2013,,-0.351156719
0.9505946,01/03/2013,01/03/2013,2013,,1.908513892
0.96873683,01/04/2013,01/04/2013,2013,,0.605646427
0.97460395,01/05/2013,01/05/2013,2013,,-3.319566887
0.94225132,01/06/2013,01/06/2013,2013,,1.860819893
0.95978492,01/07/2013,01/07/2013,2013,,3.997288267
0.99815029,01/08/2013,01/08/2013,2013,,0.148009775
0.99962765,01/09/2013,01/09/2013,2013,,-1.044788027
0.98918366,01/10/2013,01/10/2013,2013,,-0.040630473
0.98878175,01/11/2013,01/11/2013,2013,,-5.291908958
0.93645632,01/12/2013,01/12/2013,2013,1.116416176,4.001138035
0.97392523,01/01/2014,01/01/2014,2014,,-2.697225535
0.94765627,01/02/2014,01/02/2014,2014,,2.065245661
0.9672277,01/03/2014,01/03/2014,2014,,-0.874657539
0.95876777,01/04/2014,01/04/2014,2014,,-1.323885762
0.94607478,01/05/2014,01/05/2014,2014,,-4.024501108
0.90799999,01/06/2014,01/06/2014,2014,,3.242374485
0.93744075,01/07/2014,01/07/2014,2014,,0.950453669
0.94635069,01/08/2014,01/08/2014,2014,,-0.685350586
0.93986487,01/09/2014,01/09/2014,2014,,2.921662558
0.96732455,01/10/2014,01/10/2014,2014,,-3.132900948
0.93701923,01/11/2014,01/11/2014,2014,,-0.575150416
0.93162996,01/12/2014,01/12/2014,2014,-0.515385491,-3.805234001
0.89617926,01/01/2015,01/01/2015,2015,,4.81426004
0.93932366,01/02/2015,01/02/2015,2015,,-1.66667898
0.92366815,01/03/2015,01/03/2015,2015,,2.900413964
0.95045835,01/04/2015,01/04/2015,2015,,-0.266850199
0.94792205,01/05/2015,01/05/2015,2015,,-3.708933662
0.91276425,01/06/2015,01/06/2015,2015,,7.108387516
0.97764707,01/07/2015,01/07/2015,2015,,-3.089074874
0.94744682,01/08/2015,01/08/2015,2015,,0.320624856
0.95048457,01/09/2015,01/09/2015,2015,,3.040983611
0.97938865,01/10/2015,01/10/2015,2015,,-2.33094288
0.95655966,01/11/2015,01/11/2015,2015,,0.588612528
0.96219009,01/12/2015,01/12/2015,2015,3.280286306,-0.200967566
0.9602564,01/01/2016,01/01/2016,2016,,3.474438702
0.99361992,01/02/2016,01/02/2016,2016,,-0.140670489
0.99222219,01/03/2016,01/03/2016,2016,,-2.60358116
0.96638888,01/04/2016,01/04/2016,2016,,2.57568568
0.99128002,01/05/2016,01/05/2016,2016,,-1.76544666
0.9737795,01/06/2016,01/06/2016,2016,,0.088068192
0.97463709,01/07/2016,01/07/2016,2016,,3.297751576
1.0067782,01/08/2016,01/08/2016,2016,,2.347081015
1.0304081,01/09/2016,01/09/2016,2016,,-0.530479137
1.024942,01/10/2016,01/10/2016,2016,,-3.819178061
0.98579764,01/11/2016,01/11/2016,2016,,0.708993379
0.99278688,01/12/2016,01/12/2016,2016,3.179911155,1.943994264
1.0120866,01/01/2017,01/01/2017,2017,,2.282126846
1.0351837,01/02/2017,01/02/2017,2017,,0.362747211
1.0389388,01/03/2017,01/03/2017,2017,,0.614444277
1.0453225,01/04/2017,01/04/2017,2017,,-0.874505236
1.0361811,01/05/2017,01/05/2017,2017,,-3.901443483
