quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
200502,520134,64.649422,99,59.5,24.99,41.210938,205,01-02-2005,2005-02-01,108851,2005,2,1,matched (3)
200503,520134,66.670418,102,69,25.494999,39.644821,206,01-03-2005,2005-03-01,109174,2005,3,1,matched (3)
200504,520134,69.537971,105,67,26,39.198929,207,01-04-2005,2005-04-01,112133,2005,4,2,matched (3)
200505,520134,64.272972,94.5,67.25,25.99,35.856056,208,01-05-2005,2005-05-01,111815,2005,5,2,matched (3)
200506,520134,65.202499,105,51.25,29.99,38.469536,209,01-06-2005,2005-06-01,114133,2005,6,2,matched (3)
200507,520134,62.757648,103,50,26,38.326847,210,01-07-2005,2005-07-01,112702,2005,7,3,matched (3)
200508,520134,64.59391,105,54,25,39.776711,211,01-08-2005,2005-08-01,111794,2005,8,3,matched (3)
200509,520134,68.088539,108,57.5,26,41.839996,212,01-09-2005,2005-09-01,111426,2005,9,3,matched (3)
200510,520134,73.623787,108,74.25,34.990002,40.750103,213,01-10-2005,2005-10-01,108500,2005,10,4,matched (3)
200511,520134,72.962029,108,75,30,40.963081,214,01-11-2005,2005-11-01,104534,2005,11,4,matched (3)
200512,520134,70.117859,108,63.25,26,39.541386,215,01-12-2005,2005-12-01,109077,2005,12,4,matched (3)
200601,520134,61.561581,95.099998,53.75,26,37.27079,216,01-01-2006,2006-01-01,104610,2006,1,1,matched (3)
200602,520134,52.395065,79,39.950001,25,34.214546,217,01-02-2006,2006-02-01,100465,2006,2,1,matched (3)
200603,520134,69.07177,95,57,25,76.396675,218,01-03-2006,2006-03-01,103882,2006,3,1,matched (3)
200604,520134,68.457443,95,50,26,74.636398,219,01-04-2006,2006-04-01,107567,2006,4,2,matched (3)
200605,520134,67.490784,89,49.950001,26,73.928886,220,01-05-2006,2006-05-01,109228,2006,5,2,matched (3)
200606,520134,70.452263,104.625,49.974998,29.99,74.937042,221,01-06-2006,2006-06-01,110194,2006,6,2,matched (3)
200607,520134,65.653069,79,45,29.994999,72.392082,222,01-07-2006,2006-07-01,107021,2006,7,3,matched (3)
200608,520134,62.293205,80,42.970001,27.99,44.506481,223,01-08-2006,2006-08-01,105147,2006,8,3,matched (3)
200609,520134,63.710396,85,49.974998,30,44.533047,224,01-09-2006,2006-09-01,105598,2006,9,3,matched (3)
200610,520134,81.193146,115,64.099998,34.990002,80.006172,225,01-10-2006,2006-10-01,106345,2006,10,4,matched (3)
200611,520134,77.025002,99,59.25,30,79.109222,226,01-11-2006,2006-11-01,107067,2006,11,4,matched (3)
200612,520134,78.55764,112,60,28.994999,80.090385,227,01-12-2006,2006-12-01,107974,2006,12,4,matched (3)
200701,520134,69.579117,80.5,52.5,28.99,82.199463,228,01-01-2007,2007-01-01,94734,2007,1,1,matched (3)
200702,520134,55.252811,79,38.75,25.5,37.350128,229,01-02-2007,2007-02-01,94993,2007,2,1,matched (3)
200703,520134,74.9692,89,59,29.99,79.987144,230,01-03-2007,2007-03-01,99770,2007,3,1,matched (3)
200704,520134,75.23333,89,59,30,77.230148,231,01-04-2007,2007-04-01,101168,2007,4,2,matched (3)
200705,520134,69.836342,89,55,27.99,73.890755,232,01-05-2007,2007-05-01,102992,2007,5,2,matched (3)
200706,520134,70.780792,89,52.5,27.994999,76.57869,233,01-06-2007,2007-06-01,104456,2007,6,2,matched (3)
200707,520134,70.385002,89,52.5,26,76.954636,234,01-07-2007,2007-07-01,103584,2007,7,3,matched (3)
200708,520134,71.834641,87,52.495003,26,78.615654,235,01-08-2007,2007-08-01,103198,2007,8,3,matched (3)
200709,520134,78.960381,115,59,30,80.044098,236,01-09-2007,2007-09-01,103769,2007,9,3,matched (3)
200710,520134,73.319511,89,59,26,79.087006,237,01-10-2007,2007-10-01,105114,2007,10,4,matched (3)
200711,520134,78.954308,109,59,27,80.126701,238,01-11-2007,2007-11-01,107436,2007,11,4,matched (3)
200712,520134,80.771126,112,61,30,78.536995,239,01-12-2007,2007-12-01,107286,2007,12,4,matched (3)
200801,520134,61.571629,89,42.5,26,46.662697,240,01-01-2008,2008-01-01,102691,2008,1,1,matched (3)
200802,520134,60.958523,89,42.25,26,47.016556,241,01-02-2008,2008-02-01,100511,2008,2,1,matched (3)
200803,520134,71.898849,92,54.5,26,73.146118,242,01-03-2008,2008-03-01,105118,2008,3,1,matched (3)
200804,520134,73.612022,92,55,26,78.939293,243,01-04-2008,2008-04-01,99887,2008,4,2,matched (3)
200805,520134,73.049438,89,55,26,77.805191,244,01-05-2008,2008-05-01,100583,2008,5,2,matched (3)
200806,520134,73.253975,89,58.25,26,74.221489,245,01-06-2008,2008-06-01,101446,2008,6,2,matched (3)
200807,520134,71.710335,99,52,29.5,74.145241,246,01-07-2008,2008-07-01,102214,2008,7,3,matched (3)
200808,520134,70.410721,99,50,29.5,72.981728,247,01-08-2008,2008-08-01,102314,2008,8,3,matched (3)
200809,520134,75.005592,97,57.5,30,73.043022,248,01-09-2008,2008-09-01,102828,2008,9,3,matched (3)
200810,520134,73.219673,95,50,30,74.963112,249,01-10-2008,2008-10-01,103994,2008,10,4,matched (3)
200811,520134,77.409447,99,55,32,75.053947,250,01-11-2008,2008-11-01,104756,2008,11,4,matched (3)
200812,520134,76.046394,102.77,58.720001,31.32,71.022736,251,01-12-2008,2008-12-01,101854,2008,12,4,matched (3)
200901,520134,64.913048,92.489998,54.32,30,47.471825,252,01-01-2009,2009-01-01,98184,2009,1,1,matched (3)
200902,520134,86.437096,105,63.764999,32,92.174065,253,01-02-2009,2009-02-01,91764,2009,2,1,matched (3)
200903,520134,78.402748,105,49.5,30,85.418137,254,01-03-2009,2009-03-01,97144,2009,3,1,matched (3)
200904,520134,77.540863,99.989998,55,29.99,87.736519,255,01-04-2009,2009-04-01,99211,2009,4,2,matched (3)
200905,520134,82.508171,105,59.495003,30,87.248863,256,01-05-2009,2009-05-01,100141,2009,5,2,matched (3)
200906,520134,79.584885,105,49.75,32,86.914413,257,01-06-2009,2009-06-01,99984,2009,6,2,matched (3)
200907,520134,70.801262,94.5,40,29,82.449547,258,01-07-2009,2009-07-01,100430,2009,7,3,matched (3)
200908,520134,65.929054,105,50,30,49.935841,259,01-08-2009,2009-08-01,101010,2009,8,3,matched (3)
200909,520134,74.377357,105,59,34.259998,55.509857,260,01-09-2009,2009-09-01,102020,2009,9,3,matched (3)
200910,520134,74.922195,105,58.150002,34.259998,55.614582,261,01-10-2009,2009-10-01,102962,2009,10,4,matched (3)
200911,520134,79.004021,105,63.494999,37.5,54.970894,262,01-11-2009,2009-11-01,104223,2009,11,4,matched (3)
200912,520134,74.233162,105,59.995003,35,49.018578,263,01-12-2009,2009-12-01,105319,2009,12,4,matched (3)
201001,520134,65.186455,79.989998,52.5,35,47.306965,264,01-01-2010,2010-01-01,101545,2010,1,1,matched (3)
201002,520134,62.331905,77,47,35,45.604836,265,01-02-2010,2010-02-01,97889,2010,2,1,matched (3)
201003,520134,62.153442,76,49.950001,35,45.428146,266,01-03-2010,2010-03-01,102189,2010,3,1,matched (3)
201004,520134,64.05703,79,49.950001,35,48.48085,267,01-04-2010,2010-04-01,104566,2010,4,2,matched (3)
201005,520134,67.562889,79,54.990002,35,53.117432,268,01-05-2010,2010-05-01,105655,2010,5,2,matched (3)
201006,520134,69.762398,79,55,39.745003,53.360783,269,01-06-2010,2010-06-01,106532,2010,6,2,matched (3)
201007,520134,63.090645,76.949997,49,35,47.239059,270,01-07-2010,2010-07-01,107229,2010,7,3,matched (3)
201008,520134,64.994141,79,49,35,52.58374,271,01-08-2010,2010-08-01,108091,2010,8,3,matched (3)
201009,520134,74.383598,99,59,40,55.082462,272,01-09-2010,2010-09-01,108500,2010,9,3,matched (3)
201010,520134,71.749161,94.5,55,39.990002,50.720638,273,01-10-2010,2010-10-01,109466,2010,10,4,matched (3)
201011,520134,68.783302,89,55,37,49.957939,274,01-11-2010,2010-11-01,109784,2010,11,4,matched (3)
201012,520134,67.292198,82.470001,54.995003,35,50.476395,275,01-12-2010,2010-12-01,110303,2010,12,4,matched (3)
201101,520134,62.363888,76,49,35,42.200138,276,01-01-2011,2011-01-01,107592,2011,1,1,matched (3)
201102,520134,56.76762,69,45,35,38.545601,277,01-02-2011,2011-02-01,107243,2011,2,1,matched (3)
201103,520134,63.227932,79.474998,51,37.5,41.831429,278,01-03-2011,2011-03-01,111703,2011,3,1,matched (3)
