country,population1,population
China,1425887337,1425.887337
India,1417173173,1417.173173
Indonesia,275501339,275.501339
Pakistan,235824862,235.824862
Bangladesh,171186372,171.186372
Japan,123951692,123.951692
Philippines,115559009,115.559009
Vietnam,98186856,98.186856
Iran,88550570,88.55057
Turkey,85341241,85.341241
Thailand,71697030,71.69703
Myanmar,54179306,54.179306
South Korea,51815810,51.81581
Iraq,44496122,44.496122
Afghanistan,41128771,41.128771
Saudi Arabia,36408820,36.40882
Uzbekistan,34627652,34.627652
Malaysia,33938221,33.938221
Yemen,33696614,33.696614
Nepal,30547580,30.54758
North Korea,26069416,26.069416
Taiwan,23893394,23.893394
Syria,22125249,22.125249
Sri Lanka,21832143,21.832143
Kazakhstan,19397998,19.397998
Cambodia,16767842,16.767842
Jordan,11285869,11.285869
Azerbaijan,10358074,10.358074
Tajikistan,9952787,9.952787
United Arab Emirates,9441129,9.441129
Israel,9038309,9.038309
Laos,7529475,7.529475
Hong Kong,7488865,7.488865
Kyrgyzstan,6630623,6.630623
Turkmenistan,6430770,6.43077
Singapore,5975689,5.975689
Lebanon,5489739,5.489739
Palestine,5250072,5.250072
Oman,4576298,4.576298
Kuwait,4268873,4.268873
Georgia,3744385,3.744385
Mongolia,3398366,3.398366
Armenia,2780469,2.780469
Qatar,2695122,2.695122
Bahrain,1472233,1.472233
Timor-Leste,1341296,1.341296
Bhutan,782455,0.782455
Macau,695168,0.695168
Maldives,523787,0.523787
Brunei,449002,0.449002
