County,State,Total,County2
Baldwin County,Alabama,"147,166",Baldwin
Calhoun County,Alabama,"95,931",Calhoun
Cullman County,Alabama,"66,514",Cullman
DeKalb County,Alabama,"52,989",DeKalb
Elmore County,Alabama,"61,801",Elmore
Etowah County,Alabama,"85,706",Etowah
Houston County,Alabama,"84,698",Houston
Jefferson County,Alabama,"567,952",Jefferson
Lauderdale County,Alabama,"76,375",Lauderdale
Lee County,Alabama,"117,520",Lee
Limestone County,Alabama,"65,568",Limestone
Madison County,Alabama,"274,857",Madison
Marshall County,Alabama,"70,217",Marshall
Mobile County,Alabama,"337,303",Mobile
Montgomery County,Alabama,"193,459",Montgomery
Morgan County,Alabama,"97,490",Morgan
St. Clair County,Alabama,"66,528",St. Clair
Shelby County,Alabama,"172,952",Shelby
Talladega County,Alabama,"67,516",Talladega
Tuscaloosa County,Alabama,"158,106",Tuscaloosa
Walker County,Alabama,"58,240",Walker
Anchorage Municipality,Alaska,"227,946",Anchorage Munic
Fairbanks North Star Borough,Alaska,"79,955",Fairbanks North Star 
Matanuska-Susitna Borough,Alaska,"63,583",Matanuska-Susitna 
Apache County,Arizona,"45,789",Apache
Cochise County,Arizona,"106,411",Cochise
Coconino County,Arizona,"94,592",Coconino
Maricopa County,Arizona,"3,209,108",Maricopa
Mohave County,Arizona,"160,272",Mohave
Navajo County,Arizona,"89,222",Navajo
Pima County,Arizona,"837,502",Pima
Pinal County,Arizona,"253,948",Pinal
Yavapai County,Arizona,"171,182",Yavapai
Yuma County,Arizona,"154,117",Yuma
Benton County,Arkansas,"172,106",Benton
Craighead County,Arkansas,"76,785",Craighead
Faulkner County,Arkansas,"91,490",Faulkner
Garland County,Arkansas,"75,961",Garland
Jefferson County,Arkansas,"60,049",Jefferson
Lonoke County,Arkansas,"52,791",Lonoke
Pulaski County,Arkansas,"318,660",Pulaski
Saline County,Arkansas,"83,264",Saline
Sebastian County,Arkansas,"98,482",Sebastian
Washington County,Arkansas,"157,321",Washington
White County,Arkansas,"59,994",White
Alameda County,California,"1,295,169",Alameda
Butte County,California,"183,098",Butte
Contra Costa County,California,"912,366",Contra Costa
El Dorado County,California,"152,479",El Dorado
Fresno County,California,"722,880",Fresno
Humboldt County,California,"100,166",Humboldt
Imperial County,California,"120,505",Imperial
Kern County,California,"617,684",Kern
Kings County,California,"98,896",Kings
Lake County,California,"50,592",Lake
Los Angeles County,California,"7,655,504",Los Angeles
Madera County,California,"106,479",Madera
Marin County,California,"217,276",Marin
Mendocino County,California,"68,053",Mendocino
Merced County,California,"196,770",Merced
Monterey County,California,"309,567",Monterey
Napa County,California,"115,654",Napa
Nevada County,California,"81,701",Nevada
Orange County,California,"2,494,169",Orange
Placer County,California,"310,425",Placer
Riverside County,California,"1,659,977",Riverside
Sacramento County,California,"1,206,106",Sacramento
San Bernardino County,California,"1,583,810",San Bernardino
San Diego County,California,"2,397,723",San Diego
San Francisco County,California,"723,203",San Francisco
San Joaquin County,California,"560,993",San Joaquin
San Luis Obispo County,California,"220,021",San Luis Obispo
San Mateo County,California,"625,559",San Mateo
Santa Barbara County,California,"334,413",Santa Barbara
Santa Clara County,California,"1,563,975",Santa Clara
Santa Cruz County,California,"216,906",Santa Cruz
Shasta County,California,"146,119",Shasta
Solano County,California,"348,879",Solano
Sonoma County,California,"400,373",Sonoma
Stanislaus County,California,"417,843",Stanislaus
Sutter County,California,"74,240",Sutter
Tulare County,California,"323,455",Tulare
Ventura County,California,"664,172",Ventura
Yolo County,California,"176,267",Yolo
Yuba County,California,"63,735",Yuba
Adams County,Colorado,"340,848",Adams
Arapahoe County,Colorado,"459,111",Arapahoe
Boulder County,Colorado,"251,743",Boulder
Denver County,Colorado,"463,336",Denver
Douglas County,Colorado,"260,634",Douglas
El Paso County,Colorado,"484,629",El Paso
Jefferson County,Colorado,"459,729",Jefferson
Larimer County,Colorado,"255,613",Larimer
Mesa County,Colorado,"117,996",Mesa
Pueblo County,Colorado,"126,828",Pueblo
Weld County,Colorado,"201,650",Weld
Fairfield County,Connecticut,"787,246",Fairfield
Hartford County,Connecticut,"793,869",Hartford
Litchfield County,Connecticut,"173,162",Litchfield
Middlesex County,Connecticut,"151,257",Middlesex
New Haven County,Connecticut,"761,856",New Haven
New London County,Connecticut,"232,576",New London
Tolland County,Connecticut,"136,997",Tolland
Windham County,Connecticut,"101,279",Windham
Kent County,Delaware,"136,073",Kent
New Castle County,Delaware,"475,084",New Castle
Sussex County,Delaware,"159,812",Sussex
Alachua County,Florida,"198,530",Alachua
Bay County,Florida,"127,516",Bay
Brevard County,Florida,"438,050",Brevard
Broward County,Florida,"1,358,918",Broward
Charlotte County,Florida,"120,409",Charlotte
Citrus County,Florida,"113,052",Citrus
Clay County,Florida,"154,624",Clay
Collier County,Florida,"238,055",Collier
Columbia County,Florida,"59,074",Columbia
Duval County,Florida,"694,636",Duval
Escambia County,Florida,"234,665",Escambia
Flagler County,Florida,"74,884",Flagler
Hernando County,Florida,"139,105",Hernando
Highlands County,Florida,"78,484",Highlands
Hillsborough County,Florida,"949,259",Hillsborough
Indian River County,Florida,"102,539",Indian River
Lake County,Florida,"255,436",Lake
Lee County,Florida,"472,270",Lee
Leon County,Florida,"229,521",Leon
Manatee County,Florida,"247,704",Manatee
Marion County,Florida,"254,923",Marion
Martin County,Florida,"113,035",Martin
Miami-Dade County,Florida,"1,708,076",Miami-Dade
Monroe County,Florida,"53,919",Monroe
Nassau County,Florida,"54,374",Nassau
Okaloosa County,Florida,"137,566",Okaloosa
Orange County,Florida,"832,320",Orange
Osceola County,Florida,"197,776",Osceola
Palm Beach County,Florida,"1,019,424",Palm Beach
Pasco County,Florida,"372,429",Pasco
Pinellas County,Florida,"742,865",Pinellas
Polk County,Florida,"470,107",Polk
Putnam County,Florida,"55,937",Putnam
St. Johns County,Florida,"153,926",St. Johns
St. Lucie County,Florida,"194,839",St. Lucie
Santa Rosa County,Florida,"121,593",Santa Rosa
Sarasota County,Florida,"303,369",Sarasota
Seminole County,Florida,"338,628",Seminole
Sumter County,Florida,"49,443",Sumter
Volusia County,Florida,"404,883",Volusia
Barrow County,Georgia,"50,626",Barrow
Bartow County,Georgia,"79,939",Bartow
Bibb County,Georgia,"125,479",Bibb
Bulloch County,Georgia,"55,438",Bulloch
Carroll County,Georgia,"94,423",Carroll
Chatham County,Georgia,"200,491",Chatham
Cherokee County,Georgia,"179,301",Cherokee
Clarke County,Georgia,"93,025",Clarke
