item,meanprice,p_75,p_median,p_25,date
210414,1.2775806,1.8099999,0.99000001,0.83999997,01/01/2002
210406,8.9247293,9.9200001,8.75,7.71,01/01/2002
211014,3.4624639,4.04,3.49,2.8399999,01/01/2002
210808,6.8674817,7.9499998,6.4200001,5.48,01/01/2002
211007,1.3526984,1.6900001,1.22,1.15,01/01/2002
210403,4.1644921,5.0500002,3.9949999,3.3199999,01/01/2002
210802,5.7627387,6.5999999,5.4899998,4.8499999,01/01/2002
210703,4.870635,5.29,4.79,4.3000002,01/01/2002
211007,1.3523009,1.59,1.22,1.15,01/02/2002
210802,5.5973363,6.5599999,5.4899998,4.5900002,01/02/2002
210406,8.9659023,9.9200001,8.75,7.9099998,01/02/2002
211014,3.4947877,4.1599998,3.49,2.8399999,01/02/2002
210703,4.6751466,5.0500002,4.6900001,4.1599998,01/02/2002
210403,4.0999999,4.8499999,3.99,3.29,01/02/2002
210808,6.8541851,7.9899998,6.4650002,5.48,01/02/2002
210414,1.3259091,1.85,1.1799999,0.83999997,01/02/2002
210414,1.2546903,1.79,0.99000001,0.83999997,01/03/2002
211014,3.5057576,4.1399999,3.5,2.8399999,01/03/2002
210802,5.6069422,6.5700002,5.4899998,4.5900002,01/03/2002
211007,1.3788235,1.59,1.28,1.15,01/03/2002
210808,6.8362408,7.96,6.3499999,5.29,01/03/2002
210406,8.8834925,9.4899998,8.75,7.79,01/03/2002
210403,4.1860938,5.0500002,4.1399999,3.365,01/03/2002
210703,4.8826318,5.29,4.79,4.2800002,01/03/2002
210403,4.2223048,4.98,4.1700001,3.48,01/04/2002
211014,3.5436704,4.1700001,3.51,2.9100001,01/04/2002
211007,1.3764462,1.59,1.28,1.15,01/04/2002
210406,9.0394402,9.9899998,8.7849998,7.9200001,01/04/2002
210808,6.8667278,7.9899998,6.4650002,5.48,01/04/2002
210703,4.7209835,5.0500002,4.645,4.2800002,01/04/2002
210414,1.3023577,1.79,1.09,0.83999997,01/04/2002
210802,5.5620079,6.5599999,5.4899998,4.5900002,01/04/2002
210808,6.7090611,7.7600002,6.1999998,5.29,01/05/2002
211014,3.5568402,4.1900001,3.52,2.8699999,01/05/2002
210403,4.2971258,5.1799998,4.1750002,3.5,01/05/2002
210802,5.6662402,6.6399999,5.4899998,4.5900002,01/05/2002
210703,4.7438245,5.27,4.79,4.2800002,01/05/2002
210414,1.3136585,1.85,1.09,0.83999997,01/05/2002
210406,9.2594099,10,8.8000002,8.3100004,01/05/2002
211007,1.3429166,1.59,1.26,1.15,01/05/2002
211014,3.5643382,4.1800003,3.5,2.8800001,01/06/2002
210802,5.5794582,6.5700002,5.4899998,4.5900002,01/06/2002
211007,1.3972881,1.65,1.28,1.15,01/06/2002
210414,1.3273554,1.85,1.1799999,0.83999997,01/06/2002
210403,4.2160754,4.98,4.1700001,3.51,01/06/2002
210406,9.1331034,9.9899998,8.8000002,7.9099998,01/06/2002
210808,6.9145789,7.9899998,6.3600001,5.4499998,01/06/2002
210703,4.7933335,5.29,4.79,4.2800002,01/06/2002
210703,4.7850199,5.25,4.79,4.2800002,01/07/2002
211007,1.4007376,1.59,1.28,1.1799999,01/07/2002
210802,5.6240406,6.5700002,5.4899998,4.6900001,01/07/2002
210403,4.2484961,5.0500002,4.1899996,3.48,01/07/2002
210808,6.7571478,7.8000002,6.1700001,5.4099998,01/07/2002
211014,3.5612049,4.1399999,3.51,2.95,01/07/2002
210406,9.1122694,9.9899998,8.8000002,7.9899998,01/07/2002
210414,1.3433913,1.89,1.1799999,0.83999997,01/07/2002
210406,9.1996241,9.9899998,8.8000002,8.1400003,01/08/2002
210802,5.5846353,6.5599999,5.4899998,4.6500001,01/08/2002
210403,4.303721,5.1799998,4.2049999,3.51,01/08/2002
211014,3.6089962,4.1900001,3.6199999,2.99,01/08/2002
210808,6.9238687,7.9899998,6.3800001,5.4099998,01/08/2002
210414,1.327,1.89,1.17,0.83999997,01/08/2002
211007,1.4123334,1.62,1.3050001,1.1799999,01/08/2002
210703,4.7855468,5.0500002,4.79,4.29,01/08/2002
210808,6.7725978,7.9899998,6.1700001,5.4499998,01/09/2002
210414,1.345826,1.89,1.1799999,0.83999997,01/09/2002
210703,4.757597,5.0500002,4.79,4.2800002,01/09/2002
210403,4.1695848,4.9499998,4.0599999,3.48,01/09/2002
211014,3.5718703,4.25,3.5349998,2.8800001,01/09/2002
211007,1.4388288,1.6900001,1.39,1.1799999,01/09/2002
210406,9.2258492,9.9899998,8.8900003,8.3100004,01/09/2002
210802,5.563096,6.5700002,5.48,4.4899998,01/09/2002
210414,1.3245536,1.89,1.17,0.83999997,01/10/2002
210403,4.1933084,5.0500002,4,3.5,01/10/2002
211014,3.6013794,4.2800002,3.6900001,3,01/10/2002
210808,6.9454613,8.4499998,6.5700002,5.27,01/10/2002
210802,5.5849581,6.5700002,5.4899998,4.5900002,01/10/2002
210406,9.138689,10.19,8.8000002,7.6900001,01/10/2002
210703,4.7920465,5.0500002,4.79,4.2800002,01/10/2002
211007,1.4248718,1.59,1.39,1.1799999,01/10/2002
210403,4.2176952,5.0799999,4.1899996,3.3199999,01/11/2002
211014,3.6069565,4.1900001,3.645,3.04,01/11/2002
210802,5.62498,6.5900002,5.4899998,4.6500001,01/11/2002
210808,6.9371223,8.3599997,6.5349998,5.27,01/11/2002
210406,8.8191824,9.9899998,8.75,7.4000001,01/11/2002
210703,4.7428031,4.9899998,4.6300001,4.2800002,01/11/2002
211007,1.4217094,1.65,1.39,1.1799999,01/11/2002
210414,1.3342342,1.89,1.17,0.83999997,01/11/2002
210802,5.4346552,6.125,5.4000001,4.5,01/12/2002
210403,4.2273459,5.145,4.1399999,3.365,01/12/2002
210414,1.3561291,1.9200001,1.1799999,0.83999997,01/12/2002
210406,9.0535955,10,8.79,7.4000001,01/12/2002
210703,4.7891893,5.0500002,4.79,4.2800002,01/12/2002
210808,6.660346,7.9000001,6.165,5.0500002,01/12/2002
211007,1.4338136,1.65,1.39,1.1799999,01/12/2002
211014,3.5935361,4.1900001,3.51,3.04,01/12/2002
210802,5.6318183,6.5900002,5.4899998,4.5900002,01/01/2003
210414,1.3579339,1.95,1.1799999,0.83999997,01/01/2003
210403,4.2030997,5.0500002,3.99,3.28,01/01/2003
211007,1.3574166,1.59,1.28,1.1799999,01/01/2003
210406,9.2299252,10.19,8.8800001,7.6900001,01/01/2003
211014,3.5824344,4.1399999,3.5799999,2.99,01/01/2003
210808,6.9385304,8.5799999,6.3499999,5.3899999,01/01/2003
210703,4.8336048,5.0900002,4.79,4.29,01/01/2003
210414,1.3342373,1.89,1.1799999,0.83999997,01/02/2003
210808,6.7638149,7.9000001,6.1500001,5.1799998,01/02/2003
210703,4.8644714,5.0500002,4.79,4.3000002,01/02/2003
210403,4.1760001,5,4,3.3,01/02/2003
211014,3.5643461,4.0699997,3.5050001,2.99,01/02/2003
210406,9.1330795,9.8999996,8.79,8.0500002,01/02/2003
210802,5.6507049,6.5900002,5.5,4.4899998,01/02/2003
211007,1.3826051,1.59,1.29,1.1799999,01/02/2003
211014,3.59356,4.0799999,3.6300001,2.99,01/03/2003
211007,1.4470769,1.59,1.45,1.1799999,01/03/2003
210808,6.8469229,7.9899998,6.1500001,5.27,01/03/2003
210406,9.1501131,10,8.8000002,7.6100001,01/03/2003
210414,1.3718487,1.89,1.1900001,0.83999997,01/03/2003
210802,5.7181306,6.5900002,5.5,4.8400002,01/03/2003
210403,4.1581511,4.98,3.98,3.28,01/03/2003
210703,4.8843222,5.1900001,4.79,4.375,01/03/2003
211007,1.4564285,1.755,1.5,1.1799999,01/04/2003
211014,3.6900001,4.3600001,3.72,3.0599999,01/04/2003
210703,4.919312,5.1900001,4.8899999,4.3699999,01/04/2003
210802,5.6939602,6.5900002,5.7049999,4.5900002,01/04/2003
210808,6.9330416,8.5,6.3249998,5.25,01/04/2003
210406,9.3256845,10,8.9899998,8.0500002,01/04/2003
210403,4.2623396,5.0500002,4.1599998,3.3,01/04/2003
210414,1.3237363,1.89,1.17,0.85000002,01/04/2003
210802,5.7971783,6.5900002,5.8400002,4.6900001,01/05/2003
210808,6.9538074,8.5500002,6.3000002,5.25,01/05/2003
211014,3.6388445,4.1799998,3.7,3.0599999,01/05/2003
211007,1.4653982,1.72,1.45,1.1799999,01/05/2003
210406,9.4459019,10.33,8.9899998,8.1300001,01/05/2003
210403,4.2763948,5.1799998,4.1399999,3.3,01/05/2003
210703,4.9378924,5.27,4.79,4.3800001,01/05/2003
210414,1.3125806,1.85,1.17,0.85000002,01/05/2003
