Date,Age,Total
07/03/2020,0-4 Years,0.00
14/03/2020,0-4 Years,0.00
21/03/2020,0-4 Years,0.00
28/03/2020,0-4 Years,6.00
04/04/2020,0-4 Years,11.00
11/04/2020,0-4 Years,9.00
18/04/2020,0-4 Years,11.00
25/04/2020,0-4 Years,10.00
02/05/2020,0-4 Years,11.00
09/05/2020,0-4 Years,9.00
16/05/2020,0-4 Years,13.00
23/05/2020,0-4 Years,17.00
30/05/2020,0-4 Years,14.00
06/06/2020,0-4 Years,16.00
13/06/2020,0-4 Years,14.00
20/06/2020,0-4 Years,15.00
27/06/2020,0-4 Years,14.00
04/07/2020,0-4 Years,10.00
11/07/2020,0-4 Years,20.00
18/07/2020,0-4 Years,15.00
25/07/2020,0-4 Years,23.00
01/08/2020,0-4 Years,16.00
08/08/2020,0-4 Years,13.00
15/08/2020,0-4 Years,12.00
22/08/2020,0-4 Years,12.00
29/08/2020,0-4 Years,11.00
05/09/2020,0-4 Years,19.00
12/09/2020,0-4 Years,7.00
19/09/2020,0-4 Years,9.00
26/09/2020,0-4 Years,15.00
03/10/2020,0-4 Years,9.00
10/10/2020,0-4 Years,9.00
17/10/2020,0-4 Years,13.00
24/10/2020,0-4 Years,10.00
31/10/2020,0-4 Years,14.00
07/11/2020,0-4 Years,24.00
14/11/2020,0-4 Years,22.00
21/11/2020,0-4 Years,28.00
28/11/2020,0-4 Years,26.00
05/12/2020,0-4 Years,41.00
12/12/2020,0-4 Years,44.00
19/12/2020,0-4 Years,33.00
26/12/2020,0-4 Years,36.00
02/01/2021,0-4 Years,29.00
09/01/2021,0-4 Years,38.00
16/01/2021,0-4 Years,37.00
23/01/2021,0-4 Years,29.00
30/01/2021,0-4 Years,25.00
06/02/2021,0-4 Years,22.00
13/02/2021,0-4 Years,20.00
20/02/2021,0-4 Years,19.00
27/02/2021,0-4 Years,11.00
06/03/2021,0-4 Years,14.00
13/03/2021,0-4 Years,22.00
20/03/2021,0-4 Years,22.00
27/03/2021,0-4 Years,20.00
03/04/2021,0-4 Years,26.00
10/04/2021,0-4 Years,28.00
17/04/2021,0-4 Years,14.00
24/04/2021,0-4 Years,31.00
01/05/2021,0-4 Years,21.00
08/05/2021,0-4 Years,14.00
15/05/2021,0-4 Years,28.00
22/05/2021,0-4 Years,20.00
29/05/2021,0-4 Years,16.00
05/06/2021,0-4 Years,14.00
12/06/2021,0-4 Years,11.00
