Date,0-4 Years,5-17 Years,18-49 Years,50-64 Years,65+ Years
07/03/2020,0,0,10,7,17
14/03/2020,0,0,50,79,83
21/03/2020,0,3,253,286,413
28/03/2020,6,5,634,792,"1,059"
04/04/2020,11,11,654,"1,022","1,402"
11/04/2020,9,7,637,906,"1,451"
18/04/2020,11,8,730,952,"1,528"
25/04/2020,10,14,764,820,"1,501"
02/05/2020,11,20,769,852,"1,388"
09/05/2020,9,21,732,771,"1,137"
16/05/2020,13,15,705,713,"1,043"
23/05/2020,17,21,727,668,958
30/05/2020,14,25,633,525,783
06/06/2020,16,18,518,427,589
13/06/2020,14,14,463,344,466
20/06/2020,15,10,465,364,433
27/06/2020,14,22,576,413,443
04/07/2020,10,20,729,523,653
11/07/2020,20,29,881,708,856
18/07/2020,15,30,915,750,921
25/07/2020,23,22,784,721,912
01/08/2020,16,20,727,644,829
08/08/2020,13,21,684,559,759
15/08/2020,12,23,599,524,674
22/08/2020,12,24,515,485,648
29/08/2020,11,30,490,354,538
05/09/2020,19,20,397,345,512
12/09/2020,7,18,389,344,489
19/09/2020,9,23,378,315,506
26/09/2020,15,13,402,375,567
03/10/2020,9,19,424,383,582
10/10/2020,9,21,473,483,778
17/10/2020,13,26,575,511,892
24/10/2020,10,25,587,718,"1,070"
31/10/2020,14,31,718,815,"1,373"
07/11/2020,24,52,965,"1,064","1,797"
14/11/2020,22,58,"1,148","1,352","2,474"
21/11/2020,28,36,"1,224","1,494","2,969"
28/11/2020,26,48,"1,268","1,522","3,093"
05/12/2020,41,51,"1,326","1,578","3,226"
12/12/2020,44,43,"1,403","1,621","3,293"
19/12/2020,33,44,"1,264","1,591","3,242"
26/12/2020,36,56,"1,202","1,582","3,319"
02/01/2021,29,52,"1,291","1,613","3,352"
09/01/2021,38,70,"1,388","1,781","3,486"
16/01/2021,37,57,"1,283","1,588","3,017"
23/01/2021,29,52,"1,112","1,374","2,611"
30/01/2021,25,61,944,"1,145","2,145"
06/02/2021,22,45,827,966,"1,864"
13/02/2021,20,42,724,756,"1,296"
20/02/2021,19,44,628,684,"1,169"
27/02/2021,11,34,611,657,988
06/03/2021,14,25,578,602,792
13/03/2021,22,19,591,645,805
20/03/2021,22,38,672,758,792
27/03/2021,20,37,761,885,933
03/04/2021,26,36,965,916,880
10/04/2021,28,36,"1,173","1,099",974
17/04/2021,14,43,"1,137","1,131","1,007"
24/04/2021,31,48,"1,059",946,914
01/05/2021,21,49,963,833,778
08/05/2021,14,53,841,749,701
15/05/2021,28,36,724,558,519
22/05/2021,20,26,605,433,505
29/05/2021,16,29,490,335,347
05/06/2021,14,31,343,274,270
12/06/2021,11,14,331,200,212
19/06/2021,5,15,262,159,184
26/06/2021,4,19,233,154,169
03/07/2021,8,14,229,151,143
10/07/2021,14,15,334,202,201
17/07/2021,9,24,405,250,297
24/07/2021,22,18,579,400,379
31/07/2021,18,26,813,602,622
07/08/2021,31,49,"1,122",763,825
14/08/2021,32,51,"1,252",973,"1,059"
21/08/2021,43,61,"1,345","1,066","1,246"
28/08/2021,45,68,"1,379","1,128","1,386"
04/09/2021,50,71,"1,409","1,129","1,385"
11/09/2021,56,71,"1,198","1,093","1,320"
18/09/2021,45,63,"1,017",932,"1,255"
25/09/2021,38,64,960,891,"1,204"
02/10/2021,42,58,884,810,"1,204"
09/10/2021,51,65,988,828,"1,335"
16/10/2021,29,53,777,807,"1,196"
23/10/2021,28,42,758,749,"1,101"
30/10/2021,32,50,788,698,"1,112"
06/11/2021,33,53,707,743,"1,075"
13/11/2021,32,36,623,645,954
20/11/2021,38,55,769,819,"1,204"
27/11/2021,39,33,854,901,"1,294"
04/12/2021,44,53,863,925,"1,319"
11/12/2021,40,44,902,904,"1,323"
18/12/2021,47,51,861,773,"1,162"
25/12/2021,75,75,"1,182",956,"1,407"
01/01/2022,184,134,"2,014","1,445","2,334"
08/01/2022,239,174,"2,482","1,940","3,367"
15/01/2022,212,159,"2,187","1,798","3,400"
22/01/2022,179,146,"1,573","1,364","2,666"
29/01/2022,18,114,"1,231","1,103","2,178"
05/02/2022,47,69,594,527,"1,111"
