https://worldpopulationreview.com/state-rankings/most-educated-states,fips,state,densityMi,pop2022,pop2021,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,name,id,Over25Total,HighSchool,Bachelors,Advanced,HighSchoolPercent,BachelorsPercent,GraduatePercent
,30,Montana,7.57964,1103187,1093706,1084225,1074744,989415,0.00867,9481,0.11499,Helena,3035600,734688,690460,243496,80313,0.939800296,0.331427763,0.109315791
,56,Wyoming,5.96845,579495,578173,576851,575524,563626,0.00229,1322,0.02816,Cheyenne,5613900,392819,367618,110699,41303,0.935845771,0.281806634,0.105145118
,50,Vermont,70.14701,646545,644811,643077,641347,625741,0.00269,1734,0.03325,Montpelier,5046000,442089,413332,175328,71388,0.934952012,0.396589827,0.161478797
,27,Minnesota,72.67645,5787008,5746751,5706494,5666238,5303925,0.00701,40257,0.09108,St. Paul,2758000,3802438,3550107,1398575,479516,0.933639681,0.367810073,0.126107513
,33,New Hampshire,155.22629,1389741,1383635,1377529,1371424,1316470,0.00441,6106,0.05566,Concord,3314200,971162,905707,364685,140871,0.932601358,0.375514075,0.145054069
,23,Maine,44.39124,1369159,1365759,1362359,1358961,1328361,0.00249,3400,0.03071,Augusta,2302100,982385,915860,319175,119429,0.93228215,0.32489808,0.121570464
,2,Alaska,1.29332,738023,735707,733391,731075,710231,0.00315,2316,0.03913,Juneau,236400,483436,450260,144967,54806,0.931374577,0.299868028,0.113367643
,38,North Dakota,11.59974,800394,789744,779094,768441,672591,0.01349,10650,0.19002,Bismarck,3807200,497525,463217,152653,42691,0.931042661,0.306824783,0.085806743
,49,Utah,41.05102,3373162,3322389,3271616,3220842,2763885,0.01528,50773,0.22044,Salt Lake City,4967000,1868472,1736762,648070,218134,0.929509246,0.346844909,0.116744591
,55,Wisconsin,109.58795,5935064,5914391,5893718,5873043,5686986,0.0035,20673,0.04362,Madison,5548000,3982118,3686911,1226547,420029,0.925866838,0.308013725,0.105478793
,15,Hawaii,229.52904,1474265,1464768,1455271,1445774,1360301,0.00648,9497,0.08378,Honolulu,1571550,996423,921548,334489,115810,0.924856211,0.335689762,0.116225739
,19,Iowa,57.63236,3219171,3204770,3190369,3175964,3046355,0.00449,14401,0.05673,Des Moines,1921000,2104864,1946463,617115,202067,0.924745257,0.293185213,0.096000027
,46,South Dakota,11.887,901165,893916,886667,879421,814180,0.00811,7249,0.10684,Pierre,4649600,580244,535074,169991,53591,0.922153439,0.292964684,0.092359421
,8,Colorado,57.14496,5922618,5848166,5773714,5699264,5029196,0.01273,74452,0.17765,Denver,820000,3900754,3591969,1622853,606864,0.920839663,0.41603572,0.155576076
,11,District of Columbia,11591.95082,707109,698327,689545,680761,601723,0.01258,8782,0.17514,501986,461175,299975,173167,0.91870092,0.597576426,0.344963804,,
,53,Washington,118.89715,7901429,7803355,7705281,7607206,6724540,0.01257,98074,0.17501,Olympia,5351300,5199771,4768368,1907238,723289,0.917034231,0.366792691,0.139100164
,31,Nebraska,25.88431,1988536,1975020,1961504,1947985,1826341,0.00684,13516,0.08881,Lincoln,3128000,1259540,1153356,409315,140003,0.915696207,0.324971815,0.111154072
,20,Kansas,36.14076,2954832,2946356,2937880,2929402,2853118,0.00288,8476,0.03565,Topeka,2071000,1911990,1746617,648613,238269,0.913507393,0.339234515,0.12461833
,26,Michigan,178.92197,10116069,10096700,10077331,10057961,9883640,0.00192,19369,0.02352,Lansing,2646000,6853674,6257361,2055131,804014,0.912993673,0.299858295,0.117311387
,16,Idaho,22.91071,1893410,1866258,1839106,1811950,1567582,0.01455,27152,0.20785,Boise,1608830,1145344,1045155,328347,107255,0.912524971,0.28667981,0.093644355
,41,Oregon,44.98992,4318492,4277874,4237256,4196636,3831074,0.00949,40618,0.12723,Salem,4164900,2944830,2684045,1013044,385684,0.911443105,0.344007634,0.130969869
,25,Massachusetts,913.63782,7126375,7078146,7029917,6981690,6547629,0.00681,48229,0.08839,Boston,2507000,4815331,4385537,2144142,962689,0.910744661,0.445274063,0.199921667
,42,Pennsylvania,291.95101,13062764,13032732,13002700,12972667,12702379,0.0023,30032,0.02837,Harrisburg,4232800,8989998,8180031,2906517,1152206,0.909903539,0.323305634,0.128165323
,9,Connecticut,746.03759,3612314,3609129,3605944,3602762,3574097,0.00088,3185,0.01069,Hartford,937000,2489205,2263655,996000,444541,0.909388741,0.400127752,0.178587541
,39,Ohio,290.05741,11852036,11825742,11799448,11773150,11536504,0.00222,26294,0.02735,Columbus,3918000,8014966,7276196,2315539,877362,0.907826184,0.288901912,0.109465467
,10,Delaware,517.36788,1008350,999149,989948,980743,897934,0.00921,9201,0.12297,Dover,1021200,679870,616027,222043,92951,0.906095283,0.326596261,0.136718784
,29,Missouri,90.01936,6188111,6171512,6154913,6138318,5988927,0.00269,16599,0.03326,Jefferson City,2937000,4176792,3783747,1250584,480325,0.905897876,0.299412564,0.114998544
,24,Maryland,644.68507,6257958,6217591,6177224,6136855,5773552,0.00649,40367,0.0839,Annapolis,2401600,4164698,3771670,1703178,795655,0.905628691,0.408955944,0.191047466
,51,Virginia,221.76417,8757467,8694430,8631393,8568357,8001024,0.00725,63037,0.09454,Richmond,5167000,5831949,5268348,2304490,1000411,0.903359752,0.395149203,0.171539737
,34,New Jersey,1276.64047,9388414,9338704,9288994,9239284,8791894,0.00532,49710,0.06785,Trenton,3474000,6169501,5568740,2513062,982912,0.902624053,0.407336347,0.159317909
,17,Illinois,230.71172,12808884,12810696,12812508,12814324,12830632,-0.00014,-1812,-0.0017,Springfield,1772000,8686700,7788362,3085274,1210263,0.896584664,0.35517216,0.139323679
,18,Indiana,191.08675,6845874,6815701,6785528,6755359,6483802,0.00443,30173,0.05584,Indianapolis,1836003,4466180,3989755,1212794,441893,0.893326064,0.271550632,0.098942049
,44,Rhode Island,1069.96228,1106341,1101860,1097379,1092896,1052567,0.00407,4481,0.05109,Providence,4459000,741370,661112,259644,103663,0.891743664,0.350221887,0.139826268
,40,Oklahoma,58.32718,4000953,3980153,3959353,3938551,3751351,0.00523,20800,0.06654,Oklahoma City,4055000,2611680,2312648,682902,234536,0.885502052,0.261479967,0.089802732
,12,Florida,411.85199,22085563,21811875,21538187,21264502,18801310,0.01255,273688,0.17468,Tallahassee,1270600,15255326,13503528,4659946,1721353,0.885168105,0.305463548,0.112836199
,37,North Carolina,218.44107,10620168,10529778,10439388,10348993,9535483,0.00858,90390,0.11375,Raleigh,3755000,7096773,6281557,2273890,824918,0.885128635,0.320411827,0.116238465
,45,South Carolina,173.54835,5217037,5167731,5118425,5069118,4625364,0.00954,49306,0.12792,Columbia,4516000,3512626,3102292,1018306,379912,0.883183123,0.289898782,0.10815612
,47,Tennessee,170.33559,7023788,6967314,6910840,6854371,6346105,0.00811,56474,0.10679,Nashville,4752006,4649847,4102114,1308972,482025,0.882204081,0.281508617,0.103664701
,13,Georgia,189.81378,10916760,10814334,10711908,10609487,9687653,0.00947,102426,0.12687,Atlanta,1304000,6996425,6147772,2252662,875351,0.878701908,0.321973294,0.12511404
,4,Arizona,64.29387,7303398,7227450,7151502,7075549,6392017,0.01051,75948,0.14258,Phoenix,455000,4846056,4258137,1468698,557470,0.878680931,0.303070786,0.115035815
,54,West Virginia,74.1268,1781860,1787788,1793716,1799642,1852994,-0.00332,-5928,-0.03839,Charleston,5414600,1283869,1124838,273425,109827,0.876131443,0.212969548,0.085543774
,36,New York,432.15802,20365879,20283564,20201249,20118937,19378102,0.00406,82315,0.05097,Albany,3601000,13649157,11905267,5112792,2257862,0.8722346,0.37458665,0.165421352
,21,Kentucky,114.95543,4539130,4522483,4505836,4489190,4339367,0.00368,16647,0.04604,Frankfort,2128900,3034491,2644849,759332,311448,0.871595599,0.250233729,0.102635994
,5,Arkansas,58.24245,3030646,3021085,3011524,3001967,2915918,0.00316,9561,0.03935,Little Rock,541000,2026722,1766362,482695,174047,0.871536402,0.238165372,0.085876109
,32,Nevada,29.01619,3185426,3145020,3104614,3064205,2700551,0.01285,40406,0.17955,Carson City,3209700,2093820,1819821,532997,184492,0.869139181,0.254557221,0.088112636
,1,Alabama,100.17153,5073187,5048733,5024279,4999822,4779736,0.00484,24454,0.06139,Montgomery,151000,3344006,2905059,877044,330370,0.86873618,0.262273453,0.098794679
,35,New Mexico,17.55338,2129190,2123356,2117522,2111685,2059179,0.00275,5834,0.034,Santa Fe,3570500,1415298,1224222,398288,174413,0.86499239,0.281416352,0.123234117
,22,Louisiana,108.38425,4682633,4670195,4657757,4645314,4533372,0.00266,12438,0.03292,Baton Rouge,2205000,3139520,2695344,780547,280549,0.858521048,0.248619853,0.089360475
,28,Mississippi,63.08367,2960075,2960677,2961279,2961879,2967297,-0.0002,-602,-0.00243,Jackson,2836000,1983112,1692077,451199,176633,0.853243286,0.227520685,0.089068595
,48,Texas,114.63179,29945493,29545499,29145505,28745507,25145561,0.01354,399994,0.19089,Austin,4805000,18449851,15565117,5662178,1991093,0.843644591,0.306895595,0.107919191
,6,California,256.74242,39995077,39766650,39538223,39309799,37253956,0.00574,228427,0.07358,Sacramento,664000,26665143,22378605,9256873,3492046,0.83924564,0.347152573,0.130959208
