year,value1,value2,observations,
1990,10.3,41.2,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1990-01-01', 'value': '10.3'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1990-01-01', 'value': '41.2'}"
1991,9.9,40.5,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1991-01-01', 'value': '9.9'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1991-01-01', 'value': '40.5'}"
1992,9.4,39.6,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1992-01-01', 'value': '9.4'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1992-01-01', 'value': '39.6'}"
1993,8.9,38.5,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1993-01-01', 'value': '8.9'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1993-01-01', 'value': '38.5'}"
1994,8.4,37.3,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1994-01-01', 'value': '8.4'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1994-01-01', 'value': '37.3'}"
1995,8,35.9,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1995-01-01', 'value': '8.0'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1995-01-01', 'value': '35.9'}"
1996,7.6,34.6,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1996-01-01', 'value': '7.6'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1996-01-01', 'value': '34.6'}"
1997,7.3,33.1,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1997-01-01', 'value': '7.3'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1997-01-01', 'value': '33.1'}"
1998,7,31.6,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1998-01-01', 'value': '7.0'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1998-01-01', 'value': '31.6'}"
1999,6.7,30.1,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1999-01-01', 'value': '6.7'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '1999-01-01', 'value': '30.1'}"
2000,6.5,28.5,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2000-01-01', 'value': '6.5'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2000-01-01', 'value': '28.5'}"
2001,6.3,26.9,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2001-01-01', 'value': '6.3'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2001-01-01', 'value': '26.9'}"
2002,6.1,25.3,"{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2002-01-01', 'value': '6.1'}","{'realtime_start': '2022-12-27', 'realtime_end': '2022-12-27', 'date': '2002-01-01', 'value': '25.3'}"
