State,Gender,Disability,Rate,Gender2
Alabama,Female,Hearing,3.4,Both
Alabama,Male,Hearing,5.4,Male
Alaska,Female,Hearing,2.8,Both
Alaska,Male,Hearing,5.9,Male
Arizona,Female,Hearing,2.9,Both
Arizona,Male,Hearing,5.1,Male
Arkansas,Female,Hearing,3.9,Both
Arkansas,Male,Hearing,6.2,Male
California,Female,Hearing,2.6,Both
California,Male,Hearing,3.4,Male
Colorado,Female,Hearing,2.6,Both
Colorado,Male,Hearing,4.3,Male
Connecticut,Female,Hearing,2.7,Both
Connecticut,Male,Hearing,3.2,Male
Delaware,Female,Hearing,2.6,Both
Delaware,Male,Hearing,4.2,Male
Florida,Female,Hearing,3.2,Both
Florida,Male,Hearing,4.6,Male
Georgia,Female,Hearing,2.6,Both
Georgia,Male,Hearing,3.9,Male
Hawaii,Female,Hearing,3,Both
Hawaii,Male,Hearing,4.9,Male
Idaho,Female,Hearing,2.9,Both
Idaho,Male,Hearing,6.5,Male
Illinois,Female,Hearing,2.5,Both
Illinois,Male,Hearing,3.5,Male
Indiana,Female,Hearing,3,Both
Indiana,Male,Hearing,4.7,Male
Iowa,Female,Hearing,3.1,Both
Iowa,Male,Hearing,4.3,Male
Kansas,Female,Hearing,3.4,Both
Kansas,Male,Hearing,5.5,Male
Kentucky,Female,Hearing,4.1,Both
Kentucky,Male,Hearing,6.1,Male
Louisiana,Female,Hearing,3.4,Both
Louisiana,Male,Hearing,4.9,Male
Maine,Female,Hearing,4.2,Both
Maine,Male,Hearing,6.7,Male
Maryland,Female,Hearing,2.3,Both
Maryland,Male,Hearing,3,Male
Massachusetts,Female,Hearing,2.7,Both
Massachusetts,Male,Hearing,3.5,Male
Michigan,Female,Hearing,3.1,Both
Michigan,Male,Hearing,4.6,Male
Minnesota,Female,Hearing,2.7,Both
Minnesota,Male,Hearing,4.1,Male
Mississippi,Female,Hearing,3.3,Both
Mississippi,Male,Hearing,5.3,Male
Missouri,Female,Hearing,3.1,Both
Missouri,Male,Hearing,5.3,Male
Montana,Female,Hearing,3.2,Both
Montana,Male,Hearing,6.5,Male
Nebraska,Female,Hearing,2.8,Both
Nebraska,Male,Hearing,5.4,Male
Nevada,Female,Hearing,2.9,Both
Nevada,Male,Hearing,4.3,Male
New Hampshire,Female,Hearing,2.4,Both
New Hampshire,Male,Hearing,4.5,Male
New Jersey,Female,Hearing,2.3,Both
