County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",Total:,"172,092",Total,Total
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. Under 18 years:,"40,692", Under 18 years,Under 18 years
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . With health insurance coverage,"36,893",  With health insurance coverage,With health insurance coverage
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . No health insurance coverage,"3,799",  No health insurance coverage,No health insurance coverage
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. 18 to 64 years:,"103,504", 18 to 64 years,18 to 64 years
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . With health insurance coverage,"82,566",  With health insurance coverage,With health insurance coverage
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . No health insurance coverage,"20,938",  No health insurance coverage,No health insurance coverage
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. 65 years or over:,"27,896", 65 years or over,65 years or over
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . With health insurance coverage,"27,707",  With health insurance coverage,With health insurance coverage
Baldwin County,Alabama, Alabama,"Baldwin County, Alabama",. . No health insurance coverage,189,  No health insurance coverage,No health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",Total:,"111,656",Total,Total
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. Under 18 years:,"25,790", Under 18 years,Under 18 years
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . With health insurance coverage,"24,577",  With health insurance coverage,With health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . No health insurance coverage,"1,213",  No health insurance coverage,No health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. 18 to 64 years:,"69,671", 18 to 64 years,18 to 64 years
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . With health insurance coverage,"55,159",  With health insurance coverage,With health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . No health insurance coverage,"14,512",  No health insurance coverage,No health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. 65 years or over:,"16,195", 65 years or over,65 years or over
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . With health insurance coverage,"16,195",  With health insurance coverage,With health insurance coverage
Calhoun County,Alabama, Alabama,"Calhoun County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",Total:,"78,932",Total,Total
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. Under 18 years:,"18,368", Under 18 years,Under 18 years
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . With health insurance coverage,"17,870",  With health insurance coverage,With health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . No health insurance coverage,498,  No health insurance coverage,No health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. 18 to 64 years:,"48,782", 18 to 64 years,18 to 64 years
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . With health insurance coverage,"36,862",  With health insurance coverage,With health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . No health insurance coverage,"11,920",  No health insurance coverage,No health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. 65 years or over:,"11,782", 65 years or over,65 years or over
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . With health insurance coverage,"11,782",  With health insurance coverage,With health insurance coverage
Cullman County,Alabama, Alabama,"Cullman County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",Total:,"67,813",Total,Total
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. Under 18 years:,"16,719", Under 18 years,Under 18 years
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . With health insurance coverage,"13,528",  With health insurance coverage,With health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . No health insurance coverage,"3,191",  No health insurance coverage,No health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. 18 to 64 years:,"41,747", 18 to 64 years,18 to 64 years
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . With health insurance coverage,"30,235",  With health insurance coverage,With health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . No health insurance coverage,"11,512",  No health insurance coverage,No health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. 65 years or over:,"9,347", 65 years or over,65 years or over
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . With health insurance coverage,"9,226",  With health insurance coverage,With health insurance coverage
DeKalb County,Alabama, Alabama,"DeKalb County, Alabama",. . No health insurance coverage,121,  No health insurance coverage,No health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",Total:,"70,213",Total,Total
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. Under 18 years:,"19,131", Under 18 years,Under 18 years
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . With health insurance coverage,"18,507",  With health insurance coverage,With health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . No health insurance coverage,624,  No health insurance coverage,No health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. 18 to 64 years:,"43,220", 18 to 64 years,18 to 64 years
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . With health insurance coverage,"35,432",  With health insurance coverage,With health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . No health insurance coverage,"7,788",  No health insurance coverage,No health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. 65 years or over:,"7,862", 65 years or over,65 years or over
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . With health insurance coverage,"7,862",  With health insurance coverage,With health insurance coverage
Elmore County,Alabama, Alabama,"Elmore County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",Total:,"102,063",Total,Total
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. Under 18 years:,"23,669", Under 18 years,Under 18 years
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . With health insurance coverage,"20,285",  With health insurance coverage,With health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . No health insurance coverage,"3,384",  No health insurance coverage,No health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. 18 to 64 years:,"62,681", 18 to 64 years,18 to 64 years
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . With health insurance coverage,"49,831",  With health insurance coverage,With health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . No health insurance coverage,"12,850",  No health insurance coverage,No health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. 65 years or over:,"15,713", 65 years or over,65 years or over
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . With health insurance coverage,"15,590",  With health insurance coverage,With health insurance coverage
Etowah County,Alabama, Alabama,"Etowah County, Alabama",. . No health insurance coverage,123,  No health insurance coverage,No health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",Total:,"96,936",Total,Total
Houston County,Alabama, Alabama,"Houston County, Alabama",. Under 18 years:,"24,523", Under 18 years,Under 18 years
Houston County,Alabama, Alabama,"Houston County, Alabama",. . With health insurance coverage,"23,226",  With health insurance coverage,With health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",. . No health insurance coverage,"1,297",  No health insurance coverage,No health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",. 18 to 64 years:,"58,473", 18 to 64 years,18 to 64 years
Houston County,Alabama, Alabama,"Houston County, Alabama",. . With health insurance coverage,"47,532",  With health insurance coverage,With health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",. . No health insurance coverage,"10,941",  No health insurance coverage,No health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",. 65 years or over:,"13,940", 65 years or over,65 years or over
Houston County,Alabama, Alabama,"Houston County, Alabama",. . With health insurance coverage,"13,940",  With health insurance coverage,With health insurance coverage
Houston County,Alabama, Alabama,"Houston County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",Total:,"650,849",Total,Total
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. Under 18 years:,"157,862", Under 18 years,Under 18 years
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . With health insurance coverage,"145,495",  With health insurance coverage,With health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . No health insurance coverage,"12,367",  No health insurance coverage,No health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. 18 to 64 years:,"407,299", 18 to 64 years,18 to 64 years
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . With health insurance coverage,"336,769",  With health insurance coverage,With health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . No health insurance coverage,"70,530",  No health insurance coverage,No health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. 65 years or over:,"85,688", 65 years or over,65 years or over
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . With health insurance coverage,"85,688",  With health insurance coverage,With health insurance coverage
Jefferson County,Alabama, Alabama,"Jefferson County, Alabama",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",Total:,"88,718",Total,Total
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. Under 18 years:,"18,273", Under 18 years,Under 18 years
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . With health insurance coverage,"16,478",  With health insurance coverage,With health insurance coverage
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . No health insurance coverage,"1,795",  No health insurance coverage,No health insurance coverage
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. 18 to 64 years:,"55,596", 18 to 64 years,18 to 64 years
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . With health insurance coverage,"45,048",  With health insurance coverage,With health insurance coverage
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . No health insurance coverage,"10,548",  No health insurance coverage,No health insurance coverage
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. 65 years or over:,"14,849", 65 years or over,65 years or over
Lauderdale County,Alabama, Alabama,"Lauderdale County, Alabama",. . With health insurance coverage,"14,849",  With health insurance coverage,With health insurance coverage
