State Name,FIPS,County,County Name,Percent Uninsured,% HIU Income < 100% FPL,% HIU Income 100-138% FPL,% HIU Income 139-249% FPL,% HIU Income 250-400% FPL,% HIU Income 400% FPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01001,Autauga,Autauga AL,0.09,0.52,0.16,0.13,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01003,Baldwin,Baldwin AL,0.09,0.45,0.12,0.15,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01005,Barbour,Barbour AL,0.12,0.46,0.11,0.18,0.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01007,Bibb,Bibb AL,0.16,0.54,0.14,0.12,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01009,Blount,Blount AL,0.13,0.55,0.10,0.10,0.15,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01011,Bullock,Bullock AL,0.12,0.46,0.11,0.18,0.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01013,Butler,Butler AL,0.14,0.45,0.09,0.30,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01015,Calhoun,Calhoun AL,0.12,0.50,0.16,0.20,0.10,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01017,Chambers,Chambers AL,0.12,0.41,0.04,0.21,0.14,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01019,Cherokee,Cherokee AL,0.15,0.58,0.04,0.20,0.08,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01021,Chilton,Chilton AL,0.12,0.41,0.04,0.21,0.14,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01023,Choctaw,Choctaw AL,0.14,0.71,0.07,0.14,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01025,Clarke,Clarke AL,0.14,0.71,0.07,0.14,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01027,Clay,Clay AL,0.15,0.58,0.04,0.20,0.08,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01029,Cleburne,Cleburne AL,0.15,0.58,0.04,0.20,0.08,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01031,Coffee,Coffee AL,0.14,0.45,0.09,0.30,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01033,Colbert,Colbert AL,0.10,0.47,0.13,0.25,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01035,Conecuh,Conecuh AL,0.14,0.71,0.07,0.14,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01037,Coosa,Coosa AL,0.12,0.41,0.04,0.21,0.14,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01039,Covington,Covington AL,0.14,0.45,0.09,0.30,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01041,Crenshaw,Crenshaw AL,0.14,0.45,0.09,0.30,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01043,Cullman,Cullman AL,0.11,0.34,0.06,0.26,0.24,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01045,Dale,Dale AL,0.15,0.47,0.11,0.23,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01047,Dallas,Dallas AL,0.16,0.54,0.14,0.12,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01049,DeKalb,DeKalb AL,0.13,0.42,0.17,0.18,0.10,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01051,Elmore,Elmore AL,0.09,0.52,0.16,0.13,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01053,Escambia,Escambia AL,0.14,0.71,0.07,0.14,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01055,Etowah,Etowah AL,0.18,0.58,0.10,0.21,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01057,Fayette,Fayette AL,0.17,0.48,0.13,0.28,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01059,Franklin,Franklin AL,0.10,0.47,0.13,0.25,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01061,Geneva,Geneva AL,0.15,0.47,0.11,0.23,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01063,Greene,Greene AL,0.16,0.54,0.14,0.12,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01065,Hale,Hale AL,0.16,0.54,0.14,0.12,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01067,Henry,Henry AL,0.15,0.47,0.11,0.23,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01069,Houston,Houston AL,0.15,0.47,0.11,0.23,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01071,Jackson,Jackson AL,0.13,0.42,0.17,0.18,0.10,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01073,Jefferson,Jefferson AL,0.12,0.38,0.12,0.20,0.17,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01075,Lamar,Lamar AL,0.17,0.48,0.13,0.28,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01077,Lauderdale,Lauderdale AL,0.10,0.47,0.13,0.25,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01079,Lawrence,Lawrence AL,0.12,0.50,0.17,0.11,0.20,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01081,Lee,Lee AL,0.05,0.51,**,0.31,0.11,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01083,Limestone,Limestone AL,0.11,0.46,0.08,0.22,0.17,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01085,Lowndes,Lowndes AL,0.09,0.52,0.16,0.13,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01087,Macon,Macon AL,0.12,0.46,0.11,0.18,0.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01089,Madison,Madison AL,0.10,0.46,0.09,0.21,0.12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01091,Marengo,Marengo AL,0.16,0.54,0.14,0.12,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01093,Marion,Marion AL,0.16,0.48,0.13,0.28,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01095,Marshall,Marshall AL,0.09,0.40,0.15,0.20,0.15,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01097,Mobile,Mobile AL,0.12,0.41,0.11,0.29,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01099,Monroe,Monroe AL,0.14,0.71,0.07,0.14,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01101,Montgomery,Montgomery AL,0.12,0.47,0.13,0.20,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,01103,Morgan,Morgan AL,0.12,0.50,0.17,0.11,0.20,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
