STATE,RATE,DEATHS,URL
Alabama,16,793,/nchs/pressroom/states/alabama/al.htm
Alaska,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Arizona,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Arkansas,19,583,/nchs/pressroom/states/arkansas/ar.htm
California,10,4144,/nchs/pressroom/states/california/ca.htm
Colorado,21.5,1302,/nchs/pressroom/states/colorado/co.htm
Connecticut,9.3,364,/nchs/pressroom/states/connecticut/ct.htm
Delaware,12.3,124,/nchs/pressroom/states/delaware/de.htm
Florida,13.2,3135,/nchs/pressroom/states/florida/fl.htm
Georgia,13.7,1491,/nchs/pressroom/states/georgia/ga.htm
Hawaii,12.9,184,/nchs/pressroom/states/hawaii/hi.htm
Idaho,23.2,419,/nchs/pressroom/states/idaho/id.htm
Illinois,10.5,1362,/nchs/pressroom/states/illinois/il.htm
Indiana,15,1024,/nchs/pressroom/states/indiana/in.htm
Iowa,18,552,/nchs/pressroom/states/iowa/ia.htm
Kansas,18.4,531,/nchs/pressroom/states/kansas/ks.htm
Kentucky,17.7,801,/nchs/pressroom/states/kentucky/ky.htm
Louisiana,13.7,642,/nchs/pressroom/states/louisiana/la.htm
Maine,16.4,234,/nchs/pressroom/states/maine/me.htm
Maryland,9.2,585,/nchs/pressroom/states/maryland/md.htm
Massachusetts,8.4,618,/nchs/pressroom/states/massachusetts/ma.htm
Michigan,14,1444,/nchs/pressroom/states/michigan/mi.htm
Minnesota,13.1,758,/nchs/pressroom/states/minnesota/mn.htm
Mississippi,13.9,410,/nchs/pressroom/states/mississippi/ms.htm
Missouri,18.2,1125,/nchs/pressroom/states/missouri/mo.htm
Montana,26.1,300,/nchs/pressroom/states/montana/mt.htm
Nebraska,14.9,283,/nchs/pressroom/states/nebraska/ne.htm
Nevada,18.2,603,/nchs/pressroom/states/nevada/nv.htm
New Hampshire,16.4,234,/nchs/pressroom/states/newhampshire/nh.htm
New Jersey,7.1,679,/nchs/pressroom/states/newjersey/nj.htm
New Mexico,24.2,516,/nchs/pressroom/states/newmexico/nm.htm
New York,8,1642,/nchs/pressroom/states/newyork/ny.htm
North Carolina,13.2,1441,/nchs/pressroom/states/northcarolina/nc.htm
North Dakota,18.2,135,/nchs/pressroom/states/northdakota/nd.htm
Ohio,13.8,1644,/nchs/pressroom/states/ohio/oh.htm
Oklahoma,21.9,869,/nchs/pressroom/states/oklahoma/ok.htm
Oregon,18.3,833,/nchs/pressroom/states/oregon/or.htm
Pennsylvania,12.6,1694,/nchs/pressroom/states/pennsylvania/pa.htm
Rhode Island,8.5,94,/nchs/pressroom/states/rhodeisland/ri.htm
South Carolina,16.3,868,/nchs/pressroom/states/southcarolina/sc.htm
South Dakota,21,186,/nchs/pressroom/states/southdakota/sd.htm
Tennessee,17.2,1220,/nchs/pressroom/states/tennessee/tn.htm
Texas,13.3,3924,/nchs/pressroom/states/texas/tx.htm
Utah,20.8,651,/nchs/pressroom/states/utah/ut.htm
Vermont,18.1,117,/nchs/pressroom/states/vermont/vt.htm
Virginia,13.5,1202,/nchs/pressroom/states/virginia/va.htm
Washington,15.2,1212,/nchs/pressroom/states/washington/wa.htm
West Virginia,19.4,354,/nchs/pressroom/states/westvirginia/wv.htm
Wisconsin,14.5,866,/nchs/pressroom/states/wisconsin/wi.htm
Wyoming,30.5,182,/nchs/pressroom/states/wyoming/wy.htm
