quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge
200702,520135,872.27039,1185,655,399,229,01-02-2007,2007-02-01,94993,2007,2,1,matched (3)
200703,520135,1057.8501,1299,695,399,230,01-03-2007,2007-03-01,99770,2007,3,1,matched (3)
200704,520135,1088.0817,1299,764.67499,399,231,01-04-2007,2007-04-01,101168,2007,4,2,matched (3)
200705,520135,1071.3938,1399.75,749.5,399,232,01-05-2007,2007-05-01,102992,2007,5,2,matched (3)
200706,520135,1030.3234,1200,650,389,233,01-06-2007,2007-06-01,104456,2007,6,2,matched (3)
200707,520135,1053.1189,1399.75,655,375,234,01-07-2007,2007-07-01,103584,2007,7,3,matched (3)
200708,520135,1048.9363,1350,700,399,235,01-08-2007,2007-08-01,103198,2007,8,3,matched (3)
200709,520135,1063.7756,1399.79,750,389,236,01-09-2007,2007-09-01,103769,2007,9,3,matched (3)
200710,520135,1072.6375,1399.79,750,379,237,01-10-2007,2007-10-01,105114,2007,10,4,matched (3)
200711,520135,1055.2339,1279.5,794,399,238,01-11-2007,2007-11-01,107436,2007,11,4,matched (3)
200712,520135,1038.9077,1260,750,399,239,01-12-2007,2007-12-01,107286,2007,12,4,matched (3)
200801,520135,1039.5735,1399.79,739.5,395,240,01-01-2008,2008-01-01,102691,2008,1,1,matched (3)
200802,520135,1022.6038,1395,706.995,350,241,01-02-2008,2008-02-01,100511,2008,2,1,matched (3)
200803,520135,1040.8536,1395,724.495,354.97501,242,01-03-2008,2008-03-01,105118,2008,3,1,matched (3)
200804,520135,1040.5095,1399.99,795,350,243,01-04-2008,2008-04-01,99887,2008,4,2,matched (3)
200805,520135,1019.3892,1399.99,750,359.95001,244,01-05-2008,2008-05-01,100583,2008,5,2,matched (3)
200806,520135,1033.0804,1399.99,750,354.97501,245,01-06-2008,2008-06-01,101446,2008,6,2,matched (3)
200807,520135,1040.0111,1399.99,750,350,246,01-07-2008,2008-07-01,102214,2008,7,3,matched (3)
