quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge
200302,220209,1.444351,1.5,1.4,1.3,181,01-02-2003,2003-02-01,106569,2003,2,1,matched (3)
200303,220209,1.4431971,1.5,1.4,1.3,182,01-03-2003,2003-03-01,107246,2003,3,1,matched (3)
200304,220209,1.4421823,1.5,1.4,1.3,183,01-04-2003,2003-04-01,96279,2003,4,2,matched (3)
200305,220209,1.4570192,1.5,1.4,1.325,184,01-05-2003,2003-05-01,99396,2003,5,2,matched (3)
200306,220209,1.4560527,1.5,1.4,1.3099999,185,01-06-2003,2003-06-01,100902,2003,6,2,matched (3)
200307,220209,1.457886,1.5,1.4,1.34,186,01-07-2003,2003-07-01,101269,2003,7,3,matched (3)
200308,220209,1.4570047,1.5,1.4,1.325,187,01-08-2003,2003-08-01,100534,2003,8,3,matched (3)
200309,220209,1.4983418,1.55,1.45,1.4,188,01-09-2003,2003-09-01,101448,2003,9,3,matched (3)
200310,220209,1.5009048,1.55,1.45,1.37,189,01-10-2003,2003-10-01,104513,2003,10,4,matched (3)
200311,220209,1.5007838,1.55,1.45,1.37,190,01-11-2003,2003-11-01,109068,2003,11,4,matched (3)
200312,220209,1.5007838,1.55,1.45,1.37,191,01-12-2003,2003-12-01,110012,2003,12,4,matched (3)
200401,220209,1.4981341,1.55,1.45,1.4,192,01-01-2004,2004-01-01,107904,2004,1,1,matched (3)
200402,220209,1.5109686,1.55,1.45,1.4,193,01-02-2004,2004-02-01,103439,2004,2,1,matched (3)
200403,220209,1.5191991,1.55,1.45,1.4,194,01-03-2004,2004-03-01,105011,2004,3,1,matched (3)
200404,220209,1.5155582,1.55,1.45,1.4,195,01-04-2004,2004-04-01,105509,2004,4,2,matched (3)
200405,220209,1.5335517,1.6,1.45,1.4,196,01-05-2004,2004-05-01,107319,2004,5,2,matched (3)
200406,220209,1.5308845,1.6,1.45,1.4,197,01-06-2004,2004-06-01,107774,2004,6,2,matched (3)
200407,220209,1.5280285,1.6,1.45,1.4,198,01-07-2004,2004-07-01,106865,2004,7,3,matched (3)
200408,220209,1.5279621,1.6,1.45,1.4,199,01-08-2004,2004-08-01,105050,2004,8,3,matched (3)
200409,220209,1.5617661,1.6,1.5,1.4,200,01-09-2004,2004-09-01,104170,2004,9,3,matched (3)
200410,220209,1.559689,1.6,1.5,1.4,201,01-10-2004,2004-10-01,105471,2004,10,4,matched (3)
200411,220209,1.559689,1.6,1.5,1.4,202,01-11-2004,2004-11-01,106502,2004,11,4,matched (3)
200412,220209,1.5591886,1.6,1.5,1.4,203,01-12-2004,2004-12-01,106782,2004,12,4,matched (3)
200501,220209,1.5660501,1.6,1.5,1.45,204,01-01-2005,2005-01-01,103613,2005,1,1,matched (3)
200502,220209,1.559027,1.6,1.5,1.42,205,01-02-2005,2005-02-01,108851,2005,2,1,matched (3)
200503,220209,1.5631622,1.6,1.5,1.45,206,01-03-2005,2005-03-01,109174,2005,3,1,matched (3)
200504,220209,1.571866,1.6,1.5,1.45,207,01-04-2005,2005-04-01,112133,2005,4,2,matched (3)
200505,220209,1.4941339,1.55,1.5,1.45,208,01-05-2005,2005-05-01,111815,2005,5,2,matched (3)
200506,220209,1.5834314,1.6,1.5,1.45,209,01-06-2005,2005-06-01,114133,2005,6,2,matched (3)
200507,220209,1.5838902,1.6,1.5,1.45,210,01-07-2005,2005-07-01,112702,2005,7,3,matched (3)
200508,220209,1.5839286,1.6,1.5,1.45,211,01-08-2005,2005-08-01,111794,2005,8,3,matched (3)
200509,220209,1.6235385,1.65,1.55,1.5,212,01-09-2005,2005-09-01,111426,2005,9,3,matched (3)
200510,220209,1.6184223,1.65,1.55,1.5,213,01-10-2005,2005-10-01,108500,2005,10,4,matched (3)
200511,220209,1.6185749,1.65,1.55,1.5,214,01-11-2005,2005-11-01,104534,2005,11,4,matched (3)
200512,220209,1.6182891,1.65,1.55,1.5,215,01-12-2005,2005-12-01,109077,2005,12,4,matched (3)
200601,220209,1.6177419,1.65,1.55,1.5,216,01-01-2006,2006-01-01,104610,2006,1,1,matched (3)
200602,220209,1.6085956,1.65,1.55,1.5,217,01-02-2006,2006-02-01,100465,2006,2,1,matched (3)
200603,220209,1.6105458,1.65,1.55,1.5,218,01-03-2006,2006-03-01,103882,2006,3,1,matched (3)
200604,220209,1.6047084,1.65,1.55,1.5,219,01-04-2006,2006-04-01,107567,2006,4,2,matched (3)
200605,220209,1.6266518,1.7,1.55,1.5,220,01-05-2006,2006-05-01,109228,2006,5,2,matched (3)
200606,220209,1.6259104,1.67,1.55,1.5,221,01-06-2006,2006-06-01,110194,2006,6,2,matched (3)
200607,220209,1.6265385,1.67,1.55,1.5,222,01-07-2006,2006-07-01,107021,2006,7,3,matched (3)
200608,220209,1.6413163,1.7,1.55,1.5,223,01-08-2006,2006-08-01,105147,2006,8,3,matched (3)
200609,220209,1.6979648,1.75,1.62,1.53,224,01-09-2006,2006-09-01,105598,2006,9,3,matched (3)
200610,220209,1.6936414,1.75,1.6,1.54,225,01-10-2006,2006-10-01,106345,2006,10,4,matched (3)
200611,220209,1.6933272,1.75,1.6,1.54,226,01-11-2006,2006-11-01,107067,2006,11,4,matched (3)
200612,220209,1.6930642,1.75,1.6,1.54,227,01-12-2006,2006-12-01,107974,2006,12,4,matched (3)
200701,220209,1.7037594,1.75,1.63,1.55,228,01-01-2007,2007-01-01,94734,2007,1,1,matched (3)
200702,220209,1.7029796,1.75,1.62,1.55,229,01-02-2007,2007-02-01,94993,2007,2,1,matched (3)
200703,220209,1.702302,1.75,1.63,1.55,230,01-03-2007,2007-03-01,99770,2007,3,1,matched (3)
200704,220209,1.702114,1.75,1.63,1.55,231,01-04-2007,2007-04-01,101168,2007,4,2,matched (3)
200705,220209,1.7144259,1.75,1.65,1.55,232,01-05-2007,2007-05-01,102992,2007,5,2,matched (3)
200706,220209,1.7154982,1.75,1.65,1.55,233,01-06-2007,2007-06-01,104456,2007,6,2,matched (3)
200707,220209,1.7154412,1.75,1.65,1.55,234,01-07-2007,2007-07-01,103584,2007,7,3,matched (3)
200708,220209,1.7138716,1.75,1.65,1.55,235,01-08-2007,2007-08-01,103198,2007,8,3,matched (3)
200709,220209,1.7612623,1.8,1.7,1.6,236,01-09-2007,2007-09-01,103769,2007,9,3,matched (3)
200710,220209,1.7658459,1.8,1.7,1.6,237,01-10-2007,2007-10-01,105114,2007,10,4,matched (3)
