region,price,date
5,13.5,01/02/1988
3,10.99,01/02/1988
5,24.950001,01/02/1988
9,24.5,01/02/1988
5,69.949997,01/02/1988
7,15,01/02/1988
12,33.349998,01/02/1988
7,15,01/02/1988
8,8.9899998,01/02/1988
2,16.99,01/02/1988
4,11.99,01/02/1988
11,19,01/02/1988
4,8.9899998,01/02/1988
13,7.9499998,01/02/1988
3,24.950001,01/02/1988
10,6.9899998,01/02/1988
10,25.5,01/02/1988
8,10.99,01/02/1988
4,19.99,01/02/1988
6,9.9899998,01/02/1988
3,24.99,01/02/1988
12,13.99,01/02/1988
6,19.950001,01/02/1988
5,10.99,01/02/1988
13,9.9499998,01/02/1988
6,19.99,01/02/1988
6,19.950001,01/02/1988
6,10.99,01/02/1988
8,10.99,01/03/1988
6,10.99,01/03/1988
5,13.5,01/03/1988
6,19.950001,01/03/1988
9,24.5,01/03/1988
3,24.950001,01/03/1988
11,19,01/03/1988
6,19.950001,01/03/1988
10,25.5,01/03/1988
5,24.950001,01/03/1988
4,19.99,01/03/1988
4,8.9899998,01/03/1988
10,6.9899998,01/03/1988
6,9.9899998,01/03/1988
3,24.99,01/03/1988
13,15.95,01/03/1988
8,8.9899998,01/03/1988
3,10.99,01/03/1988
13,9.9499998,01/03/1988
13,16.99,01/03/1988
5,10.99,01/03/1988
10,6.9899998,01/03/1988
7,15,01/03/1988
4,11.99,01/03/1988
13,7.9499998,01/03/1988
12,13.99,01/03/1988
7,15,01/03/1988
12,33.349998,01/03/1988
2,16.99,01/03/1988
6,19.99,01/03/1988
13,14.99,01/03/1988
10,6.9899998,01/04/1988
13,15.95,01/04/1988
13,14.99,01/04/1988
3,24.950001,01/04/1988
8,8.9899998,01/04/1988
6,19.950001,01/04/1988
9,44.950001,01/04/1988
5,69.949997,01/04/1988
8,23.950001,01/04/1988
7,15,01/04/1988
6,9.9899998,01/04/1988
2,16.99,01/04/1988
3,10.99,01/04/1988
5,24.950001,01/04/1988
4,11.99,01/04/1988
5,13.5,01/04/1988
4,8.9899998,01/04/1988
11,19,01/04/1988
9,24.5,01/04/1988
6,19.950001,01/04/1988
12,13.99,01/04/1988
10,25.5,01/04/1988
13,10.95,01/04/1988
6,10.99,01/04/1988
13,16.99,01/04/1988
7,15,01/04/1988
8,10.99,01/04/1988
6,19.99,01/04/1988
10,6.9899998,01/04/1988
5,10.99,01/04/1988
13,7.9499998,01/04/1988
3,24.99,01/04/1988
4,19.99,01/04/1988
13,14.99,01/05/1988
10,6.9899998,01/05/1988
9,44.950001,01/05/1988
6,19.950001,01/05/1988
8,23.950001,01/05/1988
4,19.99,01/05/1988
5,11.99,01/05/1988
2,16.99,01/05/1988
10,6.9899998,01/05/1988
13,10.95,01/05/1988
7,15,01/05/1988
8,11.99,01/05/1988
6,10.99,01/05/1988
6,19.99,01/05/1988
11,19,01/05/1988
8,8.9899998,01/05/1988
7,15,01/05/1988
6,19.950001,01/05/1988
12,13.99,01/05/1988
6,9.9899998,01/05/1988
5,13.5,01/05/1988
3,11.99,01/05/1988
3,24.950001,01/05/1988
10,25.5,01/05/1988
5,23.950001,01/05/1988
4,8.9899998,01/05/1988
4,11.99,01/05/1988
13,7.9499998,01/05/1988
9,23.99,01/05/1988
13,15.95,01/05/1988
13,16.99,01/05/1988
8,24.950001,01/06/1988
13,16.99,01/06/1988
6,19.950001,01/06/1988
11,19,01/06/1988
6,19.99,01/06/1988
5,13.5,01/06/1988
5,49.950001,01/06/1988
8,8.9899998,01/06/1988
9,23.99,01/06/1988
8,11.99,01/06/1988
4,19.99,01/06/1988
4,11.99,01/06/1988
13,15.95,01/06/1988
13,14.99,01/06/1988
6,9.9899998,01/06/1988
3,24.950001,01/06/1988
10,6.9899998,01/06/1988
12,13.99,01/06/1988
5,11.99,01/06/1988
6,19.950001,01/06/1988
4,11.99,01/06/1988
10,25.5,01/06/1988
3,11.99,01/06/1988
6,10.99,01/06/1988
13,10.95,01/06/1988
9,44.950001,01/06/1988
13,7.9499998,01/06/1988
10,6.9899998,01/06/1988
5,23.950001,01/06/1988
4,8.9899998,01/06/1988
5,49.950001,01/07/1988
6,19.950001,01/07/1988
4,11.99,01/07/1988
13,7.9499998,01/07/1988
6,9.9899998,01/07/1988
11,19,01/07/1988
6,19.950001,01/07/1988
5,23.950001,01/07/1988
13,10.95,01/07/1988
10,25.5,01/07/1988
5,11.99,01/07/1988
3,24.950001,01/07/1988
5,13.5,01/07/1988
7,15,01/07/1988
6,19.99,01/07/1988
12,13.99,01/07/1988
4,19.99,01/07/1988
4,11.99,01/07/1988
7,16,01/07/1988
8,24.950001,01/07/1988
8,8.9899998,01/07/1988
6,10.99,01/07/1988
9,23.99,01/07/1988
8,11.99,01/07/1988
3,11.99,01/07/1988
9,44.950001,01/07/1988
2,16.99,01/07/1988
10,6.9899998,01/07/1988
6,19.950001,01/09/1988
4,19.99,01/09/1988
8,8.9899998,01/09/1988
9,45.950001,01/09/1988
7,16.99,01/09/1988
11,19,01/09/1988
5,23.950001,01/09/1988
5,11.99,01/09/1988
13,19.99,01/09/1988
4,8.9899998,01/09/1988
6,19.950001,01/09/1988
5,49.950001,01/09/1988
13,7.9499998,01/09/1988
6,19.99,01/09/1988
9,23.99,01/09/1988
5,13.5,01/09/1988
12,18.299999,01/09/1988
10,25.5,01/09/1988
8,24.950001,01/09/1988
10,6.9899998,01/09/1988
8,11.99,01/09/1988
3,24.950001,01/09/1988
4,11.99,01/09/1988
3,11.99,01/09/1988
13,10.95,01/09/1988
2,16.99,01/09/1988
12,13.99,01/09/1988
4,11.99,01/09/1988
5,49.950001,01/10/1988
4,11.99,01/10/1988
6,19.950001,01/10/1988
8,11.99,01/10/1988
3,13.99,01/10/1988
13,7.9499998,01/10/1988
3,11.99,01/10/1988
9,23.99,01/10/1988
3,24.950001,01/10/1988
10,25.5,01/10/1988
4,11.99,01/10/1988
10,6.9899998,01/10/1988
2,16.99,01/10/1988
11,19,01/10/1988
8,24.950001,01/10/1988
3,12,01/10/1988
6,10.99,01/10/1988
6,19.99,01/10/1988
