quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge
199202,210414,1.7512801,1.95,1.89,1.59,49,01-02-1992,1992-02-01,90929,1992,2,1,matched (3)
199203,210414,1.7410853,1.95,1.84,1.49,50,01-03-1992,1992-03-01,90207,1992,3,1,matched (3)
199204,210414,1.7572029,1.95,1.89,1.49,51,01-04-1992,1992-04-01,94520,1992,4,2,matched (3)
199205,210414,1.7616667,1.95,1.89,1.39,52,01-05-1992,1992-05-01,96568,1992,5,2,matched (3)
199206,210414,1.7139726,1.95,1.8050001,1.39,53,01-06-1992,1992-06-01,98437,1992,6,2,matched (3)
199207,210414,1.6487162,1.95,1.615,1.39,54,01-07-1992,1992-07-01,98202,1992,7,3,matched (3)
199208,210414,1.6835461,1.95,1.65,1.49,55,01-08-1992,1992-08-01,98595,1992,8,3,matched (3)
199209,210414,1.689021,1.95,1.79,1.39,56,01-09-1992,1992-09-01,100395,1992,9,3,matched (3)
199210,210414,1.7087333,1.95,1.825,1.39,57,01-10-1992,1992-10-01,100846,1992,10,4,matched (3)
199211,210414,1.7477083,1.99,1.95,1.49,58,01-11-1992,1992-11-01,101767,1992,11,4,matched (3)
199212,210414,1.7075839,1.95,1.78,1.39,59,01-12-1992,1992-12-01,101025,1992,12,4,matched (3)
199301,210414,1.6988535,1.95,1.72,1.4400001,60,01-01-1993,1993-01-01,101122,1993,1,1,matched (3)
199302,210414,1.6779875,2.0899999,1.59,1.35,61,01-02-1993,1993-02-01,105604,1993,2,1,matched (3)
199303,210414,1.6924026,2.0899999,1.59,1.35,62,01-03-1993,1993-03-01,107092,1993,3,1,matched (3)
199304,210414,1.5844512,1.99,1.49,1.35,63,01-04-1993,1993-04-01,108050,1993,4,2,matched (3)
199305,210414,1.6515882,2.0899999,1.49,1.35,64,01-05-1993,1993-05-01,111087,1993,5,2,matched (3)
199306,210414,1.6444643,2.0899999,1.49,1.35,65,01-06-1993,1993-06-01,111072,1993,6,2,matched (3)
199307,210414,1.6427381,1.99,1.49,1.35,66,01-07-1993,1993-07-01,111736,1993,7,3,matched (3)
199308,210414,1.637485,1.99,1.49,1.35,67,01-08-1993,1993-08-01,111577,1993,8,3,matched (3)
199309,210414,1.5648538,1.99,1.49,1.35,68,01-09-1993,1993-09-01,113472,1993,9,3,matched (3)
199310,210414,1.5930814,1.99,1.59,1.25,69,01-10-1993,1993-10-01,113796,1993,10,4,matched (3)
199311,210414,1.6261177,1.99,1.59,1.35,70,01-11-1993,1993-11-01,113474,1993,11,4,matched (3)
199312,210414,1.6153846,1.99,1.59,1.35,71,01-12-1993,1993-12-01,114457,1993,12,4,matched (3)
199401,210414,1.6107262,1.99,1.59,1.29,72,01-01-1994,1994-01-01,113415,1994,1,1,matched (3)
199402,210414,1.6238372,1.99,1.59,1.35,73,01-02-1994,1994-02-01,109226,1994,2,1,matched (3)
199403,210414,1.6390643,1.99,1.59,1.35,74,01-03-1994,1994-03-01,109122,1994,3,1,matched (3)
199404,210414,1.6348503,1.99,1.59,1.29,75,01-04-1994,1994-04-01,108186,1994,4,2,matched (3)
199405,210414,1.6489561,1.99,1.6900001,1.29,76,01-05-1994,1994-05-01,119067,1994,5,2,matched (3)
199406,210414,1.6375275,1.99,1.6900001,1.29,77,01-06-1994,1994-06-01,118695,1994,6,2,matched (3)
199407,210414,1.6278771,1.99,1.6900001,1.29,78,01-07-1994,1994-07-01,120570,1994,7,3,matched (3)
199408,210414,1.6180745,1.99,1.6900001,1.29,79,01-08-1994,1994-08-01,106634,1994,8,3,matched (3)
199409,210414,1.5790286,1.99,1.59,1.29,80,01-09-1994,1994-09-01,116814,1994,9,3,matched (3)
199410,210414,1.5808671,1.99,1.49,1.29,81,01-10-1994,1994-10-01,115660,1994,10,4,matched (3)
199411,210414,1.6123034,1.99,1.59,1.29,82,01-11-1994,1994-11-01,117297,1994,11,4,matched (3)
199412,210414,1.5755191,1.99,1.49,1.33,83,01-12-1994,1994-12-01,116315,1994,12,4,matched (3)
199501,210414,1.5991304,1.99,1.59,1.29,84,01-01-1995,1995-01-01,115148,1995,1,1,matched (3)
199502,210414,1.4780368,1.99,1.39,.99000001,85,01-02-1995,1995-02-01,110133,1995,2,1,matched (3)
199503,210414,1.4702041,1.99,1.49,.99000001,86,01-03-1995,1995-03-01,113822,1995,3,1,matched (3)
199504,210414,1.4226829,1.89,1.35,.99000001,87,01-04-1995,1995-04-01,119189,1995,4,2,matched (3)
199505,210414,1.4148148,1.74,1.39,.99000001,88,01-05-1995,1995-05-01,121754,1995,5,2,matched (3)
199506,210414,1.4939855,1.99,1.4200001,.99000001,89,01-06-1995,1995-06-01,123384,1995,6,2,matched (3)
199507,210414,1.5312583,1.99,1.59,.99000001,90,01-07-1995,1995-07-01,123162,1995,7,3,matched (3)
199508,210414,1.5320946,1.99,1.59,.99000001,91,01-08-1995,1995-08-01,122786,1995,8,3,matched (3)
199509,210414,1.5303247,1.99,1.49,1.25,92,01-09-1995,1995-09-01,123415,1995,9,3,matched (3)
199510,210414,1.588258,1.99,1.6900001,1.09,93,01-10-1995,1995-10-01,123492,1995,10,4,matched (3)
199511,210414,1.5701227,1.89,1.59,1.09,94,01-11-1995,1995-11-01,124808,1995,11,4,matched (3)
199512,210414,1.597193,1.99,1.6900001,1.15,95,01-12-1995,1995-12-01,125879,1995,12,4,matched (3)
199601,210414,1.622781,1.99,1.6900001,1.29,96,01-01-1996,1996-01-01,135408,1996,1,1,matched (3)
199602,210414,1.6358025,1.89,1.6900001,1.39,97,01-02-1996,1996-02-01,128879,1996,2,1,matched (3)
199603,210414,1.6421429,1.99,1.6900001,1.29,98,01-03-1996,1996-03-01,130055,1996,3,1,matched (3)
199604,210414,1.7122858,1.99,1.79,1.49,99,01-04-1996,1996-04-01,133400,1996,4,2,matched (3)
199605,210414,1.6041406,1.99,1.59,1.39,100,01-05-1996,1996-05-01,137447,1996,5,2,matched (3)
199606,210414,1.6337857,1.99,1.6900001,1.455,101,01-06-1996,1996-06-01,141075,1996,6,2,matched (3)
199607,210414,1.5938513,1.99,1.6900001,1.3199999,102,01-07-1996,1996-07-01,141114,1996,7,3,matched (3)
199608,210414,1.6055385,1.89,1.6900001,1.39,103,01-08-1996,1996-08-01,115650,1996,8,3,matched (3)
199609,210414,1.4581132,1.6900001,1.49,1.29,104,01-09-1996,1996-09-01,115367,1996,9,3,matched (3)
199610,210414,1.6500764,1.99,1.6900001,1.49,105,01-10-1996,1996-10-01,116066,1996,10,4,matched (3)
199611,210414,1.6557037,1.99,1.6900001,1.49,106,01-11-1996,1996-11-01,115843,1996,11,4,matched (3)
199612,210414,1.6317164,1.89,1.6900001,1.49,107,01-12-1996,1996-12-01,118682,1996,12,4,matched (3)
199701,210414,1.5357032,1.6900001,1.59,1.475,108,01-01-1997,1997-01-01,115198,1997,1,1,matched (3)
199702,210414,1.5334783,1.89,1.6900001,.99000001,109,01-02-1997,1997-02-01,111216,1997,2,1,matched (3)
199703,210414,1.5507042,1.89,1.6900001,1.09,110,01-03-1997,1997-03-01,110302,1997,3,1,matched (3)
199704,210414,1.5123913,1.99,1.6900001,.99000001,111,01-04-1997,1997-04-01,113726,1997,4,2,matched (3)
199705,210414,1.4941722,1.89,1.6900001,.99000001,112,01-05-1997,1997-05-01,116191,1997,5,2,matched (3)
199706,210414,1.362963,1.99,1.29,.88999999,113,01-06-1997,1997-06-01,118238,1997,6,2,matched (3)
199707,210414,1.4189116,1.89,1.49,.99000001,114,01-07-1997,1997-07-01,117317,1997,7,3,matched (3)
199708,210414,1.4332895,1.89,1.49,.99000001,115,01-08-1997,1997-08-01,116676,1997,8,3,matched (3)
199709,210414,1.4524306,1.89,1.6400001,.99000001,116,01-09-1997,1997-09-01,117704,1997,9,3,matched (3)
199710,210414,1.4025927,1.79,1.405,.99000001,117,01-10-1997,1997-10-01,117099,1997,10,4,matched (3)
199711,210414,1.3926994,1.79,1.49,.88999999,118,01-11-1997,1997-11-01,117659,1997,11,4,matched (3)
199712,210414,1.3932258,1.79,1.49,.92000002,119,01-12-1997,1997-12-01,117241,1997,12,4,matched (3)
199801,210414,1.3741139,1.79,1.39,.88999999,120,01-01-1998,1998-01-01,115152,1998,1,1,matched (3)
199802,210414,1.3204274,1.6900001,1.25,.88999999,121,01-02-1998,1998-02-01,103493,1998,2,1,matched (3)
199803,210414,1.3069565,1.6900001,1.25,.94999999,122,01-03-1998,1998-03-01,105832,1998,3,1,matched (3)
199804,210414,1.310315,1.6900001,1.25,.93000001,123,01-04-1998,1998-04-01,107681,1998,4,2,matched (3)
199805,210414,1.2213637,1.6900001,.99000001,.93000001,124,01-05-1998,1998-05-01,109251,1998,5,2,matched (3)
199806,210414,1.2445238,1.6900001,.99000001,.94,125,01-06-1998,1998-06-01,111444,1998,6,2,matched (3)
199807,210414,1.2446774,1.6900001,.99000001,.94,126,01-07-1998,1998-07-01,109571,1998,7,3,matched (3)
199808,210414,1.2484033,1.6900001,.99000001,.94,127,01-08-1998,1998-08-01,108215,1998,8,3,matched (3)
