quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge
198802,211014,1.865648,1.9841579,1.8959732,1.7196035,1,01-02-1988,1988-02-01,51065,1988,2,1,matched (3)
198803,211014,1.8703804,2.0502965,1.8959732,1.7196035,2,01-03-1988,1988-03-01,49987,1988,3,1,matched (3)
198804,211014,1.8903682,2.0723429,1.8959732,1.7196035,3,01-04-1988,1988-04-01,51716,1988,4,2,matched (3)
198805,211014,1.8799807,2.0502965,1.8959732,1.7085805,4,01-05-1988,1988-05-01,51209,1988,5,2,matched (3)
198806,211014,1.8903227,2.0723429,1.8959732,1.7196035,5,01-06-1988,1988-06-01,51126,1988,6,2,matched (3)
198807,211014,1.9002844,2.094389,1.8959732,1.7196035,6,01-07-1988,1988-07-01,50053,1988,7,3,matched (3)
198809,211014,1.91233,2.0723429,1.9400656,1.7196035,8,01-09-1988,1988-09-01,47264,1988,9,3,matched (3)
198810,211014,1.9140694,2.105412,1.8959732,1.7196035,9,01-10-1988,1988-10-01,50282,1988,10,4,matched (3)
198811,211014,1.9382982,2.094389,1.9621117,1.7416499,10,01-11-1988,1988-11-01,49281,1988,11,4,matched (3)
198812,211014,1.9456944,2.1164351,1.9621117,1.7416499,11,01-12-1988,1988-12-01,51813,1988,12,4,matched (3)
198901,211014,1.9805886,2.1605277,1.9621117,1.7636961,12,01-01-1989,1989-01-01,48551,1989,1,1,matched (3)
198903,211014,1.9977865,2.1605277,1.9841579,1.7636961,14,01-03-1989,1989-03-01,57413,1989,3,1,matched (3)
198904,211014,2.0127881,2.1825738,1.9841579,1.7636961,15,01-04-1989,1989-04-01,20572,1989,4,2,matched (3)
198905,211014,2.030844,2.1825738,2.0502965,1.8077884,16,01-05-1989,1989-05-01,57869,1989,5,2,matched (3)
198906,211014,2.0034001,2.1825738,1.9621117,1.7416499,17,01-06-1989,1989-06-01,58028,1989,6,2,matched (3)
198907,211014,2.0346215,2.2046199,1.9951811,1.8077884,18,01-07-1989,1989-07-01,56793,1989,7,3,matched (3)
198908,211014,2.0732832,2.2928047,2.0282505,1.8518808,19,01-08-1989,1989-08-01,55705,1989,8,3,matched (3)
198909,211014,2.1107459,2.3368971,2.094389,1.873927,20,01-09-1989,1989-09-01,56655,1989,9,3,matched (3)
198910,211014,2.1467221,2.3809898,2.1274581,1.9180194,21,01-10-1989,1989-10-01,55533,1989,10,4,matched (3)
198911,211014,2.1852551,2.425082,2.1605277,1.9621117,22,01-11-1989,1989-11-01,57758,1989,11,4,matched (3)
198912,211014,2.19152,2.425082,2.1605277,1.9621117,23,01-12-1989,1989-12-01,54852,1989,12,4,matched (3)
199001,211014,2.2005115,2.425082,2.1605277,1.9621117,24,01-01-1990,1990-01-01,54121,1990,1,1,matched (3)
199002,211014,2.2410698,2.4691744,2.1825738,1.9621117,25,01-02-1990,1990-02-01,60253,1990,2,1,matched (3)
199003,211014,2.2520819,2.4691744,2.1825738,1.9841579,26,01-03-1990,1990-03-01,60923,1990,3,1,matched (3)
199004,211014,2.2402773,2.4691744,2.1605277,1.9621117,27,01-04-1990,1990-04-01,60819,1990,4,2,matched (3)
199005,211014,2.2740505,2.5132668,2.2046199,1.9841579,28,01-05-1990,1990-05-01,61136,1990,5,2,matched (3)
199006,211014,2.2951908,2.5573592,2.2046199,2.0723429,29,01-06-1990,1990-06-01,62259,1990,6,2,matched (3)
199007,211014,2.3043528,2.5573592,2.1935968,2.0723429,30,01-07-1990,1990-07-01,59060,1990,7,3,matched (3)
199008,211014,2.355269,2.6014514,2.3479204,2.094389,31,01-08-1990,1990-08-01,60067,1990,8,3,matched (3)
199009,211014,2.3134973,2.5353129,2.3368971,2.094389,32,01-09-1990,1990-09-01,61285,1990,9,3,matched (3)
199010,211014,2.3090441,2.5353129,2.2156429,2.094389,33,01-10-1990,1990-10-01,62163,1990,10,4,matched (3)
199011,211014,2.3130512,2.5573592,2.2046199,2.0723429,34,01-11-1990,1990-11-01,65091,1990,11,4,matched (3)
199012,211014,2.3387735,2.5573592,2.3148508,2.094389,35,01-12-1990,1990-12-01,63911,1990,12,4,matched (3)
199101,211014,2.3538237,2.6014514,2.3809898,2.1164351,36,01-01-1991,1991-01-01,57581,1991,1,1,matched (3)
199102,211014,2.3414195,2.6014514,2.3920128,2.094389,37,01-02-1991,1991-02-01,68575,1991,2,1,matched (3)
199103,211014,2.365047,2.6014514,2.4030359,2.1164351,38,01-03-1991,1991-03-01,71151,1991,3,1,matched (3)
199104,211014,2.3838427,2.6014514,2.4030359,2.1605277,39,01-04-1991,1991-04-01,72853,1991,4,2,matched (3)
199105,211014,2.4176447,2.6455441,2.4030359,2.1605277,40,01-05-1991,1991-05-01,74482,1991,5,2,matched (3)
199106,211014,2.4240196,2.6455441,2.4030359,2.1605277,41,01-06-1991,1991-06-01,77477,1991,6,2,matched (3)
199107,211014,2.3931444,2.623498,2.3809898,2.1605277,42,01-07-1991,1991-07-01,78589,1991,7,3,matched (3)
199108,211014,2.4322617,2.7337289,2.4030359,2.1605277,43,01-08-1991,1991-08-01,77622,1991,8,3,matched (3)
199109,211014,2.4471283,2.8219135,2.4030359,2.1605277,44,01-09-1991,1991-09-01,84335,1991,9,3,matched (3)
199110,211014,2.4109633,2.766798,2.4030359,2.105412,45,01-10-1991,1991-10-01,87414,1991,10,4,matched (3)
199111,211014,2.3870814,2.6455441,2.3809898,2.094389,46,01-11-1991,1991-11-01,92291,1991,11,4,matched (3)
199112,211014,2.4393685,2.7888441,2.4030359,2.1605277,47,01-12-1991,1991-12-01,94958,1991,12,4,matched (3)
199201,211014,2.3999076,2.623498,2.4030359,2.1605277,48,01-01-1992,1992-01-01,90912,1992,1,1,matched (3)
199202,211014,2.478354,2.8439598,2.4030359,2.1825738,49,01-02-1992,1992-02-01,90929,1992,2,1,matched (3)
199203,211014,2.5401089,2.8439598,2.5353129,2.2046199,50,01-03-1992,1992-03-01,90207,1992,3,1,matched (3)
199204,211014,2.5637777,2.9211216,2.5353129,2.2928047,51,01-04-1992,1992-04-01,94520,1992,4,2,matched (3)
199205,211014,2.5800085,2.9321446,2.5353129,2.2928047,52,01-05-1992,1992-05-01,96568,1992,5,2,matched (3)
199206,211014,2.551136,2.9100986,2.5353129,2.1825738,53,01-06-1992,1992-06-01,98437,1992,6,2,matched (3)
199207,211014,2.5270374,2.8439598,2.5132668,2.1825738,54,01-07-1992,1992-07-01,98202,1992,7,3,matched (3)
199208,211014,2.5933115,2.9100986,2.5353129,2.2928047,55,01-08-1992,1992-08-01,98595,1992,8,3,matched (3)
199209,211014,2.5764439,2.8660059,2.5353129,2.2928047,56,01-09-1992,1992-09-01,100395,1992,9,3,matched (3)
199210,211014,2.5789983,2.8660059,2.5353129,2.2487123,57,01-10-1992,1992-10-01,100846,1992,10,4,matched (3)
199211,211014,2.5283406,2.8219135,2.5022435,2.2046199,58,01-11-1992,1992-11-01,101767,1992,11,4,matched (3)
199212,211014,2.6148417,2.9100986,2.5794053,2.2487123,59,01-12-1992,1992-12-01,101025,1992,12,4,matched (3)
199301,211014,2.6255205,2.9762371,2.623498,2.3148508,60,01-01-1993,1993-01-01,101122,1993,1,1,matched (3)
199302,211014,2.5921829,2.9100986,2.5573592,2.1825738,61,01-02-1993,1993-02-01,105604,1993,2,1,matched (3)
199303,211014,2.6239502,2.9982831,2.6014514,2.3148508,62,01-03-1993,1993-03-01,107092,1993,3,1,matched (3)
199304,211014,2.6124413,3.0203295,2.623498,2.1825738,63,01-04-1993,1993-04-01,108050,1993,4,2,matched (3)
199305,211014,2.6071243,3.0203295,2.623498,2.1825738,64,01-05-1993,1993-05-01,111087,1993,5,2,matched (3)
199306,211014,2.595181,2.9762371,2.5353129,2.1825738,65,01-06-1993,1993-06-01,111072,1993,6,2,matched (3)
199307,211014,2.641772,3.0644217,2.623498,2.2928047,66,01-07-1993,1993-07-01,111736,1993,7,3,matched (3)
199308,211014,2.6296039,3.0423756,2.623498,2.1825738,67,01-08-1993,1993-08-01,111577,1993,8,3,matched (3)
199309,211014,2.6246347,3.0423756,2.623498,2.3148508,68,01-09-1993,1993-09-01,113472,1993,9,3,matched (3)
199310,211014,2.5931299,3.0423756,2.623498,2.1825738,69,01-10-1993,1993-10-01,113796,1993,10,4,matched (3)
199311,211014,2.5692878,2.9762371,2.5353129,2.1825738,70,01-11-1993,1993-11-01,113474,1993,11,4,matched (3)
199312,211014,2.6204443,3.0423756,2.623498,2.1825738,71,01-12-1993,1993-12-01,114457,1993,12,4,matched (3)
199401,211014,2.5571144,2.8660059,2.5353129,2.1825738,72,01-01-1994,1994-01-01,113415,1994,1,1,matched (3)
199402,211014,2.6393735,3.0423756,2.623498,2.3148508,73,01-02-1994,1994-02-01,109226,1994,2,1,matched (3)
199403,211014,2.6020851,2.9982831,2.623498,2.1825738,74,01-03-1994,1994-03-01,109122,1994,3,1,matched (3)
199404,211014,2.6128783,2.9982831,2.623498,2.1825738,75,01-04-1994,1994-04-01,108186,1994,4,2,matched (3)
199405,211014,2.6065612,2.8660059,2.623498,2.3258739,76,01-05-1994,1994-05-01,119067,1994,5,2,matched (3)
