quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
200102,520235,7.740941,9.8900003,7.75,4.9899998,2.9713883,157,01-02-2001,2001-02-01,104038,2001,2,1,matched (3)
200103,520235,7.9671736,9.9200001,7.875,5.54,2.9018984,158,01-03-2001,2001-03-01,104696,2001,3,1,matched (3)
200104,520235,7.7431479,9.7199993,7.585,5.04,2.9168558,159,01-04-2001,2001-04-01,105771,2001,4,2,matched (3)
200105,520235,7.4314842,9.4899998,7.5,4.9899998,2.7378585,160,01-05-2001,2001-05-01,108055,2001,5,2,matched (3)
200106,520235,7.3858013,9.4899998,7.1900001,4.9899998,2.6679862,161,01-06-2001,2001-06-01,109596,2001,6,2,matched (3)
200107,520235,7.0804477,9.3599997,6.9899998,4.6100001,2.750277,162,01-07-2001,2001-07-01,108549,2001,7,3,matched (3)
200108,520235,7.1779413,8.9899998,6.9299998,5.1199999,2.5239012,163,01-08-2001,2001-08-01,106934,2001,8,3,matched (3)
200109,520235,7.5608544,9.4899998,6.9899998,4.9899998,2.7889845,164,01-09-2001,2001-09-01,105656,2001,9,3,matched (3)
200110,520235,7.8762498,9.9699993,7.4700003,5.04,3.0785687,165,01-10-2001,2001-10-01,106902,2001,10,4,matched (3)
200111,520235,8.0288095,9.9899998,8.9499998,5.1199999,3.0750055,166,01-11-2001,2001-11-01,107581,2001,11,4,matched (3)
200112,520235,7.9902411,9.9499998,8.6899996,5.25,2.9350426,167,01-12-2001,2001-12-01,106644,2001,12,4,matched (3)
200201,520235,7.7672524,9.6899996,7.9899998,4.9899998,3.0933332,168,01-01-2002,2002-01-01,104308,2002,1,1,matched (3)
200202,520235,7.309875,9.4899998,6.9899998,4.9899998,2.9576275,169,01-02-2002,2002-02-01,102172,2002,2,1,matched (3)
200203,520235,7.2584882,9.4899998,6.9899998,4.9899998,3.04196,170,01-03-2002,2002-03-01,104671,2002,3,1,matched (3)
200204,520235,6.9252629,9.4899998,6.6900001,4.4899998,2.8002965,171,01-04-2002,2002-04-01,104217,2002,4,2,matched (3)
200205,520235,6.7536111,8.9899998,6.9899998,4.4650002,2.6596224,172,01-05-2002,2002-05-01,106651,2002,5,2,matched (3)
200206,520235,6.1697841,8.75,5.25,3.75,2.7964087,173,01-06-2002,2002-06-01,106955,2002,6,2,matched (3)
200207,520235,6.2222314,8.1499996,5.25,4.4899998,2.6257026,174,01-07-2002,2002-07-01,106605,2002,7,3,matched (3)
200208,520235,5.9470453,7.5,5.0699997,4.1199999,2.5180237,175,01-08-2002,2002-08-01,104997,2002,8,3,matched (3)
200209,520235,6.2349577,7.5,5.25,4.4899998,2.670191,176,01-09-2002,2002-09-01,103963,2002,9,3,matched (3)
200210,520235,6.3817019,7.5,5.9499998,4.7399998,2.6395392,177,01-10-2002,2002-10-01,105493,2002,10,4,matched (3)
200211,520235,6.1933331,7.5,5.4899998,4.7399998,2.476835,178,01-11-2002,2002-11-01,106130,2002,11,4,matched (3)
200212,520235,6.431591,7.5,5.75,4.7399998,2.6575336,179,01-12-2002,2002-12-01,106032,2002,12,4,matched (3)
200301,520235,6.1852689,7.5,5.3899999,4.7399998,2.6845145,180,01-01-2003,2003-01-01,103660,2003,1,1,matched (3)
200302,520235,6.800333,8.8900003,5.9499998,4.7399998,3.0106404,181,01-02-2003,2003-02-01,106569,2003,2,1,matched (3)
200303,520235,6.5438948,7.9899998,5.9499998,4.7399998,2.8453846,182,01-03-2003,2003-03-01,107246,2003,3,1,matched (3)
200304,520235,6.3339653,7.75,5.9899998,4.54,2.2870588,183,01-04-2003,2003-04-01,96279,2003,4,2,matched (3)
