quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
198802,520103,5.5174074,6.9899998,5.9499998,4.4899998,1.5586233,1,01-02-1988,1988-02-01,51065,1988,2,1,matched (3)
198803,520103,5.5632095,6.9899998,5.9899998,4.4899998,1.5448922,2,01-03-1988,1988-03-01,49987,1988,3,1,matched (3)
198804,520103,5.5791764,6.9899998,5.9899998,4.4899998,1.6236321,3,01-04-1988,1988-04-01,51716,1988,4,2,matched (3)
198805,520103,5.5182142,6.9899998,5.9899998,3.99,1.6032498,4,01-05-1988,1988-05-01,51209,1988,5,2,matched (3)
198806,520103,5.607976,6.9899998,5.9899998,4.2199998,1.6464278,5,01-06-1988,1988-06-01,51126,1988,6,2,matched (3)
198807,520103,5.2898459,5.9899998,5.1799998,3.99,1.6022303,6,01-07-1988,1988-07-01,50053,1988,7,3,matched (3)
198809,520103,5.4115872,5.9899998,5.5999999,4.4899998,1.5665168,8,01-09-1988,1988-09-01,47264,1988,9,3,matched (3)
198810,520103,5.2196774,5.9899998,5.085,3.99,1.5598601,9,01-10-1988,1988-10-01,50282,1988,10,4,matched (3)
198811,520103,5.3541536,5.9899998,5.29,3.99,1.543238,10,01-11-1988,1988-11-01,49281,1988,11,4,matched (3)
198812,520103,5.3778257,6.5,5.5999999,3.99,1.5895596,11,01-12-1988,1988-12-01,51813,1988,12,4,matched (3)
198901,520103,5.6032605,6.9899998,5.9899998,4.4899998,1.4469969,12,01-01-1989,1989-01-01,48551,1989,1,1,matched (3)
198903,520103,5.7444577,6.9899998,5.9899998,4.4899998,1.6237942,14,01-03-1989,1989-03-01,57413,1989,3,1,matched (3)
198905,520103,5.742209,6.9899998,5.9899998,4.4899998,1.5953701,16,01-05-1989,1989-05-01,57869,1989,5,2,matched (3)
198906,520103,5.7846985,6.9899998,5.9899998,4.4899998,1.6450675,17,01-06-1989,1989-06-01,58028,1989,6,2,matched (3)
198907,520103,5.8474998,6.9899998,5.9899998,4.4899998,1.7503293,18,01-07-1989,1989-07-01,56793,1989,7,3,matched (3)
198908,520103,5.9227023,6.9899998,5.9899998,4.4899998,1.7001371,19,01-08-1989,1989-08-01,55705,1989,8,3,matched (3)
198909,520103,5.9024997,6.9899998,5.9899998,4.4899998,1.7235035,20,01-09-1989,1989-09-01,56655,1989,9,3,matched (3)
