quote_date,item_id,p_mean,p_75,p_median,p_25,SD,date,dateStata,dateISO,obs,year,month,quarter,_merge
201202,220126,8.8079767,9.9499998,8.8999996,7.25,2.0665526,289,01-02-2012,2012-02-01,109908,2012,2,1,matched (3)
201203,220126,8.8305006,9.9499998,8.9499998,7.25,2.1059234,290,01-03-2012,2012-03-01,112591,2012,3,1,matched (3)
201204,220126,8.8613863,9.9499998,8.9499998,7.3500004,2.0694206,291,01-04-2012,2012-04-01,111722,2012,4,2,matched (3)
201205,220126,8.8349209,9.9499998,8.8500004,7.4000001,2.0833478,292,01-05-2012,2012-05-01,112977,2012,5,2,matched (3)
201206,220126,8.7737579,9.8999996,8.75,7.4899998,2.0121062,293,01-06-2012,2012-06-01,113464,2012,6,2,matched (3)
201207,220126,8.8238392,9.9499998,8.8999996,7.5,1.9885271,294,01-07-2012,2012-07-01,112979,2012,7,3,matched (3)
201208,220126,8.8227291,9.9499998,8.8999996,7.5,2.0066185,295,01-08-2012,2012-08-01,113779,2012,8,3,matched (3)
201209,220126,8.8384714,9.9499998,8.8999996,7.5,1.9815601,296,01-09-2012,2012-09-01,113529,2012,9,3,matched (3)
201210,220126,8.8443413,9.9499998,8.9499998,7.5,1.9469327,297,01-10-2012,2012-10-01,113193,2012,10,4,matched (3)
201211,220126,8.8872976,9.9499998,8.9499998,7.5,1.9906882,298,01-11-2012,2012-11-01,112322,2012,11,4,matched (3)
201212,220126,8.8493042,9.9499998,8.9499998,7.4000001,2.0216901,299,01-12-2012,2012-12-01,112522,2012,12,4,matched (3)
201301,220126,8.8436718,9.9499998,8.9499998,7.4899998,1.9861832,300,01-01-2013,2013-01-01,112470,2013,1,1,matched (3)
201302,220126,8.879674,9.9499998,8.9499998,7.5,1.9555033,301,01-02-2013,2013-02-01,108915,2013,2,1,matched (3)
201303,220126,8.9697313,9.9499998,8.9499998,7.6500001,1.9785439,302,01-03-2013,2013-03-01,112073,2013,3,1,matched (3)
201304,220126,9.0048323,9.9499998,8.9499998,7.5500002,2.0846329,303,01-04-2013,2013-04-01,111932,2013,4,2,matched (3)
201305,220126,8.9695559,9.9499998,8.9499998,7.5,2.120549,304,01-05-2013,2013-05-01,112460,2013,5,2,matched (3)
201306,220126,8.941782,9.9499998,8.9499998,7.5,1.9778395,305,01-06-2013,2013-06-01,113182,2013,6,2,matched (3)
201307,220126,9.0073137,9.9499998,8.9499998,7.5,2.0452538,306,01-07-2013,2013-07-01,110722,2013,7,3,matched (3)
201308,220126,9.0531063,9.9499998,8.9499998,7.5,2.1062412,307,01-08-2013,2013-08-01,111818,2013,8,3,matched (3)
201309,220126,9.0249996,9.9499998,8.9499998,7.5,2.1145377,308,01-09-2013,2013-09-01,111942,2013,9,3,matched (3)
201310,220126,9.0332003,9.9499998,8.9499998,7.5,2.1100185,309,01-10-2013,2013-10-01,112357,2013,10,4,matched (3)
201311,220126,9.0596371,9.9499998,8.9499998,7.5,2.0960324,310,01-11-2013,2013-11-01,111887,2013,11,4,matched (3)
201312,220126,9.0650797,9.9499998,8.9499998,7.5,2.1003172,311,01-12-2013,2013-12-01,112786,2013,12,4,matched (3)
201401,220126,9.0694485,9.9499998,8.9499998,7.5,2.0921452,312,01-01-2014,2014-01-01,113219,2014,1,1,matched (3)
201402,220126,9.1542521,10.25,8.9499998,7.75,2.1880598,313,01-02-2014,2014-02-01,108434,2014,2,1,matched (3)
201403,220126,9.1677675,10.4,8.9499998,7.8000002,2.122865,314,01-03-2014,2014-03-01,111378,2014,3,1,matched (3)
201404,220126,9.1909904,10.5,8.9499998,7.8000002,2.114104,315,01-04-2014,2014-04-01,110845,2014,4,2,matched (3)
201405,220126,9.2295189,10.5,8.9499998,7.9499998,2.1001132,316,01-05-2014,2014-05-01,111915,2014,5,2,matched (3)
201406,220126,9.326808,10.75,8.9499998,7.9499998,2.1181996,317,01-06-2014,2014-06-01,112673,2014,6,2,matched (3)
201407,220126,9.3367271,10.74,8.9499998,7.9499998,2.0754011,318,01-07-2014,2014-07-01,110263,2014,7,3,matched (3)
201408,220126,9.3256826,10.73,8.9499998,7.9499998,2.0777254,319,01-08-2014,2014-08-01,111493,2014,8,3,matched (3)
201409,220126,9.3058405,10.639999,8.9499998,7.9499998,2.1096954,320,01-09-2014,2014-09-01,111704,2014,9,3,matched (3)
201410,220126,9.3753567,10.5,8.9499998,7.9699998,2.1132843,321,01-10-2014,2014-10-01,111105,2014,10,4,matched (3)
201411,220126,9.4170084,10.95,8.9499998,7.9499998,2.1598573,322,01-11-2014,2014-11-01,111793,2014,11,4,matched (3)
201412,220126,9.4088812,10.95,8.9799995,7.9499998,2.0938344,323,01-12-2014,2014-12-01,111959,2014,12,4,matched (3)
201501,220126,9.4113836,10.875,8.9499998,7.9499998,2.0794291,324,01-01-2015,2015-01-01,112492,2015,1,1,matched (3)
201502,220126,9.4585972,10.95,9.2250004,7.98,2.0690637,325,01-02-2015,2015-02-01,110362,2015,2,1,matched (3)
201503,220126,9.4403982,10.95,9.1749992,7.9499998,2.1016874,326,01-03-2015,2015-03-01,113759,2015,3,1,matched (3)
201504,220126,9.3504162,10.45,8.9899998,7.9499998,2.0661767,327,01-04-2015,2015-04-01,115935,2015,4,2,matched (3)
201505,220126,9.3982639,10.5,8.9899998,7.9899998,2.094233,328,01-05-2015,2015-05-01,116093,2015,5,2,matched (3)
201506,220126,9.4074278,10.5,8.9899998,7.9899998,2.1043339,329,01-06-2015,2015-06-01,116584,2015,6,2,matched (3)
201507,220126,9.4287634,10.5,9.25,7.9899998,2.1431947,330,01-07-2015,2015-07-01,114886,2015,7,3,matched (3)
201508,220126,9.3986626,10.5,8.9899998,7.9899998,2.153373,331,01-08-2015,2015-08-01,115736,2015,8,3,matched (3)
201509,220126,9.3967037,10.5,8.9899998,7.9899998,2.0380249,332,01-09-2015,2015-09-01,115298,2015,9,3,matched (3)
201510,220126,9.4541607,10.5,9.25,8,1.9946334,333,01-10-2015,2015-10-01,114195,2015,10,4,matched (3)
201511,220126,9.502449,10.55,9.25,8.25,2.0295391,334,01-11-2015,2015-11-01,114300,2015,11,4,matched (3)
201512,220126,9.5309935,10.5,9.25,8.25,2.0284173,335,01-12-2015,2015-12-01,114817,2015,12,4,matched (3)
201601,220126,9.5470963,10.5,9.25,8.4499998,2.0445724,336,01-01-2016,2016-01-01,115217,2016,1,1,matched (3)
