Date,Rate
01/01/1980,8.25
01/07/1980,8.041666667
01/01/1981,6.583333333
01/07/1981,6.125
01/01/1982,5.5
01/07/1982,5.5
01/01/1983,5.5
01/07/1983,5.25
01/01/1984,5
01/07/1984,5
01/01/1985,5
01/07/1985,5
01/01/1986,3.916666667
01/07/1986,3.333333333
01/01/1987,2.583333333
01/07/1987,2.5
01/01/1988,2.5
01/07/1988,2.5
01/01/1989,2.75
01/07/1989,3.583333333
01/01/1990,4.916666667
01/07/1990,5.875
01/01/1991,6
01/07/1991,5.25
01/01/1992,4.125
01/07/1992,3.25
01/01/1993,2.625
01/07/1993,2
01/01/1994,1.75
01/07/1994,1.75
01/01/1995,1.375
01/07/1995,0.666666667
01/01/1996,0.5
01/07/1996,0.5
01/01/1997,0.5
01/07/1997,0.5
01/01/1998,0.5
01/07/1998,0.5
01/01/1999,0.5
01/07/1999,0.5
01/01/2000,0.5
01/07/2000,0.5
01/01/2001,0.308333333
01/07/2001,0.15
01/01/2002,0.1
01/07/2002,0.1
01/01/2003,0.1
01/07/2003,0.1
01/01/2004,0.1
01/07/2004,0.1
01/01/2005,0.1
01/07/2005,0.1
01/01/2006,0.1
01/07/2006,0.4
01/01/2007,0.691666667
01/07/2007,0.75
01/01/2008,0.75
01/07/2008,0.591666667
01/01/2009,0.3
01/07/2009,0.3
01/01/2010,0.3
01/07/2010,0.3
01/01/2011,0.3
01/07/2011,0.3
01/01/2012,0.3
01/07/2012,0.3
01/01/2013,0.3
01/07/2013,0.3
01/01/2014,0.3
01/07/2014,0.3
01/01/2015,0.3
01/07/2015,0.3
01/01/2016,0.3
01/07/2016,0.3
01/01/2017,.
