Country,TIME,Real house prices
AUS,1980,31.71055982
AUS,1981,33.42188705
AUS,1982,31.38159789
AUS,1983,30.34996035
AUS,1984,31.81611501
AUS,1985,32.87968696
AUS,1986,32.52425254
AUS,1987,31.91255756
AUS,1988,36.53064858
AUS,1989,42.81301209
AUS,1990,40.82953692
AUS,1991,40.37702151
AUS,1992,40.23329697
AUS,1993,40.43250314
AUS,1994,41.2243984
AUS,1995,40.59023822
AUS,1996,40.11016875
AUS,1997,41.14932077
AUS,1998,43.5485339
AUS,1999,46.16625155
AUS,2000,48.34958182
AUS,2001,51.9738272
AUS,2002,60.07396587
AUS,2003,69.45995168
AUS,2004,72.72012169
AUS,2005,72.44725477
AUS,2006,74.78030668
AUS,2007,80.12951592
AUS,2008,80.64977906
AUS,2009,81.78390132
AUS,2010,89.39066431
AUS,2011,85.50704634
AUS,2012,83.29841924
AUS,2013,86.80378653
AUS,2014,92.96988561
AUS,2015,100
AUS,2016,104.601179
AUS,2017,111.9302744
AUS,2018,108.5786924
AUS,2019,102.3335936
AUS,2020,106.7984051
AUS,2021,123.4996196
AUT,2000,78.00627044
AUT,2001,76.84162559
AUT,2002,76.49702399
AUT,2003,75.53922482
AUT,2004,72.84049874
AUT,2005,74.66513878
AUT,2006,76.1343221
AUT,2007,77.7652042
AUT,2008,76.98432031
AUT,2009,79.71906614
AUT,2010,85.69040234
AUT,2011,88.2559176
AUT,2012,92.53519992
AUT,2013,95.32712707
AUT,2014,96.71796712
AUT,2015,100
AUT,2016,106.9902421
AUT,2017,110.6943887
AUT,2018,113.6311007
AUT,2019,118.1815498
AUT,2020,125.374316
AUT,2021,137.8420006
BEL,1980,51.32520929
BEL,1981,45.18666944
BEL,1982,40.61436566
BEL,1983,37.31825365
BEL,1984,36.05882358
BEL,1985,34.85197834
BEL,1986,36.3420604
BEL,1987,38.03606457
BEL,1988,40.6211594
BEL,1989,44.54819155
BEL,1990,47.96038665
BEL,1991,48.63142658
BEL,1992,50.93666489
BEL,1993,52.31105038
BEL,1994,54.43404152
BEL,1995,56.02899367
BEL,1996,56.88530998
BEL,1997,57.43152978
BEL,1998,60.39887752
BEL,1999,64.4453533
BEL,2000,65.7178948
BEL,2001,67.32980607
BEL,2002,70.90166635
BEL,2003,74.67242898
BEL,2004,79.17421457
BEL,2005,85.96650614
BEL,2006,91.82366043
BEL,2007,96.40098841
BEL,2008,97.5626781
BEL,2009,97.90437734
BEL,2010,99.10939546
BEL,2011,100.2372122
BEL,2012,100.4529736
BEL,2013,100.561647
BEL,2014,99.26254232
BEL,2015,100
BEL,2016,101.1026641
BEL,2017,102.8099989
BEL,2018,103.6776558
BEL,2019,106.2848576
BEL,2020,109.8369594
BEL,2021,114.8748417
CAN,1980,42.46271766
CAN,1981,43.68378884
CAN,1982,37.55748385
CAN,1983,37.05432802
CAN,1984,35.19284184
CAN,1985,35.68577516
CAN,1986,39.74804374
CAN,1987,44.35194204
CAN,1988,50.17583962
CAN,1989,54.35280413
CAN,1990,50.80115626
CAN,1991,50.65859032
CAN,1992,51.18579805
CAN,1993,51.27936141
CAN,1994,52.42162165
CAN,1995,49.3288954
CAN,1996,48.59427222
CAN,1997,49.13094659
CAN,1998,47.86533253
CAN,1999,48.52716566
CAN,2000,49.59655128
CAN,2001,50.91405532
CAN,2002,53.92888797
CAN,2003,57.43920285
CAN,2004,61.14992253
CAN,2005,64.97758187
CAN,2006,71.90496311
CAN,2007,79.45991427
CAN,2008,81.94051198
CAN,2009,80.10828427
CAN,2010,85.91202816
CAN,2011,88.57601261
CAN,2012,91.43352303
CAN,2013,92.67540705
CAN,2014,95.80537658
CAN,2015,100
CAN,2016,109.6851898
CAN,2017,121.4797394
CAN,2018,124.0054299
CAN,2019,123.4218636
CAN,2020,130.6245055
CAN,2021,146.2250801
CZE,2008,107.7966427
CZE,2009,102.7473993
CZE,2010,100.4794129
CZE,2011,98.81333533
CZE,2012,95.30725243
CZE,2013,94.67202652
CZE,2014,96.17679015
CZE,2015,100
CZE,2016,106.7079149
CZE,2017,116.5046781
CZE,2018,123.4022643
CZE,2019,131.0036746
CZE,2020,138.0531248
CZE,2021,160.6698519
DNK,1980,53.68887964
DNK,1981,45.76479593
DNK,1982,40.5434394
DNK,1983,46.11162782
DNK,1984,49.79752754
DNK,1985,56.19973599
DNK,1986,62.2516769
DNK,1987,55.15254172
DNK,1988,53.57632259
DNK,1989,50.75544915
DNK,1990,46.1636037
DNK,1991,45.47958074
DNK,1992,44.21553553
DNK,1993,43.32181544
DNK,1994,47.40476252
DNK,1995,50.07224376
DNK,1996,54.48334966
DNK,1997,59.69032367
DNK,1998,64.07159026
DNK,1999,67.11321408
DNK,2000,69.53199645
DNK,2001,71.92613176
DNK,2002,73.17606228
DNK,2003,75.90412027
DNK,2004,83.22430939
DNK,2005,98.1931515
DNK,2006,119.2151004
DNK,2007,120.3610607
DNK,2008,110.9197047
DNK,2009,96.38191832
DNK,2010,96.71143395
DNK,2011,92.87787594
DNK,2012,88.31584146
DNK,2013,90.97024463
DNK,2014,93.85450836
DNK,2015,100
DNK,2016,104.6033176
DNK,2017,108.1359935
DNK,2018,112.5193694
DNK,2019,114.4597997
DNK,2020,119.8635746
DNK,2021,131.2432523
FIN,1980,49.32126311
FIN,1981,50.89441545
FIN,1982,55.15347566
FIN,1983,61.26385374
FIN,1984,64.17753293
FIN,1985,63.45380285
FIN,1986,63.13778795
FIN,1987,67.36648901
FIN,1988,86.05794248
FIN,1989,102.1826495
FIN,1990,92.68008838
FIN,1991,78.01483421
FIN,1992,64.49590651
FIN,1993,55.91004949
FIN,1994,57.80409174
FIN,1995,56.53897686
FIN,1996,59.31410204
FIN,1997,67.37811174
FIN,1998,72.15602811
FIN,1999,76.15607499
FIN,2000,76.80531522
FIN,2001,73.71704887
FIN,2002,76.87648686
FIN,2003,80.94497474
FIN,2004,87.3053782
FIN,2005,93.22568759
FIN,2006,98.35092538
FIN,2007,102.183382
FIN,2008,99.62273477
FIN,2009,99.16957844
FIN,2010,103.9429743
FIN,2011,103.806813
FIN,2012,103.3862279
FIN,2013,102.1055657
FIN,2014,100.4568213
FIN,2015,100
FIN,2016,101.0798266
FIN,2017,101.1405128
FIN,2018,100.7765264
FIN,2019,100.2093112
FIN,2020,101.4804638
FIN,2021,104.3607085
FRA,1980,55.1522509
FRA,1981,54.91698127
FRA,1982,51.62660915
FRA,1983,48.66680463
FRA,1984,45.94259694
FRA,1985,45.9583517
FRA,1986,48.20676121
FRA,1987,51.48128517
FRA,1988,55.03633511
FRA,1989,57.59767119
FRA,1990,60.17108679
FRA,1991,60.58454838
FRA,1992,57.92651979
FRA,1993,56.57309215
FRA,1994,55.89279188
FRA,1995,53.18091965
FRA,1996,51.83100534
FRA,1997,51.21564049
FRA,1998,52.112007
FRA,1999,55.99095869
FRA,2000,59.53352207
FRA,2001,62.99084266
FRA,2002,67.85575597
FRA,2003,74.65431794
FRA,2004,84.07454569
FRA,2005,95.3280378
FRA,2006,104.5554359
FRA,2007,109.0750526
FRA,2008,107.1372684
FRA,2009,101.0148888
FRA,2010,105.0127695
FRA,2011,109.2425862
FRA,2012,107.1335364
FRA,2013,104.2108408
FRA,2014,102.2119943
FRA,2015,100
FRA,2016,100.6759521
FRA,2017,102.8871103
FRA,2018,104.2503316
FRA,2019,106.8296939
FRA,2020,111.5697695
FRA,2021,117.2036036
DEU,1980,113.9715537
DEU,1981,114.8535524
DEU,1982,110.434561
DEU,1983,107.3468129
DEU,1984,102.4420268
DEU,1985,99.80098851
DEU,1986,101.1299458
DEU,1987,100.4102276
DEU,1988,100.2778573
DEU,1989,99.6507495
DEU,1990,104.3890269
DEU,1991,105.993908
DEU,1992,107.1791756
DEU,1993,108.0455693
DEU,1994,110.1114336
DEU,1995,110.2633774
DEU,1996,108.0782069
DEU,1997,105.0032282
DEU,1998,103.7624069
DEU,1999,103.224745
DEU,2000,102.744481
DEU,2001,100.7061123
DEU,2002,98.1286746
DEU,2003,97.0738682
DEU,2004,94.5209128
DEU,2005,94.66735903
DEU,2006,93.09864719
DEU,2007,89.43281374
DEU,2008,88.90437566
DEU,2009,89.56828136
DEU,2010,89.01815463
DEU,2011,90.51882047
DEU,2012,92.34380711
DEU,2013,93.95015182
DEU,2014,96.02601838
DEU,2015,100
DEU,2016,106.7714815
DEU,2017,111.620263
DEU,2018,117.3027675
DEU,2019,122.463548
DEU,2020,131.1795153
DEU,2021,141.9820274
GRC,1997,81.46707978
GRC,1998,94.94319517
