date, value
16/05/1949,176.21
17/05/1949,174.8
18/05/1949,172.53
19/05/1949,171.34
20/05/1949,169.2
23/05/1949,171.85
24/05/1949,172.75
25/05/1949,171.53
26/05/1949,170.43
27/05/1949,172.76
30/05/1949,176.21
31/05/1949,176.52
01/06/1949,175.97
02/06/1949,174.76
03/06/1949,175.48
06/06/1949,174.92
07/06/1949,173.83
08/06/1949,171.53
09/06/1949,170.15
10/06/1949,167.98
13/06/1949,165.27
14/06/1949,158.98
15/06/1949,153.81
16/06/1949,157.8
17/06/1949,160.13
20/06/1949,155.45
21/06/1949,152.99
22/06/1949,155.01
23/06/1949,155.76
24/06/1949,154.04
27/06/1949,150.58
28/06/1949,147.13
29/06/1949,146.14
30/06/1949,146.92
01/07/1949,147.37
04/07/1949,149.14
05/07/1949,146.52
06/07/1949,144.18
07/07/1949,143.66
08/07/1949,142.16
11/07/1949,135.84
12/07/1949,134.8
13/07/1949,140.02
14/07/1949,141.28
15/07/1949,142.29
18/07/1949,147.23
19/07/1949,148.55
20/07/1949,147.09
21/07/1949,145.97
22/07/1949,145.67
25/07/1949,144.88
26/07/1949,144.66
27/07/1949,145.47
28/07/1949,145.51
29/07/1949,144.59
01/08/1949,145.63
02/08/1949,150
03/08/1949,154.46
04/08/1949,155.57
05/08/1949,154.24
08/08/1949,156.46
09/08/1949,157.68
10/08/1949,159.3
11/08/1949,162.75
12/08/1949,164.73
15/08/1949,159
16/08/1949,159.14
17/08/1949,158.23
18/08/1949,158.17
19/08/1949,158.81
22/08/1949,160.51
23/08/1949,162.02
24/08/1949,164.34
25/08/1949,167.64
26/08/1949,173.2
29/08/1949,173.22
30/08/1949,174.1
31/08/1949,175.18
01/09/1949,176.89
02/09/1949,173
05/09/1949,172.21
06/09/1949,172.41
07/09/1949,171.89
08/09/1949,170.11
09/09/1949,168.86
12/09/1949,172.23
13/09/1949,171.25
14/09/1949,169.87
15/09/1949,168.3
16/09/1949,162.54
19/09/1949,167.07
20/09/1949,163.94
21/09/1949,162.22
22/09/1949,163
26/09/1949,162.49
27/09/1949,160.41
28/09/1949,160.61
29/09/1949,162.07
30/09/1949,163.29
03/10/1949,160.72
04/10/1949,153.7
05/10/1949,153
06/10/1949,153.4
07/10/1949,156.84
10/10/1949,154.16
11/10/1949,151.87
12/10/1949,150.42
13/10/1949,147.66
14/10/1949,146.97
17/10/1949,144.44
18/10/1949,143.45
19/10/1949,142.45
20/10/1949,140.24
21/10/1949,138.06
24/10/1949,135.94
25/10/1949,131.09
26/10/1949,133.79
27/10/1949,138.5
28/10/1949,143.31
31/10/1949,141.54
01/11/1949,138.86
02/11/1949,137.78
04/11/1949,138.06
07/11/1949,135.97
08/11/1949,133.41
09/11/1949,132.94
10/11/1949,136.57
11/11/1949,140.33
14/11/1949,140.02
15/11/1949,138.37
16/11/1949,136.49
17/11/1949,135.32
18/11/1949,135.32
21/11/1949,131.3
22/11/1949,130.38
24/11/1949,128.91
25/11/1949,126.41
28/11/1949,122.01
29/11/1949,118.4
30/11/1949,122.84
01/12/1949,125.62
02/12/1949,122.53
05/12/1949,120.92
06/12/1949,120.07
07/12/1949,117.39
08/12/1949,111.99
09/12/1949,112.14
12/12/1949,110.32
13/12/1949,105.88
14/12/1949,98.5
15/12/1949,109.62
16/12/1949,110.96
19/12/1949,108.46
20/12/1949,104.14
21/12/1949,107.69
22/12/1949,107.7
23/12/1949,107.11
26/12/1949,110.24
27/12/1949,108.6
28/12/1949,109.91
04/01/1950,108.56
05/01/1950,105.54
06/01/1950,102.64
09/01/1950,102.78
10/01/1950,101.36
11/01/1950,99.36
12/01/1950,97.48
13/01/1950,95.04
16/01/1950,96.2
17/01/1950,95.27
18/01/1950,97.15
19/01/1950,98.9
20/01/1950,98.05
23/01/1950,97.1
24/01/1950,97.12
25/01/1950,96.51
26/01/1950,95.45
27/01/1950,94.85
30/01/1950,93.14
31/01/1950,92.54
01/02/1950,92.56
02/02/1950,95.96
03/02/1950,96.11
06/02/1950,101.71
07/02/1950,105.06
08/02/1950,107.25
09/02/1950,107.01
10/02/1950,106.54
13/02/1950,112.94
14/02/1950,113.4
