Date,Value,Age
01/01/2010,40.5,Overall
01/01/2011,38.8,Overall
01/01/2012,41.5,Overall
01/01/2013,42.2,Overall
01/01/2014,43.6,Overall
01/01/2015,41.7,Overall
01/01/2016,43.3,Overall
01/01/2017,37.1,Overall
01/01/2018,45.3,Overall
01/01/2019,48.4,Overall
01/01/2020,50.2,Overall
01/01/2021,49.4,Overall
01/01/2010,30.5,18-49 Years
01/01/2011,28.6,18-49 Years
01/01/2012,31.1,18-49 Years
01/01/2013,32.5,18-49 Years
01/01/2014,33.5,18-49 Years
01/01/2015,32.7,18-49 Years
01/01/2016,33.6,18-49 Years
01/01/2017,26.9,18-49 Years
01/01/2018,34.9,18-49 Years
01/01/2019,38.4,18-49 Years
01/01/2020,37.7,18-49 Years
01/01/2021,37.1,18-49 Years
01/01/2010,44.5,50-64 Years
01/01/2011,42.7,50-64 Years
01/01/2012,45.1,50-64 Years
01/01/2013,45.3,50-64 Years
01/01/2014,47,50-64 Years
01/01/2015,43.6,50-64 Years
01/01/2016,45.4,50-64 Years
01/01/2017,39.7,50-64 Years
01/01/2018,47.3,50-64 Years
01/01/2019,50.6,50-64 Years
01/01/2020,54.2,50-64 Years
01/01/2021,52.4,50-64 Years
01/01/2010,66.6,65+ Years
01/01/2011,64.9,65+ Years
01/01/2012,66.2,65+ Years
01/01/2013,65,65+ Years
01/01/2014,66.7,65+ Years
01/01/2015,63.4,65+ Years
01/01/2016,65.3,65+ Years
01/01/2017,59.6,65+ Years
01/01/2018,68.1,65+ Years
01/01/2019,69.8,65+ Years
01/01/2020,75.2,65+ Years
01/01/2021,73.9,65+ Years
