Date,Value
01/07/1949,144.4202381
01/01/1950,97.95472
01/07/1950,105.3510236
01/01/1951,122.7112195
01/07/1951,149.5623438
01/01/1952,198.3003252
01/07/1952,291.4827559
01/01/1953,369.2784553
01/07/1953,409.6015079
01/01/1954,342.0967742
01/07/1954,339.27128
01/01/1955,359.0721774
01/07/1955,388.0637008
01/01/1956,459.4565079
01/07/1956,510.6372868
01/01/1957,562.0615574
01/07/1957,508.6495349
01/01/1958,541.4681967
01/07/1958,602.0027559
01/01/1959,744.8281301
01/07/1959,897.7045238
01/01/1960,1020.15704
01/07/1960,1210.917857
01/01/1961,1582.4856
01/07/1961,1520.464882
01/01/1962,1450.957258
01/07/1962,1384.32155
01/01/1963,1533.419672
01/07/1963,1352.634496
01/01/1964,1272.904797
01/07/1964,1255.084365
01/01/1965,1174.944274
01/07/1965,1225.037698
01/01/1966,1513.945968
01/07/1966,1445.895484
01/01/1967,1462.00104
01/07/1967,1363.88592
01/01/1968,1400.017317
01/07/1968,1687.534297
01/01/1969,1865.281983
01/07/1969,2044.88256
01/01/1970,2290.879106
01/07/1970,2096.33544
01/01/1971,2333.514634
01/07/1971,2445.2236
01/01/1972,3194.45104
01/07/1972,4312.98392
01/01/1973,4896.016341
01/07/1973,4623.04811
01/01/1974,4550.656167
01/07/1974,4016.521429
01/01/1975,4278.689421
01/07/1975,4221.104435
01/01/1976,4601.648211
01/07/1976,4702.104597
01/01/1977,5013.064634
01/07/1977,5044.845726
01/01/1978,5320.922177
01/07/1978,5753.75216
01/01/1979,6140.757213
01/07/1979,6400.798189
01/01/1980,6740.965328
01/07/1980,6992.698065
01/01/1981,7375.236457
01/07/1981,7656.43
01/01/1982,7431.159147
01/07/1982,7364.146061
01/01/1983,8350.781783
01/07/1983,9274.583969
01/01/1984,10351.87723
01/07/1984,10781.54588
01/01/1985,12342.86797
01/07/1985,12765.53061
01/01/1986,14927.98434
01/07/1986,17824.20386
01/01/1987,22300.17189
01/07/1987,24141.75016
01/01/1988,25873.01082
01/07/1988,28186.20254
01/01/1989,32634.30385
01/07/1989,35433.254
01/01/1990,33187.72339
01/07/1990,25806.65232
01/01/1991,25339.98017
01/07/1991,23300.89905
01/01/1992,19346.85983
01/07/1992,16920.80216
01/01/1993,18748.9643
01/07/1993,19439.81128
01/01/1994,19936.04648
01/07/1994,19935.62143
01/01/1995,16795.07382
01/07/1995,17851.60476
01/01/1996,21238.05364
01/07/1996,20955.75416
01/01/1997,18959.45562
01/07/1997,17849.17726
01/01/1998,16040.44172
01/07/1998,14687.97136
01/01/1999,15667.26446
01/07/1999,17951.57532
01/01/2000,18654.00098
01/07/2000,15660.15608
01/01/2001,13337.44579
01/07/2001,10889.47992
01/01/2002,10988.63517
01/07/2002,9298.850079
01/01/2003,8364.930992
01/07/2003,10235.00806
01/01/2004,11275.21336
01/07/2004,11084.83952
01/01/2005,11446.34347
01/07/2005,13375.19113
01/01/2006,16171.7248
01/07/2006,16050.02352
01/01/2007,17538.36355
01/07/2007,16474.84285
01/01/2008,13554.58727
01/07/2008,10798.70098
01/01/2009,8624.908917
01/07/2009,10049.72065
01/01/2010,10427.86
01/07/2010,9595.30879
01/01/2011,9944.537686
01/07/2011,8918.862258
01/01/2012,9159.813496
01/07/2012,9046.21864
01/01/2013,12579.6455
01/07/2013,14536.16432
01/01/2014,14801.9195
01/07/2014,16097.70266
01/01/2015,19149.72909
01/07/2015,19256.9265
01/01/2016,16618.42902
01/07/2016,17220.06797
01/01/2017,19383.84049
01/07/2017,21027.55573
01/01/2018,22341.04876
01/07/2018,22281.13847
01/01/2019,21214.07752
01/07/2019,22153.10024
01/01/2020,21283.88992
01/07/2020,24068.83895
01/01/2021,28992.75066
01/07/2021,28684.10597
01/01/2022,27021.63225
01/07/2022,.
