Date,Price
01/01/1980,12.95355
01/07/1980,13.2914
01/01/1981,11.7606
01/07/1981,10.0348
01/01/1982,8.6515
01/07/1982,7.0254
01/01/1983,5.47875
01/07/1983,4.2819
01/01/1984,3.4916
01/07/1984,2.99125
01/01/1985,2.67905
01/07/1985,2.3435
01/01/1986,2.2338
01/07/1986,3.01235
01/01/1987,5.7336
01/07/1987,9.13965
01/01/1988,7.25035
01/07/1988,4.4544
01/01/1989,6.11375
01/07/1989,9.3722
01/01/1990,13.42785
01/07/1990,13.769
01/01/1991,7.72345
01/07/1991,1.02525
01/01/1992,-3.01425
01/07/1992,-4.7207
01/01/1993,-4.77265
01/07/1993,-3.89445
01/01/1994,-2.7361
01/07/1994,-1.9399
01/01/1995,-1.509
01/07/1995,-1.55065
01/01/1996,-1.8158
01/07/1996,-1.81465
01/01/1997,-1.4231
01/07/1997,-1.1916
01/01/1998,-1.398
01/07/1998,-1.96395
01/01/1999,-2.83615
01/07/1999,-3.39085
01/01/2000,-3.65995
01/07/2000,-3.9506
01/01/2001,-4.1931
01/07/2001,-4.5894
01/01/2002,-5.07475
01/07/2002,-5.50495
01/01/2003,-6.0236
01/07/2003,-6.42785
01/01/2004,-6.33525
01/07/2004,-5.9011
01/01/2005,-5.1954
01/07/2005,-4.47315
01/01/2006,-3.55415
01/07/2006,-2.3969
01/01/2007,-1.34265
01/07/2007,-0.73475
01/01/2008,-0.992
01/07/2008,-2.15175
01/01/2009,-4.6157
01/07/2009,-2.9249
01/01/2010,1.25925
01/07/2010,1.62275
01/01/2011,0.5186
01/07/2011,-0.3826
01/01/2012,-0.7991
01/07/2012,-0.9473
01/01/2013,0.62625
01/07/2013,2.64425
01/01/2014,2.2873
01/07/2014,0.8367
01/01/2015,2.44395
01/07/2015,2.4069
01/01/2016,2.29115
01/07/2016,2.14755
